input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'זכאות', 'amortization': 'שפיצר', 'duration': 180, 'interest': 0.02, 'cpi': 0.01, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,180,1000833.3333333334,1668.0555555555557,6440.449578081777,4772.394022526221,830.050782759006,996890.9900935661,12000,5559.550421918223
,2,179,996890.9900935661,1661.484983489277,6445.816619396848,4784.331635907571,826.7555487147156,992933.4140063733,12000,5554.183380603152
,3,178,992933.4140063733,1654.8890233439556,6451.1881332463445,4796.299109902389,823.4475957470592,988960.562492218,12000,5548.8118667536555
,4,177,988960.562492218,1648.2676041536968,6456.564123357382,4808.296519203685,820.1268883108453,984972.3928613252,12000,5543.435876642618
,5,176,984972.3928613252,1641.6206547688755,6461.944593460184,4820.323938691308,816.7933907688616,980968.8623134027,12000,5538.055406539816
,6,175,980968.8623134027,1634.9481038556712,6467.329547288067,4832.381443432396,813.447067391642,976949.9279373619,12000,5532.670452711933
,7,174,976949.9279373619,1628.2498798956033,6472.718988577473,4844.46910868187,810.0878823572334,972915.5467110372,12000,5527.281011422527
,8,173,972915.5467110372,1621.5259111850621,6478.112921067956,4856.587009882895,806.715799750962,968865.6755009053,12000,5521.887078932044
,9,172,968865.6755009053,1614.776125834842,6483.511348502179,4868.735222667337,803.3307835651983,964800.2710618031,12000,5516.488651497821
,10,171,964800.2710618031,1608.0004517696718,6488.914274625932,4880.913822856261,799.9327976991224,960719.290036646,12000,5511.085725374068
,11,170,960719.290036646,1601.1988167277434,6494.32170318812,4893.122886460377,796.521805958488,956622.688956144,12000,5505.67829681188
,12,169,956622.688956144,1594.3711482602403,6499.733637940777,4905.362489680537,793.0977720553863,952510.4242385189,12000,5500.266362059223
,13,168,952510.4242385189,1587.517373730865,6505.150082639064,4917.632708908199,789.660659608009,948382.4521892187,12000,5494.849917360936
,14,167,948382.4521892187,1580.6374203153646,6510.571041041263,4929.933620725898,786.2104321404107,944238.7290006332,12000,5489.428958958737
,15,166,944238.7290006332,1573.7312150010555,6515.9965169088,4942.265301907744,782.7470530822712,940079.2107518077,12000,5484.0034830912
,16,165,940079.2107518077,1566.798684586346,6521.4265140062225,4954.627829419876,779.2704857686565,935903.8534081564,12000,5478.5734859937775
,17,164,935903.8534081564,1559.8397556802609,6526.86103610123,4967.021280420969,775.7806934397796,931712.6128211753,12000,5473.13896389877
,18,163,931712.6128211753,1552.8543547019588,6532.300086964645,4979.445732262686,772.2776392407605,927505.4447281533,12000,5467.699913035355
,19,162,927505.4447281533,1545.8424078802557,6537.7436703704525,4991.901262490197,768.761286221386,923282.3047518844,12000,5462.2563296295475
,20,161,923282.3047518844,1538.8038412531407,6543.191790095759,5004.387948842618,765.2315973358683,919043.1484003777,12000,5456.808209904241
,21,160,919043.1484003777,1531.7385806672962,6548.644449920844,5016.905869253547,761.6885354426036,914787.9310665667,12000,5451.355550079156
,22,159,914787.9310665667,1524.6465517776114,6554.101653629109,5029.455101851498,758.1320633039294,910516.6080280192,12000,5445.898346370891
,23,158,910516.6080280192,1517.5276800466988,6559.563405007134,5042.035724960435,754.5621435858824,906229.1344466447,12000,5440.436594992866
,24,157,906229.1344466447,1510.3818907444079,6565.029707844641,5054.647817100233,750.9787388579538,901925.4653684023,12000,5434.970292155359
,25,156,901925.4653684023,1503.2091089473372,6570.500565934513,5067.291456987176,747.381811592846,897605.555723008,12000,5429.499434065487
,26,155,897605.555723008,1496.0092595383467,6575.975983072791,5079.966723534444,743.771324166228,893269.3603236398,12000,5424.024016927209
,27,154,893269.3603236398,1488.7822672060665,6581.4559630586855,5092.673695852619,740.1472388564894,888916.8338666437,12000,5418.5440369413145
,28,153,888916.8338666437,1481.5280564444063,6586.940509694569,5105.412453250163,736.5095178444947,884547.9309312381,12000,5413.059490305431
,29,152,884547.9309312381,1474.2465515520637,6592.429626785984,5118.18307523392,732.8581232133369,880162.6059792174,12000,5407.570373214016
,30,151,880162.6059792174,1466.9376766320293,6597.92331814164,5130.985641509611,729.1930169480898,875760.8133546559,12000,5402.07668185836
,31,150,875760.8133546559,1459.6013555910931,6603.421587573422,5143.820231982329,725.5141609355613,871342.5072836091,12000,5396.578412426578
,32,149,871342.5072836091,1452.2375121393486,6608.924438896401,5156.686926757052,721.8215169640434,866907.641873816,12000,5391.075561103599
,33,148,866907.641873816,1444.8460697896935,6614.431875928817,5169.585806139124,718.1150467230641,862456.1711143999,12000,5385.568124071183
,34,147,862456.1711143999,1437.4269518573333,6619.943902492093,5182.516950634759,714.3947118031376,857988.0488755683,12000,5380.056097507907
,35,146,857988.0488755683,1429.9800814592807,6625.460522410836,5195.4804409515555,710.660473695514,853503.2289083123,12000,5374.539477589164
,36,145,853503.2289083123,1422.505381513854,6630.9817395128475,5208.476357998994,706.9122937919277,849001.6648441051,12000,5369.0182604871525
,37,144,849001.6648441051,1415.0027747401753,6636.507557629107,5221.504782888932,703.1501333843469,844483.3101946006,12000,5363.492442370893
,38,143,844483.3101946006,1407.4721836576678,6642.037980593799,5234.565796936131,699.3739536647204,839948.1183513291,12000,5357.962019406201
,39,142,839948.1183513291,1399.9135305855486,6647.5730122442965,5247.659481658748,695.5837157247254,835396.0425853952,12000,5352.4269877557035
,40,141,835396.0425853952,1392.3267376423253,6653.112656421168,5260.785918778843,691.7793805555136,830827.0360471718,12000,5346.887343578832
,41,140,830827.0360471718,1384.7117267452863,6658.6569169681825,5273.945190222896,687.9609090474574,826241.0517659964,12000,5341.3430830318175
,42,139,826241.0517659964,1377.068419609994,6664.205797732327,5287.137378122333,684.1282619898951,821638.042649864,12000,5335.794202267673
,43,138,821638.042649864,1369.3967377497734,6669.75930256377,5300.362564813997,680.281400070875,817017.9614851208,12000,5330.24069743623
,44,137,817017.9614851208,1361.6966024752014,6675.317435315908,5313.6208328407065,676.4202838769002,812380.7609361571,12000,5324.682564684092
,45,136,812380.7609361571,1353.9679348935952,6680.880199845339,5326.912264951744,672.5448738926711,807726.393545098,12000,5319.119800154661
,46,135,807726.393545098,1346.2106559084968,6686.447600011879,5340.2369441033825,668.6551305008289,803054.8117314954,12000,5313.552399988121
,47,134,803054.8117314954,1338.4246862191592,6692.019639678555,5353.594953459396,664.7510139816968,798365.9677920177,12000,5307.980360321445
,48,133,798365.9677920177,1330.6099463200296,6697.596322711623,5366.986376391593,660.8324845130218,793659.8139001392,12000,5302.403677288377
,49,132,793659.8139001392,1322.766356500232,6703.177652980551,5380.411296480319,656.8995021697158,788936.3021058285,12000,5296.822347019449
,50,131,788936.3021058285,1314.8938368430477,6708.763634358036,5393.869797514988,652.9520269235946,784195.3843352372,12000,5291.236365641964
,51,130,784195.3843352372,1306.9923072253955,6714.354270720003,5407.361963494608,648.9900186431189,779437.0123903857,12000,5285.645729279997
,52,129,779437.0123903857,1299.0616873173096,6719.949565945602,5420.887878628293,645.0134370931312,774661.1379488505,12000,5280.050434054398
,53,128,774661.1379488505,1291.1018965814176,6725.549523917225,5434.447627335808,641.0222419345956,769867.7125634493,12000,5274.450476082775
,54,127,769867.7125634493,1283.1128542724155,6731.154148520491,5448.041294248075,637.0163927243344,765056.6876619256,12000,5268.845851479509
,55,126,765056.6876619256,1275.0944794365428,6736.763443644258,5461.668964207714,632.9958489147649,760228.0145466325,12000,5263.236556355742
,56,125,760228.0145466325,1267.0466909110544,6742.37741318063,5475.330722269576,628.9605698536358,755381.6443942166,12000,5257.62258681937
,57,124,755381.6443942166,1258.9694073236944,6747.9960610249445,5489.02665370125,624.9105147837629,750517.5282552992,12000,5252.0039389750555
,58,123,750517.5282552992,1250.8625470921654,6753.6193910758,5502.756843983635,620.845642842763,745635.6170541584,12000,5246.3806089242
,59,122,745635.6170541584,1242.7260284235974,6759.247407235035,5516.521378811438,616.7659130627891,740735.8615884098,12000,5240.752592764965
,60,121,740735.8615884098,1234.5597693140164,6764.880113407733,5530.320344093717,612.6712843702634,735818.2125286863,12000,5235.119886592267
,61,120,735818.2125286863,1226.3636875478105,6770.517513502237,5544.153825954427,608.5617155856099,730882.6204183175,12000,5229.482486497763
,62,119,730882.6204183175,1218.137700697196,6776.159611430159,5558.021910732963,604.4371654229872,725929.0356730075,12000,5223.840388569841
,63,118,725929.0356730075,1209.8817261216793,6781.806411106353,5571.924684984674,600.297592490019,720957.4085805127,12000,5218.193588893647
,64,117,720957.4085805127,1201.5956809675213,6787.457916448942,5585.8622354814215,596.1429552875262,715967.6893003188,12000,5212.542083551058
,65,116,715967.6893003188,1193.2794821671982,6793.114131379318,5599.83464921212,591.9732122092556,710959.827863316,12000,5206.885868620682
,66,115,710959.827863316,1184.9330464388602,6798.775059822134,5613.842013383273,587.7883215416107,705933.7741714744,12000,5201.224940177866
,67,114,705933.7741714744,1176.5562902857907,6804.440705705321,5627.88441541953,583.5882414633791,700889.4779975183,12000,5195.559294294679
,68,113,700889.4779975183,1168.1491299958639,6810.11107296008,5641.961942964215,579.3729300454618,695826.8889845995,12000,5189.88892703992
,69,112,695826.8889845995,1159.7114816409992,6815.786165520875,5656.074683879876,575.1423452505998,690745.9566459702,12000,5184.213834479125
,70,111,690745.9566459702,1151.243261076617,6821.46598732548,5670.222726248862,570.8964449331012,685646.6303646545,12000,5178.53401267452
,71,110,685646.6303646545,1142.7443839410907,6827.150542314919,5684.4061583738285,566.6351868385673,680528.8593931192,12000,5172.849457685081
,72,109,680528.8593931192,1134.2147656551988,6832.839834433514,5698.625068778315,562.3585286036175,675392.5928529445,12000,5167.160165566486
,73,108,675392.5928529445,1125.6543214215742,6838.533867628877,5712.879546207302,558.0664277556144,670237.7797344929,12000,5161.466132371123
,74,107,670237.7797344929,1117.062966224155,6844.2326458519055,5727.16967962775,553.7588417123876,665064.3688965775,12000,5155.7673541480945
,75,106,665064.3688965775,1108.4406148276294,6849.9361730567825,5741.495558229153,549.435727781957,659872.3090661303,12000,5150.0638269432175
,76,105,659872.3090661303,1099.787181776884,6855.644453200996,5755.857271424113,545.0970431622552,654661.5488378684,12000,5144.355546799004
