input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'זכאות', 'amortization': 'קרן שווה', 'duration': 96, 'interest': 0.025, 'cpi': 0.018000000000000002, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,96,1001500,2086.4583333333335,10432.291666666666,12518.75,1486.6015625000002,992554.3098958334,12000,0
,2,95,992554.3098958334,2067.821478949653,10447.940104166668,12515.76158311632,1473.1595546875003,983579.5293463542,12000,0
,3,94,983579.5293463542,2049.124019471571,10463.612014322916,12512.736033794488,1459.6738759980472,974575.5912080293,12000,0
,4,93,974575.5912080293,2030.3658150167278,10479.307432344402,12509.67324736113,1446.1444256635275,965542.4282013484,12000,0
,5,92,965542.4282013484,2011.5467254194757,10495.026393492917,12506.573118912393,1432.5711027117834,956479.9729105673,12000,0
,6,91,956479.9729105673,1992.6666102303486,10510.768933083156,12503.435543313504,1418.9538059662264,947388.1577834503,12000,0
,7,90,947388.1577834503,1973.7253287155215,10526.535086482781,12500.260415198303,1405.2924340454515,938266.915131013,12000,0
,8,89,938266.915131013,1954.722739856277,10542.324889112506,12497.047628968783,1391.586885362851,929116.1771272634,12000,0
,9,88,929116.1771272634,1935.6587023484653,10558.138376446175,12493.79707879464,1377.837058126226,919935.8758089434,12000,0
,10,87,919935.8758089434,1916.5330746019654,10573.975584010845,12490.508658612809,1364.0428503373992,910725.94307527,12000,0
,11,86,910725.94307527,1897.345714740146,10589.836547386862,12487.182262127008,1350.204159791825,901486.310687675,12000,0
,12,85,901486.310687675,1878.0964805993228,10605.721302207941,12483.817782807264,1336.3208840782008,892216.9102695453,12000,0
,13,84,892216.9102695453,1858.7852297282193,10621.629884161253,12480.415113889472,1322.3929205780762,882917.6733059621,12000,0
,14,83,882917.6733059621,1839.411819387421,10637.562328987495,12476.974148374917,1308.4201664654622,873588.53114344,12000,0
,15,82,873588.53114344,1819.9761065488335,10653.518672480976,12473.494779029808,1294.402518706439,864229.4149896655,12000,0
,16,81,864229.4149896655,1800.4779478951364,10669.498950489697,12469.976898384833,1280.339874058764,854840.2559132345,12000,0
,17,80,854840.2559132345,1780.9171998192387,10685.503198915432,12466.42039873467,1266.232129071479,845420.9848433906,12000,0
,18,79,845420.9848433906,1761.2937184237305,10701.531453713806,12462.825172137536,1252.0791800845154,835971.5325697614,12000,0
,19,78,835971.5325697614,1741.607359520336,10717.583750894377,12459.191110414713,1237.8809232283006,826491.8297420953,12000,0
,20,77,826491.8297420953,1721.857978629365,10733.66012652072,12455.518105150084,1223.6372544233623,816981.806869998,12000,0
,21,76,816981.806869998,1702.0454309791623,10749.7606167105,12451.806047689663,1209.3480693799313,807441.3943226674,12000,0
,22,75,807441.3943226674,1682.169571505557,10765.885257635566,12448.054829141123,1195.0132635975478,797870.5223286293,12000,0
,23,74,797870.5223286293,1662.230254851311,10782.034085522017,12444.264340373327,1180.632732364661,788269.1209754719,12000,0
,24,73,788269.1209754719,1642.2273353655664,10798.2071366503,12440.434472015866,1166.2063707582327,778637.1202095798,12000,0
,25,72,778637.1202095798,1622.1606671032912,10814.404447355275,12436.565114458566,1151.734073643337,768974.4498358679,12000,0
,26,71,768974.4498358679,1602.0301038247246,10830.626054026308,12432.656157851034,1137.2157356727625,759281.0395175143,12000,0
,27,70,759281.0395175143,1581.8354989948214,10846.871993107346,12428.707492102169,1122.6512512866107,749556.8187756935,12000,0
,28,69,749556.8187756935,1561.576705782695,10863.142301097008,12424.719006879703,1108.040514711895,739801.7169893084,12000,0
,29,68,739801.7169893084,1541.253577061059,10879.437014548652,12420.690591609711,1093.3834199621397,730015.6633947218,12000,0
,30,67,730015.6633947218,1520.8659654056705,10895.756170070475,12416.622135476146,1078.6798608369772,720198.5870854883,12000,0
,31,66,720198.5870854883,1500.4137230947672,10912.09980432558,12412.513527420348,1063.929730921744,710350.4170120844,12000,0
,32,65,710350.4170120844,1479.896702108509,10928.467954032067,12408.364656140577,1049.1329235870785,700471.0819816394,12000,0
,33,64,700471.0819816394,1459.3147541284154,10944.860655963115,12404.175410091531,1034.2893319885147,690560.5106576649,12000,0
,34,63,690560.5106576649,1438.6677305368019,10961.27794694706,12399.945677483862,1019.3988490660769,680618.631559784,12000,0
,35,62,680618.631559784,1417.9554824162165,10977.719863867484,12395.6753462837,1004.4613675438749,670645.3730634603,12000,0
,36,61,670645.3730634603,1397.1778605488757,10994.186443663284,12391.36430421216,989.4767799296957,660640.6633997267,12000,0
,37,60,660640.6633997267,1376.3347154160974,11010.67772332878,12387.012438744878,974.444978514597,650604.4306549125,12000,0
,38,59,650604.4306549125,1355.4258971977342,11027.193739913771,12382.619637111506,959.3658553724982,640536.6027703712,12000,0
,39,58,640536.6027703712,1334.4512557716068,11043.734530523641,12378.185786295247,944.2393023597715,630437.1075422073,12000,0
,40,57,630437.1075422073,1313.410640712932,11060.300132319428,12373.710773032359,929.065211114832,620305.8726210027,12000,0
,41,56,620305.8726210027,1292.3039012937556,11076.890582517906,12369.194483811661,913.8434730577274,610142.8255115425,12000,0
,42,55,610142.8255115425,1271.1308864823802,11093.505918391682,12364.636804874062,898.5739793897264,599947.8935725406,12000,0
,43,54,599947.8935725406,1249.891444942793,11110.146177269271,12360.037622212065,883.2566210929072,589721.0040163642,12000,0
,44,53,589721.0040163642,1228.5854250340922,11126.811396535175,12355.396821569268,867.8912889297437,579462.0839087588,12000,0
,45,52,579462.0839087588,1207.2126748099142,11143.501613629978,12350.714288439893,852.4778734426934,569171.0601685715,12000,0
,46,51,569171.0601685715,1185.7730420178573,11160.216866050423,12345.98990806828,837.0162649537818,558847.8595674749,12000,0
,47,50,558847.8595674749,1164.266374098906,11176.957191349498,12341.223565448405,821.5063535641883,548492.4087296897,12000,0
,48,49,548492.4087296897,1142.6925181868535,11193.722627136523,12336.415145323377,805.9480291538299,538104.634131707,12000,0
,49,48,538104.634131707,1121.051321107723,11210.51321107723,12331.564532184953,790.3411813809448,527684.4621020107,12000,0
,50,47,527684.4621020107,1099.342629379189,11227.328980893846,12326.671610273035,774.6856996816755,517231.8188207986,12000,0
,51,46,517231.8188207986,1077.566289209997,11244.169974365186,12321.736263575183,758.9814732696502,506746.630319703,12000,0
,52,45,506746.630319703,1055.7221464993813,11261.036229326734,12316.758375826115,743.2283911355645,496228.82248151186,12000,0
,53,44,496228.82248151186,1033.810046836483,11277.927783670724,12311.737830507207,727.4263420467619,485678.3210398879,12000,0
,54,43,485678.3210398879,1011.8298354997664,11294.84467534623,12306.674510845996,711.5752145468126,475095.0515790885,12000,0
,55,42,475095.0515790885,989.7813574564343,11311.78694235925,12301.568299815684,695.674896955094,464478.93953368434,12000,0
,56,41,464478.93953368434,967.6644573618423,11328.754622772789,12296.41908013463,679.7252773663674,453829.9101882779,12000,0
,57,40,453829.9101882779,945.4789795589122,11345.747754706947,12291.22673426586,663.7262436503565,443147.8886772213,12000,0
,58,39,443147.8886772213,923.2247680775444,11362.766376339008,12285.991144416552,647.6776834513236,432432.79998433363,12000,0
,59,38,432432.79998433363,900.9016666340284,11379.810525903516,12280.712192537545,631.5794841876452,421684.56894261774,12000,0
