input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'זכאות', 'amortization': 'שפיצר', 'duration': 180, 'interest': 0.0375, 'cpi': 0.022000000000000002, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,180,1001833.3333333334,3130.7291666666665,7285.5568380365585,4154.827671369892,1829.0772603802666,999507.5829223437,12000,4714.4431619634415
,2,179,999507.5829223437,3123.461196632324,7298.9136922396265,4175.452495607302,1824.7755724490169,997156.9059991854,12000,4701.0863077603735
,3,178,997156.9059991854,3116.115331247454,7312.295034008732,4196.179702761277,1820.4279982101111,994781.1542946342,12000,4687.704965991268
,4,177,994781.1542946342,3108.691107170732,7325.70090823775,4217.009801067018,1816.0342649048732,992380.1787584721,12000,4674.29909176225
,5,176,992380.1787584721,3101.188058620225,7339.131359902853,4237.9433012826275,1811.5940983381809,989953.8295555277,12000,4660.868640097147
,6,175,989953.8295555277,3093.605717361024,7352.586434062675,4258.9807167016515,1807.1072228711812,987501.9560616972,12000,4647.413565937325
,7,174,987501.9560616972,3085.9436126928035,7366.0661758584565,4280.1225631656525,1802.5733614139747,985024.4068599456,12000,4633.9338241415435
,8,173,985024.4068599456,3078.20127143733,7379.5706305141985,4301.369359076869,1797.9922354182597,982521.0297362871,12000,4620.4293694858015
,9,172,982521.0297362871,3070.378217925897,7393.099843336809,4322.721625410912,1793.3635648699396,979991.6716757461,12000,4606.900156663191
,10,171,979991.6716757461,3062.4739739867064,7406.65385971626,4344.1798857295535,1788.687068281697,977436.1788582982,12000,4593.34614028374
,11,170,977436.1788582982,3054.4880589321815,7420.232725125739,4365.744666193557,1783.9624626855252,974854.3966547902,12000,4579.767274874261
,12,169,974854.3966547902,3046.419989546219,7433.836485121805,4387.416495575586,1779.1894636252268,972246.1696228398,12000,4566.163514878195
,13,168,972246.1696228398,3038.269280071374,7447.465185344528,4409.1959052731545,1774.3677851488721,969611.3415027155,12000,4552.534814655472
,14,167,969611.3415027155,3030.0354421959855,7461.1188715176595,4431.083429321674,1769.4971398012221,966949.7552131951,12000,4538.8811284823405
,15,166,966949.7552131951,3021.7179850412344,7474.797589448777,4453.079604407543,1764.5772386161107,964261.2528474036,12000,4525.202410551223
,16,165,964261.2528474036,3013.316415148136,7488.501385029433,4475.184969881297,1759.6077911087912,961545.6756686311,12000,4511.498614970567
,17,164,961545.6756686311,3004.830236464472,7502.230304235321,4497.400067770848,1754.588505268244,958802.8641061285,12000,4497.769695764679
,18,163,958802.8641061285,2996.2589503316512,7515.98439312642,4519.725442794769,1749.5190875494454,956032.6577508831,12000,4484.01560687358
,19,162,956032.6577508831,2987.6020554715096,7529.763697847151,4542.161642375641,1744.3992428655972,953234.8953513731,12000,4470.236302152849
,20,161,953234.8953513731,2978.8590479730406,7543.568264626538,4564.709216653497,1739.2286745803194,950409.4148093,12000,4456.431735373462
,21,160,950409.4148093,2970.0294212790623,7557.398139778355,4587.368718499292,1734.0070844998013,947556.0531753005,12000,4442.601860221645
,22,159,947556.0531753005,2961.1126661728135,7571.2533697012805,4610.1407035284665,1728.7341728649155,944674.646644637,12000,4428.7466302987195
,23,158,944674.646644637,2952.1082707644905,7585.134000879069,4633.025730114579,1723.4096383432914,941765.0305528657,12000,4414.865999120931
,24,157,941765.0305528657,2943.015720477705,7599.040079880681,4656.024359402976,1718.0331780213485,938827.0393714841,12000,4400.959920119319
,25,156,938827.0393714841,2933.8344980358875,7612.971653360463,4679.137155324575,1712.6044873962926,935860.5067035558,12000,4387.028346639537
,26,155,935860.5067035558,2924.5640834486117,7626.92876805829,4702.364684609678,1707.123260368068,932865.2652793141,12000,4373.07123194171
,27,154,932865.2652793141,2915.2039539978564,7640.9114707997305,4725.707516801875,1701.5891892312727,929841.1469517435,12000,4359.0885292002695
,28,153,929841.1469517435,2905.753584224198,7654.919808496197,4749.166224271999,1696.0019646670314,926787.9826921385,12000,4345.080191503803
,29,152,926787.9826921385,2896.2124459129327,7668.953828145109,4772.741382232176,1690.3612757348285,923705.6025856412,12000,4331.046171854891
,30,151,923705.6025856412,2886.5800080801287,7683.013576830041,4796.4335687499115,1684.6668098643008,920593.8358267556,12000,4316.986423169959
,31,150,920593.8358267556,2876.855736958611,7697.099101720898,4820.2433647622875,1678.918252846988,917452.5107148404,12000,4302.900898279102
,32,149,917452.5107148404,2867.039095983876,7711.210450074053,4844.171354090177,1673.1152888280421,914281.4546495782,12000,4288.789549925947
,33,148,914281.4546495782,2857.1295457799315,7725.347669232523,4868.2181234525915,1667.257600297897,911080.4941264235,12000,4274.652330767477
,34,147,911080.4941264235,2847.1265441450732,7739.510806626116,4892.384262481043,1661.3448680838947,907849.4547320264,12000,4260.489193373884
,35,146,907849.4547320264,2837.0295460375823,7753.699909771597,4916.670363734014,1655.3767713418697,904588.1611396343,12000,4246.300090228403
,36,145,904588.1611396343,2826.838003561357,7767.915026272846,4941.07702271149,1649.352987547692,901296.4371044704,12000,4232.084973727154
,37,144,901296.4371044704,2816.55136595147,7782.156203821014,4965.604837869544,1643.2731924887685,897974.1054590897,12000,4217.843796178986
,38,143,897974.1054590897,2806.169079559655,7796.423490194687,4990.2544106350315,1637.1370602555005,894620.9881087103,12000,4203.576509805313
,39,142,894620.9881087103,2795.6905878397192,7810.716933260045,5015.026345420326,1630.9442632326984,891236.9060265227,12000,4189.283066739955
,40,141,891236.9060265227,2785.115331332883,7825.036580971024,5039.921249638141,1624.694472090955,887821.6792489755,12000,4174.963419028976
,41,140,887821.6792489755,2774.442747653048,7839.38248136947,5064.939733716422,1618.387355777975,884375.1268710371,12000,4160.61751863053
,42,139,884375.1268710371,2763.6722714719904,7853.754682585315,5090.082411113324,1612.0225815098604,880897.0670414336,12000,4146.245317414685
,43,138,880897.0670414336,2752.80333450448,7868.153232836725,5115.349898332244,1605.5998147623527,877387.3169578637,12000,4131.846767163275
,44,137,877387.3169578637,2741.835365493324,7882.578180430257,5140.742814936933,1599.1187192620328,873845.6928621889,12000,4117.421819569743
,45,136,873845.6928621889,2730.7677901943403,7897.029573761048,5166.261783566708,1592.5789569774743,870272.0100355997,12000,4102.970426238952
,46,135,870272.0100355997,2719.600031361249,7911.507461312945,5191.907429951696,1585.980188110355,866666.0827937584,12000,4088.4925386870545
,47,134,866666.0827937584,2708.3315087304945,7926.011891658683,5217.680382928189,1579.322071086522,863027.7244819166,12000,4073.9881083413165
,48,133,863027.7244819166,2696.961639005989,7940.54291346006,5243.581274454071,1572.604262547015,859356.7474700096,12000,4059.45708653994
,49,132,859356.7474700096,2685.48983584378,7955.10057546807,5269.61073962429,1565.82641733904,855652.9631477244,12000,4044.89942453193
,50,131,855652.9631477244,2673.9155098366386,7969.684926523096,5295.769416686457,1558.988188506903,851916.1819195448,12000,4030.315073476904
,51,130,851916.1819195448,2662.2380684985774,7984.2960155550545,5322.057947056477,1552.0892272828955,848146.2131997712,12000,4015.7039844449455
,52,129,848146.2131997712,2650.456916249285,7998.933891583573,5348.476975334288,1545.1291830781345,844342.8654075151,12000,4001.0661084164267
,53,128,844342.8654075151,2638.5714543984845,8013.598603718145,5375.02714931966,1538.1077034733585,840505.9459616687,12000,3986.4013962818553
,54,127,840505.9459616687,2626.5810811302144,8028.290201158295,5401.70912002808,1531.0244342096746,836635.2612758504,12000,3971.7097988417054
,55,126,836635.2612758504,2614.4851914870324,8043.008733193752,5428.52354170672,1523.8790191792634,832730.6167533229,12000,3956.991266806248
,56,125,832730.6167533229,2602.283177354134,8057.754249204607,5455.471071850473,1516.671100416033,828791.8167818884,12000,3942.245750795393
,57,124,828791.8167818884,2589.974427443401,8072.526798661483,5482.552371218082,1509.400318086229,824818.6647287565,12000,3927.4732013385174
,58,123,824818.6647287565,2577.558327277364,8087.326431125696,5509.768103848332,1502.0663104789985,820810.9629353872,12000,3912.673568874304
,59,122,820810.9629353872,2565.0342591730846,8102.153196249427,5537.118937076342,1494.6687139969033,816768.5127123077,12000,3897.8468037505727
,60,121,816768.5127123077,2552.4016022259616,8117.007143775887,5564.605541549925,1487.2071631463893,812691.1143339041,12000,3882.992856224113
,61,120,812691.1143339041,2539.6597322934504,8131.888323539474,5592.228591246024,1479.6812905282065,808578.5670331862,12000,3868.111676460526
,62,119,808578.5670331862,2526.8080219787066,8146.796785465963,5619.988763487256,1472.0907268277817,804430.6689965267,12000,3853.203214534037
,63,118,804430.6689965267,2513.845840614146,8161.732579572653,5647.886738958507,1464.4351008055419,800247.2173583738,12000,3838.267420427347
,64,117,800247.2173583738,2500.772554244918,8176.695755968537,5675.923201723619,1456.7140392871922,796028.0081959374,12000,3823.304244031463
,65,116,796028.0081959374,2487.587525612304,8191.6863648544795,5704.098839242175,1448.9271671539414,791772.8365238492,12000,3808.3136351455205
,66,115,791772.8365238492,2474.2901141370285,8206.704456523383,5732.414342386354,1441.0741073326822,787481.4962887956,12000,3793.2955434766172
,67,114,787481.4962887956,2460.8796759024863,8221.750081360342,5760.870405457856,1433.1544807861194,783153.7803641239,12000,3778.249918639658
,68,113,783153.7803641239,2447.355563637887,8236.823289842838,5789.467726204951,1425.1679065028516,778789.4805444218,12000,3763.1767101571622
,69,112,778789.4805444218,2433.717126701318,8251.924132540884,5818.207005839566,1417.1140014874009,774388.3875400696,12000,3748.075867459116
,70,111,774388.3875400696,2419.9637110627173,8267.052660117208,5847.0889490544905,1408.9923807501946,769950.2909717654,12000,3732.947339882792
,71,110,769950.2909717654,2406.0946592867667,8282.208923327427,5876.114264040661,1400.8026572974957,765474.9793650223,12000,3717.7910766725727
,72,109,765474.9793650223,2392.1093105156942,8297.392973020194,5905.2836625045,1392.5444421212826,760962.240144639,12000,3702.6070269798056
,73,108,760962.240144639,2378.0070004519966,8312.604860137397,5934.5978596854,1384.2173441890818,756411.8596291427,12000,3687.395139862603
,74,107,756411.8596291427,2363.7870613410705,8327.844635714317,5964.057574373246,1375.8209704337442,751823.6230252032,12000,3672.1553642856834
,75,106,751823.6230252032,2349.4488219537598,8343.112350879795,5993.663528926036,1367.3549257431748,747197.3144220203,12000,3656.8876491202045
,76,105,747197.3144220203,2334.9916075688134,8358.40805685641,6023.416449287596,1358.8188129500102,742532.7167856828,12000,3641.5919431435905
,77,104,742532.7167856828,2320.4147399552585,8373.731804960646,6053.317065005387,1350.212232821242,737829.6119534987,12000,3626.2681950393544
,78,103,737829.6119534987,2305.7175373546834,8389.083646603078,6083.366109248394,1341.5347840477923,733087.7806282981,12000,3610.916353396922
,79,102,733087.7806282981,2290.8993144634314,8404.463633288518,6113.564318825087,1332.786063234034,728307.002372707,12000,3595.5363667114816
,80,101,728307.002372707,2275.959382414709,8419.87181661621,6143.912434201502,1323.9656648872603,723487.0556033928,12000,3580.1281833837893
,81,100,723487.0556033928,2260.897048760602,8435.308248280007,6174.411199519405,1315.0731814071014,718627.7175852804,12000,3564.6917517199927
,82,99,718627.7175852804,2245.711617454001,8450.772980068525,6205.061362614524,1306.1082030748876,713728.7644257408,12000,3549.2270199314753
,83,98,713728.7644257408,2230.40238883044,8466.26606386532,6235.86367503488,1297.0703180429612,708789.971068749,12000,3533.7339361346803
,84,97,708789.971068749,2214.96865958984,8481.787551649073,6266.818892059233,1287.9591123239313,703811.1112890136,12000,3518.212448350927
,85,96,703811.1112890136,2199.4097227781676,8497.337495493763,6297.927772715595,1278.77416977988,698791.9576860779,12000,3502.6625045062374
,86,95,698791.9576860779,2183.724867768993,8512.915947568834,6329.191079799841,1269.51507211151,693732.2816783896,12000,3487.084052431166
,87,94,693732.2816783896,2167.9133802449674,8528.52296013938,6360.609579894413,1260.1813988472413,688631.8534973424,12000,3471.4770398606197
,88,93,688631.8534973424,2151.974542179195,8544.158585566305,6392.18404338711,1250.7727273322516,683490.4421812876,12000,3455.841414433695
,89,92,683490.4421812876,2135.9076318165235,8559.822876306509,6423.9152444899855,1241.2886327174622,678307.815569515,12000,3440.177123693491
,90,91,678307.815569515,2119.711923654734,8575.515884913071,6455.803961258337,1231.7286879484707,673083.740296205,12000,3424.484115086929
,91,90,673083.740296205,2103.3866884256404,8591.23766403541,6487.85097560977,1222.092463754425,667817.9817843498,12000,3408.7623359645895
,92,89,667817.9817843498,2086.9311930760928,8606.988266419481,6520.057073343389,1212.3795286368452,662510.3042396432,12000,3393.011733580519
,93,88,662510.3042396432,2070.344700748885,8622.767744907916,6552.423044159032,1202.5894488583876,657160.4706443425,12000,3377.2322550920835
,94,87,657160.4706443425,2053.62647076357,8638.576152440248,6584.949681676678,1192.7217884315542,651768.2427510973,12000,3361.423847559752
,95,86,651768.2427510973,2036.775758597179,8654.413542053055,6617.637783455875,1182.7761091073428,646333.3810767487,12000,3345.5864579469453
