input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'זכאות', 'amortization': 'שפיצר', 'duration': 300, 'interest': 0.0375, 'cpi': 0.018000000000000002, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,300,1001500,3129.6874999999995,5149.023964017545,2019.3364640175455,1499.220995303974,1000979.8845312864,12000,6850.976035982455
,2,299,1000979.8845312864,3128.06213916027,5156.747499963571,2028.6853608033007,1498.426798755725,1000449.6259692389,12000,6843.252500036429
,3,298,1000449.6259692389,3126.4050811538714,5164.482621213518,2038.0775400596463,1497.617322643769,999909.165751823,12000,6835.517378786482
,4,297,999909.165751823,3124.7161429744465,5172.229345145337,2047.5132021708905,1496.7924788244784,999358.4450284766,12000,6827.770654854663
,5,296,999358.4450284766,3122.9951407139893,5179.987689163056,2056.9925484490664,1495.9521787200415,998797.4046587476,12000,6820.012310836944
,6,295,998797.4046587476,3121.241889558586,5187.757670696801,2066.515781138215,1495.0963333164143,998225.9852109258,12000,6812.242329303199
,7,294,998225.9852109258,3119.456203784143,5195.539307202846,2076.0831034187036,1494.2248531612609,997644.1269606684,12000,6804.460692797154
,8,293,997644.1269606684,3117.637896752088,5203.3326161636505,2085.6947194115623,1493.3376483618854,997051.7698896187,12000,6796.6673838363495
,9,292,997051.7698896187,3115.786780905058,5211.137615087897,2095.3508341828388,1492.434628583154,996448.8536840191,12000,6788.862384912103
,10,291,996448.8536840191,3113.9026677625593,5218.954321510529,2105.0516537479693,1491.515703045407,995835.3177333166,12000,6781.045678489471
,11,290,995835.3177333166,3111.985367916614,5226.782752992795,2114.7973850761814,1490.5807805223608,995211.1011287627,12000,6773.217247007205
,12,289,995211.1011287627,3110.0346910273834,5234.622927122285,2124.5882360949013,1489.629769339002,994576.1426620068,12000,6765.377072877715
,13,288,994576.1426620068,3108.050445818771,5242.474861512967,2134.4244156941963,1488.662577369469,993930.3808236821,12000,6757.525138487033
,14,287,993930.3808236821,3106.032440074006,5250.338573805237,2144.3061337312306,1487.6791120349264,993273.7538019858,12000,6749.661426194763
,15,286,993273.7538019858,3103.9804806312054,5258.214081665946,2154.2336010347403,1486.6792803014268,992606.1994812525,12000,6741.785918334054
,16,285,992606.1994812525,3101.8943733789138,5266.101402788444,2164.20702940953,1485.6629886777648,991927.6554405207,12000,6733.898597211556
,17,284,991927.6554405207,3099.773923251627,5274.000554892627,2174.2266316410005,1484.6301432133198,991238.058952093,12000,6725.999445107373
,18,283,991238.058952093,3097.6189342252906,5281.911555724966,2184.2926214996755,1483.5806494958904,990537.3469800893,12000,6718.088444275034
,19,282,990537.3469800893,3095.4292093127788,5289.834423058554,2194.4052137457757,1482.5144126495156,989825.4561789931,12000,6710.165576941446
,20,281,989825.4561789931,3093.2045505593533,5297.769174693142,2204.564624133789,1481.4313373322893,989102.3228921916,12000,6702.230825306858
,21,280,989102.3228921916,3090.9447590380983,5305.715828455182,2214.771069417084,1480.331327734162,988367.8831505086,12000,6694.284171544818
,22,279,988367.8831505086,3088.6496348453393,5313.674402197866,2225.0247673525264,1479.2142875747345,987622.0726707309,12000,6686.325597802134
,23,278,987622.0726707309,3086.318977096034,5321.644913801162,2235.3259367051282,1478.0801201010388,986864.8268541268,12000,6678.355086198838
,24,277,986864.8268541268,3083.952583919146,5329.627381171865,2245.6747972527187,1476.9287280853111,986096.0807849594,12000,6670.372618828135
,25,276,986096.0807849594,3081.550252452998,5337.621822243623,2256.071569790625,1475.7600138227533,985315.7692289915,12000,6662.378177756377
,26,275,985315.7692289915,3079.111778840598,5345.628254976988,2266.5164761363894,1474.573879129283,984523.8266319843,12000,6654.371745023012
,27,274,984523.8266319843,3076.636958224951,5353.646697359453,2277.0097391345025,1473.370225339275,983720.1871181892,12000,6646.353302640547
,28,273,983720.1871181892,3074.125584744341,5361.677167405493,2287.5515826611518,1472.1489533032923,982904.7844888314,12000,6638.322832594507
,29,272,982904.7844888314,3071.577451527598,5369.719683156602,2298.1422316290036,1470.9099633858038,982077.5522205882,12000,6630.280316843398
,30,271,982077.5522205882,3068.992350689338,5377.774262681337,2308.781911991999,1469.6531554628946,981238.4234640591,12000,6622.225737318663
,31,270,981238.4234640591,3066.3700733251844,5385.840924075359,2319.4708507501746,1468.3784289199637,980387.3310422288,12000,6614.159075924641
,32,269,980387.3310422288,3063.710409506965,5393.919685461472,2330.209275954507,1467.0856826494116,979524.2074489237,12000,6606.080314538528
,33,268,979524.2074489237,3061.0131482778866,5402.010564989664,2340.9974167117775,1465.7748150483183,978648.9848472603,12000,6597.989435010336
,34,267,978648.9848472603,3058.278077647688,5410.113580837149,2351.835503189461,1464.4457240161064,977761.5950680869,12000,6589.886419162851
,35,266,977761.5950680869,3055.504984587771,5418.228751208404,2362.723766620633,1463.0983069521997,976861.9696084184,12000,6581.771248791596
,36,265,976861.9696084184,3052.693655026307,5426.356094335218,2373.6624393089105,1461.7324607536646,975950.0396298631,12000,6573.643905664782
,37,264,975950.0396298631,3049.843873843322,5434.49562847672,2384.6517546333985,1460.3480818128448,975025.7359570425,12000,6565.50437152328
,38,263,975025.7359570425,3046.955424865758,5442.6473719194355,2395.6919470536777,1458.9450660149837,974088.9890760039,12000,6557.3526280805645
,39,262,974088.9890760039,3044.028090862512,5450.811342977314,2406.783252114802,1457.523308735834,973139.7291326249,12000,6549.188657022686
,40,261,973139.7291326249,3041.0616535394524,5458.9875599917805,2417.925906452328,1456.0827048392591,972177.8859310119,12000,6541.0124400082195
,41,260,972177.8859310119,3038.055893534412,5467.176041331769,2429.120147797357,1454.623148674822,971203.3889318893,12000,6532.823958668231
,42,259,971203.3889318893,3035.0105904121538,5475.3768053937665,2440.3662149816128,1453.1445340753617,970216.1672509831,12000,6524.6231946062335
,43,258,970216.1672509831,3031.925522659322,5483.589870601857,2451.664347942535,1451.646754354561,969216.1496573951,12000,6516.410129398143
,44,257,969216.1496573951,3028.8004676793594,5491.815255407761,2463.014787728401,1450.1297023045001,968203.2645719711,12000,6508.184744592239
,45,256,968203.2645719711,3025.6352017874096,5500.0529782908725,2474.417776503463,1448.5932701932018,967177.4400656609,12000,6499.9470217091275
,46,255,967177.4400656609,3022.42950020519,5508.303057758309,2485.8735575531186,1447.0373497621617,966138.6038578699,12000,6491.696942241691
,47,254,966138.6038578699,3019.183137055843,5516.565512344945,2497.382375289102,1445.4618322238714,965086.6833148047,12000,6483.434487655055
,48,253,965086.6833148047,3015.895885358764,5524.840360613464,2508.9444752547,1443.8666082593252,964021.6054478092,12000,6475.159639386536
,49,252,964021.6054478092,3012.5675170244035,5533.127621154384,2520.56010412998,1442.251568015519,962943.2969116948,12000,6466.872378845616
,50,251,962943.2969116948,3009.197802849046,5541.4273125861155,2532.2295097370693,1440.6166011029368,961851.6840030607,12000,6458.5726874138845
,51,250,961851.6840030607,3005.7865125095645,5549.739453554995,2543.95294104543,1438.9615965930232,960746.6926586083,12000,6450.260546445005
,52,249,960746.6926586083,3002.3334145581507,5558.064062735329,2555.730648177178,1437.286443015647,959628.2484534468,12000,6441.935937264671
,53,248,959628.2484534468,2998.838276417021,5566.401158829431,2567.5628824124096,1435.5910283565518,958496.2765993909,12000,6433.598841170569
,54,247,958496.2765993909,2995.3008643730964,5574.750760567676,2579.449896194579,1433.8752400547946,957350.7019432511,12000,6425.249239432324
,55,246,957350.7019432511,2991.7209435726595,5583.112886708528,2591.3919431358686,1432.1389650001731,956191.4489651154,12000,6416.887113291472
,56,245,956191.4489651154,2988.098278015985,5591.48755603859,2603.3892780226047,1430.3820895306394,955018.4417766234,12000,6408.51244396141
,57,244,955018.4417766234,2984.4326305519476,5599.874787372647,2615.4421568206994,1428.6044994297042,953831.6041192324,12000,6400.125212627353
,58,243,953831.6041192324,2980.723762872601,5608.274599553708,2627.550836681107,1426.8060799238272,952630.8593624751,12000,6391.725400446292
,59,242,952630.8593624751,2976.9714355077344,5616.6870114530375,2639.715575945303,1424.986715679795,951416.1305022095,12000,6383.3129885469625
,60,241,951416.1305022095,2973.1754078194044,5625.1120419702165,2651.936634150812,1423.1462908020883,950187.3401588608,12000,6374.8879580297835
,61,240,950187.3401588608,2969.33543799644,5633.549710033172,2664.2142720367324,1421.2846888302363,948944.4105756544,12000,6366.450289966828
,62,239,948944.4105756544,2965.45128304892,5642.000034598223,2676.548751549303,1419.4017927361579,947687.2636168412,12000,6357.999965401777
,63,238,947687.2636168412,2961.5226988026284,5650.463034650121,2688.9403358474924,1417.497484921491,946415.8207659152,12000,6349.536965349879
,64,237,946415.8207659152,2957.5494398934848,5658.938729202096,2701.389289308611,1415.5716472149102,945130.0031238216,12000,6341.061270797904
,65,236,945130.0031238216,2953.5312597619422,5667.4271372959,2713.895877533958,1413.6241608694318,943829.731407157,12000,6332.5728627041
,66,235,943829.731407157,2949.4679106473654,5675.928278001843,2726.4603673544775,1411.6549065597042,942514.9259463623,12000,6324.071721998157
,67,234,942514.9259463623,2945.359143582382,5684.442170418847,2739.0830268364653,1409.663764379289,941185.5066839051,12000,6315.557829581153
,68,233,941185.5066839051,2941.2047083872035,5692.968833674476,2751.7641252872722,1407.650613837927,939841.3931724557,12000,6307.031166325524
,69,232,939841.3931724557,2937.0043536639237,5701.508286924985,2764.503933261062,1405.6153338587922,938482.5045730534,12000,6298.491713075015
,70,231,938482.5045730534,2932.7578267907916,5710.060549355375,2777.3027225645833,1403.5578027757335,937108.7596532647,12000,6289.939450644625
,71,230,937108.7596532647,2928.464873916452,5718.625640179409,2790.160766262957,1401.4778983305027,935720.0767853323,12000,6281.374359820591
,72,229,935720.0767853323,2924.125239954163,5727.203578639678,2803.078338685515,1399.3754976699704,934316.3739443166,12000,6272.796421360322
,73,228,934316.3739443166,2919.7386685759893,5735.794384007637,2816.0557154316475,1397.2504773433277,932897.5687062283,12000,6264.205615992363
,74,227,932897.5687062283,2915.304902206963,5744.398075583649,2829.093173376686,1395.1027132992776,931463.578246151,12000,6255.601924416351
,75,226,931463.578246151,2910.8236820192215,5753.014672697025,2842.1909906778037,1392.93208088321,930014.3193363564,12000,6246.985327302975
,76,225,930014.3193363564,2906.2947479261134,5761.644194706071,2855.349446779958,1390.7384548343648,928549.7083444108,12000,6238.355805293929
,77,224,928549.7083444108,2901.717838576283,5770.286660998129,2868.568822421846,1388.5217092829837,927069.6612312719,12000,6229.713339001871
,78,223,927069.6612312719,2897.0926913477247,5778.942090989628,2881.8493996419033,1386.2817177474453,925574.0935493775,12000,6221.057909010372
,79,222,925574.0935493775,2892.4190423418045,5787.610504126113,2895.191461784308,1384.01835313139,924062.9204407246,12000,6212.389495873887
,80,221,924062.9204407246,2887.6966263772642,5796.291919882303,2908.5952935050386,1381.7314877208296,922536.0566349404,12000,6203.708080117697
,81,220,922536.0566349404,2882.9251769841885,5804.986357762126,2922.061180777938,1379.4209931812438,920993.4164473438,12000,6195.013642237874
,82,219,920993.4164473438,2878.104426397949,5813.693837298769,2935.58941090082,1377.0867405546646,919434.9137769976,12000,6186.306162701231
,83,218,919434.9137769976,2873.2341055531174,5822.414378054719,2949.180272501602,1374.7286002567444,917860.4621047528,12000,6177.585621945281
