input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'זכאות', 'amortization': 'קרן שווה', 'duration': 216, 'interest': 0.045, 'cpi': 0.01, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,216,1000833.3333333334,3753.125,4633.4876543209875,8386.612654320987,830.1665380658437,997030.0122170782,12000,3613.3873456790134
,2,215,997030.0122170782,3738.862545814043,4637.348894032922,8376.211439846964,826.9938861025379,993219.6572091479,12000,3623.788560153036
,3,214,993219.6572091479,3724.5737145343046,4641.213351444617,8365.787065978922,823.8153698814195,989402.2592275848,12000,3634.2129340210777
,4,213,989402.2592275848,3710.2584721034427,4645.081029237487,8355.33950134093,820.6309818319562,985577.8091801793,12000,3644.66049865907
,5,212,985577.8091801793,3695.916784425672,4648.951930095185,8344.868714520857,817.4407143750701,981746.2979644592,12000,3655.131285479143
,6,211,981746.2979644592,3681.548617366722,4652.826056703598,8334.374674070319,814.2445599231297,977907.7164676788,12000,3665.625325929681
,7,210,977907.7164676788,3667.1539367537953,4656.703411750851,8323.857348504647,811.04251087994,974062.0555668079,12000,3676.1426514953528
,8,209,974062.0555668079,3652.7327083755295,4660.5839979273105,8313.31670630284,807.8345596407339,970209.3061285213,12000,3686.6832936971605
,9,208,970209.3061285213,3638.284897981955,4664.467817925583,8302.752715907538,804.6206985921632,966349.4590091879,12000,3697.247284092462
,10,207,966349.4590091879,3623.8104712844543,4668.354874440522,8292.165345724976,801.4009201122896,962482.5050548597,12000,3707.834654275024
,11,206,962482.5050548597,3609.309393955724,4672.245170169222,8281.554564124945,798.1752165705753,958608.435101261,12000,3718.4454358750554
,12,205,958608.435101261,3594.7816316297285,4676.138707811029,8270.920339440758,794.943580327875,954727.2399737779,12000,3729.0796605592423
,13,204,954727.2399737779,3580.227149901667,4680.035490067538,8260.262639969205,791.7060037364254,950838.9104874468,12000,3739.7373600307947
,14,203,950838.9104874468,3565.6459143279253,4683.935519642595,8249.581433970521,788.4624791398369,946943.4374469441,12000,3750.418566029479
,15,202,946943.4374469441,3551.03789042604,4687.838799242298,8238.876689668337,785.2129988730849,943040.8116465749,12000,3761.1233103316627
,16,201,943040.8116465749,3536.4030436746557,4691.745331574999,8228.148375249655,781.9575552624999,939131.0238702623,12000,3771.851624750345
,17,200,939131.0238702623,3521.7413395134836,4695.655119351311,8217.396458864794,778.6961406257592,935214.0648915367,12000,3782.603541135206
,18,199,935214.0648915367,3507.0527433432626,4699.568165284104,8206.620908627367,775.4287472718772,931289.9254735245,12000,3793.3790913726334
,19,198,931289.9254735245,3492.337220525717,4703.484472088508,8195.821692614225,772.1553675011967,927358.5963689372,12000,3804.178307385775
,20,197,927358.5963689372,3477.5947363835144,4707.404042481915,8184.998778865429,768.8759936053794,923420.0683200606,12000,3815.001221134571
,21,196,923420.0683200606,3462.825256200227,4711.326879183983,8174.15213538421,765.5906178673972,919474.332058744,12000,3825.84786461579
,22,195,919474.332058744,3448.02874522029,4715.252984916636,8163.281730136926,762.2992325615229,915521.3783063889,12000,3836.718269863074
,23,194,915521.3783063889,3433.205168648958,4719.182362404066,8152.387531053024,759.0018299533207,911561.1977739381,12000,3847.612468946976
,24,193,911561.1977739381,3418.354491652268,4723.115014372736,8141.469506025004,755.6984022996378,907593.781161865,12000,3858.530493974996
,25,192,907593.781161865,3403.4766793569934,4727.05094355138,8130.527622908374,752.3889418485948,903619.1191601623,12000,3869.472377091626
,26,191,903619.1191601623,3388.5716968506085,4730.990152671006,8119.561849521615,749.0734408395762,899637.2024483308,12000,3880.438150478385
,27,190,899637.2024483308,3373.6395091812406,4734.932644464899,8108.572153646139,745.7518915032216,895648.0216953692,12000,3891.4278463538612
,28,189,895648.0216953692,3358.680081357634,4738.87842166862,8097.558503026254,742.4242860614171,891651.5675597619,12000,3902.4414969737463
,29,188,891651.5675597619,3343.693378349107,4742.82748702001,8086.520865369117,739.0906167272849,887647.8306894691,12000,3913.479134630883
,30,187,887647.8306894691,3328.6793650855093,4746.7798432591935,8075.459208344702,735.7508757051751,883636.8017219151,12000,3924.5407916552977
,31,186,883636.8017219151,3313.6380064571817,4750.735493128576,8064.373499585758,732.4050551906555,879618.4712839773,12000,3935.6265004142424
,32,185,879618.4712839773,3298.5692673149147,4754.69443937285,8053.263706687765,729.0531473705037,875592.8299919749,12000,3946.736293312235
,33,184,875592.8299919749,3283.4731124699056,4758.656684738994,8042.1297972089,725.6951444226966,871559.8684516585,12000,3957.8702027911004
,34,183,871559.8684516585,3268.3495066937194,4762.622231976276,8030.971738669996,722.3310385164019,867519.5772581986,12000,3969.028261330004
,35,182,867519.5772581986,3253.1984147182447,4766.591083836256,8019.789498554501,718.9608218119687,863471.9469961743,12000,3980.210501445499
,36,181,863471.9469961743,3238.0198012356536,4770.5632430727865,8008.58304430844,715.5844864609179,859416.9682395624,12000,3991.4169556915604
,37,180,859416.9682395624,3222.8136308983585,4774.538712442013,7997.352343340372,712.2020246059336,855354.6315517263,12000,4002.6476566596284
,38,179,855354.6315517263,3207.5798683189732,4778.517494702382,7986.097363021355,708.8134283808533,851284.9274854048,12000,4013.902636978645
,39,178,851284.9274854048,3192.3184780702677,4782.499592614634,7974.818070684902,705.4186899106585,847207.8465827008,12000,4025.1819293150984
,40,177,847207.8465827008,3177.029424685128,4786.485008941812,7963.51443362694,702.0178013114659,843123.3793750704,12000,4036.4855663730596
,41,176,843123.3793750704,3161.712672656514,4790.473746449264,7952.1864191057775,698.6107546905178,839031.5163833117,12000,4047.8135808942225
,42,175,839031.5163833117,3146.368186437419,4794.4658079046385,7940.833994342058,695.1975421461726,834932.2481175533,12000,4059.166005657942
,43,174,834932.2481175533,3130.995930440825,4798.461196077893,7929.457126518718,691.7781557678962,830825.5650772434,12000,4070.542873481282
,44,173,830825.5650772434,3115.5958690396624,4802.4599137412915,7918.055782780953,688.3525876362518,826711.4577511383,12000,4081.9442172190465
,45,172,826711.4577511383,3100.1679665667684,4806.461963669409,7906.629930236177,684.9208298228907,822589.9166172917,12000,4093.3700697638233
,46,171,822589.9166172917,3084.712187314844,4810.467348639133,7895.179535953977,681.4828743905439,818460.9321430431,12000,4104.820464046023
,47,170,818460.9321430431,3069.2284955364116,4814.476071429665,7883.7045669660765,678.0387133930112,814324.4947850065,12000,4116.2954330339235
,48,169,814324.4947850065,3053.7168554437744,4818.4881348225235,7872.204990266298,674.5883388751533,810180.594989059,12000,4127.795009733702
,49,168,810180.594989059,3038.177231208971,4822.503541601542,7860.680772810512,671.1317428728812,806029.2231903303,12000,4139.319227189488
,50,167,806029.2231903303,3022.6095869637384,4826.522294552876,7849.131881516614,667.6689174131479,801870.3698131905,12000,4150.868118483386
,51,166,801870.3698131905,3007.013886799464,4830.544396465003,7837.558283264467,664.199854513938,797704.0252712396,12000,4162.441716735533
,52,165,797704.0252712396,2991.390094767148,4834.569850128724,7825.9599448958725,660.7245461842591,793530.1799672951,12000,4174.0400551041275
,53,164,793530.1799672951,2975.738174877357,4838.598658337166,7814.336833214523,657.2429844241317,789348.8242933821,12000,4185.663166785477
,54,163,789348.8242933821,2960.058091100183,4842.63082388578,7802.6889149859635,653.7551612245803,785159.948630721,12000,4197.3110850140365
,55,162,785159.948630721,2944.3498073652036,4846.6663495723515,7791.016156937555,650.2610685676239,780963.5433497162,12000,4208.983843062445
,56,161,780963.5433497162,2928.6132875614358,4850.705238196995,7779.318525758431,646.7606984262661,776759.5988099455,12000,4220.681474241569
,57,160,776759.5988099455,2912.8484955372955,4854.747492562159,7767.595988099454,643.2540427644861,772548.1053601479,12000,4232.404011900546
,58,159,772548.1053601479,2897.0553951005545,4858.793115472628,7755.848510573183,639.7410935372294,768329.0533382124,12000,4244.151489426817
,59,158,768329.0533382124,2881.2339500182966,4862.842109735521,7744.076059753817,636.2218426903975,764102.4330711673,12000,4255.923940246183
,60,157,764102.4330711673,2865.384124016877,4866.894478160301,7732.278602177179,632.6962821608392,759868.2348751678,12000,4267.721397822821
,61,156,759868.2348751678,2849.505880781879,4870.950223558768,7720.456104340647,629.1644038763409,755626.4490554853,12000,4279.543895659353
,62,155,755626.4490554853,2833.5991839580697,4875.009348745067,7708.608532703136,625.6261997556169,751377.0659064958,12000,4291.391467296864
,63,154,751377.0659064958,2817.663997149359,4879.0718565356865,7696.735853685046,622.0816617083001,747120.0757116684,12000,4303.264146314954
