input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'קרן שווה', 'duration': 108, 'interest': 0.0325, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,108,1000000,2708.3333333333335,9259.25925925926,11967.592592592593,0,990740.7407407408,12000,32.407407407406936
,2,107,990740.7407407408,2683.2561728395062,9259.25925925926,11942.515432098766,0,981481.4814814816,12000,57.484567901234186
,3,106,981481.4814814816,2658.1790123456794,9259.259259259261,11917.43827160494,0,972222.2222222224,12000,82.56172839505962
,4,105,972222.2222222224,2633.101851851852,9259.259259259261,11892.361111111113,0,962962.9629629632,12000,107.63888888888687
,5,104,962962.9629629632,2608.0246913580254,9259.259259259261,11867.283950617286,0,953703.7037037039,12000,132.71604938271412
,6,103,953703.7037037039,2582.947530864198,9259.259259259261,11842.206790123459,0,944444.4444444447,12000,157.79320987654137
,7,102,944444.4444444447,2557.8703703703713,9259.259259259263,11817.129629629635,0,935185.1851851855,12000,182.87037037036498
,8,101,935185.1851851855,2532.793209876544,9259.259259259263,11792.052469135808,0,925925.9259259263,12000,207.94753086419223
,9,100,925925.9259259263,2507.7160493827173,9259.259259259263,11766.97530864198,0,916666.6666666671,12000,233.02469135801948
,10,99,916666.6666666671,2482.63888888889,9259.259259259263,11741.898148148153,0,907407.4074074079,12000,258.10185185184673
,11,98,907407.4074074079,2457.5617283950633,9259.259259259265,11716.820987654328,0,898148.1481481487,12000,283.17901234567216
,12,97,898148.1481481487,2432.484567901236,9259.259259259265,11691.7438271605,0,888888.8888888895,12000,308.2561728394994
,13,96,888888.8888888895,2407.407407407409,9259.259259259265,11666.666666666673,0,879629.6296296302,12000,333.33333333332666
,14,95,879629.6296296302,2382.330246913582,9259.259259259266,11641.589506172848,0,870370.370370371,12000,358.4104938271521
,15,94,870370.370370371,2357.253086419755,9259.259259259266,11616.51234567902,0,861111.1111111118,12000,383.48765432097935
,16,93,861111.1111111118,2332.175925925928,9259.259259259266,11591.435185185193,0,851851.8518518526,12000,408.5648148148066
,17,92,851851.8518518526,2307.098765432101,9259.259259259268,11566.35802469137,0,842592.5925925934,12000,433.6419753086302
,18,91,842592.5925925934,2282.021604938274,9259.259259259268,11541.280864197543,0,833333.3333333342,12000,458.71913580245746
,19,90,833333.3333333342,2256.9444444444466,9259.259259259268,11516.203703703715,0,824074.074074075,12000,483.7962962962847
,20,89,824074.074074075,2231.86728395062,9259.25925925927,11491.12654320989,0,814814.8148148158,12000,508.87345679011014
,21,88,814814.8148148158,2206.7901234567926,9259.25925925927,11466.049382716063,0,805555.5555555564,12000,533.9506172839374
,22,87,805555.5555555564,2181.7129629629653,9259.25925925927,11440.972222222235,0,796296.2962962971,12000,559.0277777777646
,23,86,796296.2962962971,2156.635802469138,9259.259259259268,11415.895061728406,0,787037.0370370379,12000,584.1049382715937
,24,85,787037.0370370379,2131.558641975311,9259.25925925927,11390.81790123458,0,777777.7777777787,12000,609.1820987654191
,25,84,777777.7777777787,2106.481481481484,9259.25925925927,11365.740740740754,0,768518.5185185194,12000,634.2592592592464
,26,83,768518.5185185194,2081.404320987657,9259.25925925927,11340.663580246926,0,759259.25925926,12000,659.3364197530736
,27,82,759259.25925926,2056.3271604938295,9259.259259259268,11315.586419753097,0,750000.0000000008,12000,684.4135802469027
,28,81,750000.0000000008,2031.2500000000023,9259.25925925927,11290.509259259272,0,740740.7407407416,12000,709.4907407407281
,29,80,740740.7407407416,2006.1728395061753,9259.25925925927,11265.432098765445,0,731481.4814814823,12000,734.5679012345554
,30,79,731481.4814814823,1981.095679012348,9259.25925925927,11240.354938271617,0,722222.222222223,12000,759.6450617283826
,31,78,722222.222222223,1956.0185185185205,9259.259259259268,11215.277777777788,0,712962.9629629637,12000,784.7222222222117
,32,77,712962.9629629637,1930.9413580246935,9259.25925925927,11190.200617283963,0,703703.7037037045,12000,809.7993827160371
,33,76,703703.7037037045,1905.8641975308665,9259.25925925927,11165.123456790137,0,694444.4444444452,12000,834.8765432098626
,34,75,694444.4444444452,1880.7870370370392,9259.25925925927,11140.04629629631,0,685185.1851851859,12000,859.9537037036898
,35,74,685185.1851851859,1855.7098765432117,9259.259259259268,11114.96913580248,0,675925.9259259267,12000,885.0308641975207
,36,73,675925.9259259267,1830.6327160493847,9259.25925925927,11089.891975308656,0,666666.6666666674,12000,910.1080246913443
,37,72,666666.6666666674,1805.5555555555577,9259.25925925927,11064.814814814828,0,657407.4074074081,12000,935.1851851851716
,38,71,657407.4074074081,1780.4783950617305,9259.25925925927,11039.737654321001,0,648148.1481481488,12000,960.2623456789988
,39,70,648148.1481481488,1755.401234567903,9259.259259259268,11014.66049382717,0,638888.8888888896,12000,985.3395061728297
,40,69,638888.8888888896,1730.324074074076,9259.25925925927,10989.583333333347,0,629629.6296296304,12000,1010.4166666666533
,41,68,629629.6296296304,1705.246913580249,9259.25925925927,10964.50617283952,0,620370.370370371,12000,1035.4938271604806
,42,67,620370.370370371,1680.1697530864217,9259.25925925927,10939.429012345692,0,611111.1111111117,12000,1060.5709876543078
,43,66,611111.1111111117,1655.0925925925942,9259.259259259268,10914.351851851863,0,601851.8518518525,12000,1085.648148148137
,44,65,601851.8518518525,1630.0154320987672,9259.25925925927,10889.274691358038,0,592592.5925925933,12000,1110.7253086419623
,45,64,592592.5925925933,1604.9382716049402,9259.25925925927,10864.19753086421,0,583333.333333334,12000,1135.8024691357896
,46,63,583333.333333334,1579.861111111113,9259.259259259268,10839.120370370381,0,574074.0740740747,12000,1160.8796296296186
,47,62,574074.0740740747,1554.7839506172859,9259.25925925927,10814.043209876556,0,564814.8148148155,12000,1185.956790123444
,48,61,564814.8148148155,1529.7067901234589,9259.259259259272,10788.96604938273,0,555555.5555555562,12000,1211.0339506172695
,49,60,555555.5555555562,1504.6296296296314,9259.25925925927,10763.888888888901,0,546296.2962962969,12000,1236.1111111110986
,50,59,546296.2962962969,1479.5524691358041,9259.259259259268,10738.811728395072,0,537037.0370370377,12000,1261.1882716049276
,51,58,537037.0370370377,1454.475308641977,9259.25925925927,10713.734567901247,0,527777.7777777785,12000,1286.265432098753
,52,57,527777.7777777785,1429.39814814815,9259.259259259272,10688.657407407421,0,518518.5185185192,12000,1311.3425925925785
,53,56,518518.5185185192,1404.3209876543228,9259.259259259272,10663.580246913594,0,509259.2592592599,12000,1336.4197530864058
,54,55,509259.2592592599,1379.2438271604956,9259.259259259272,10638.503086419767,0,500000.00000000064,12000,1361.496913580233
,55,54,500000.00000000064,1354.1666666666683,9259.259259259272,10613.42592592594,0,490740.74074074137,12000,1386.5740740740603
,56,53,490740.74074074137,1329.0895061728413,9259.259259259272,10588.348765432112,0,481481.4814814821,12000,1411.6512345678875
,57,52,481481.4814814821,1304.012345679014,9259.259259259272,10563.271604938285,0,472222.22222222283,12000,1436.7283950617148
,58,51,472222.22222222283,1278.9351851851868,9259.259259259272,10538.194444444458,0,462962.96296296356,12000,1461.805555555542
,59,50,462962.96296296356,1253.8580246913598,9259.259259259272,10513.117283950633,0,453703.7037037043,12000,1486.8827160493674
,60,49,453703.7037037043,1228.7808641975325,9259.259259259272,10488.040123456805,0,444444.444444445,12000,1511.9598765431947
,61,48,444444.444444445,1203.7037037037053,9259.259259259272,10462.962962962978,0,435185.18518518575,12000,1537.037037037022
,62,47,435185.18518518575,1178.626543209878,9259.259259259272,10437.88580246915,0,425925.9259259265,12000,1562.1141975308492
,63,46,425925.9259259265,1153.549382716051,9259.259259259272,10412.808641975324,0,416666.6666666672,12000,1587.1913580246764
,64,45,416666.6666666672,1128.4722222222238,9259.259259259272,10387.731481481496,0,407407.40740740794,12000,1612.2685185185037
,65,44,407407.40740740794,1103.3950617283965,9259.259259259272,10362.654320987669,0,398148.14814814867,12000,1637.345679012331
,66,43,398148.14814814867,1078.3179012345693,9259.259259259272,10337.577160493842,0,388888.8888888894,12000,1662.4228395061582
