input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'קרן שווה', 'duration': 168, 'interest': 0.035, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,168,1000000,2916.666666666667,5952.380952380952,8869.047619047618,0,994047.619047619,12000,3130.9523809523816
,2,167,994047.619047619,2899.3055555555557,5952.380952380952,8851.686507936509,0,988095.2380952381,12000,3148.313492063491
,3,166,988095.2380952381,2881.944444444445,5952.380952380952,8834.325396825398,0,982142.8571428572,12000,3165.6746031746025
,4,165,982142.8571428572,2864.5833333333335,5952.380952380952,8816.964285714286,0,976190.4761904762,12000,3183.0357142857138
,5,164,976190.4761904762,2847.2222222222226,5952.380952380952,8799.603174603175,0,970238.0952380953,12000,3200.396825396825
,6,163,970238.0952380953,2829.8611111111113,5952.380952380952,8782.242063492064,0,964285.7142857143,12000,3217.7579365079364
,7,162,964285.7142857143,2812.5,5952.380952380952,8764.880952380952,0,958333.3333333334,12000,3235.1190476190477
,8,161,958333.3333333334,2795.138888888889,5952.380952380952,8747.519841269841,0,952380.9523809524,12000,3252.480158730159
,9,160,952380.9523809524,2777.777777777778,5952.380952380952,8730.15873015873,0,946428.5714285715,12000,3269.8412698412703
,10,159,946428.5714285715,2760.416666666667,5952.380952380952,8712.797619047618,0,940476.1904761905,12000,3287.2023809523816
,11,158,940476.1904761905,2743.0555555555557,5952.380952380952,8695.436507936509,0,934523.8095238096,12000,3304.563492063491
,12,157,934523.8095238096,2725.694444444445,5952.380952380953,8678.075396825398,0,928571.4285714286,12000,3321.9246031746025
,13,156,928571.4285714286,2708.3333333333335,5952.380952380953,8660.714285714286,0,922619.0476190477,12000,3339.2857142857138
,14,155,922619.0476190477,2690.9722222222226,5952.380952380953,8643.353174603177,0,916666.6666666667,12000,3356.6468253968233
,15,154,916666.6666666667,2673.6111111111113,5952.380952380953,8625.992063492064,0,910714.2857142858,12000,3374.0079365079364
,16,153,910714.2857142858,2656.2500000000005,5952.380952380953,8608.630952380954,0,904761.9047619049,12000,3391.369047619046
,17,152,904761.9047619049,2638.888888888889,5952.380952380953,8591.269841269843,0,898809.5238095239,12000,3408.730158730157
,18,151,898809.5238095239,2621.5277777777783,5952.380952380953,8573.908730158731,0,892857.142857143,12000,3426.0912698412685
,19,150,892857.142857143,2604.166666666667,5952.380952380953,8556.54761904762,0,886904.761904762,12000,3443.45238095238
,20,149,886904.761904762,2586.805555555556,5952.380952380953,8539.186507936509,0,880952.3809523811,12000,3460.813492063491
,21,148,880952.3809523811,2569.444444444445,5952.380952380953,8521.825396825398,0,875000.0000000001,12000,3478.1746031746025
,22,147,875000.0000000001,2552.083333333334,5952.380952380953,8504.464285714286,0,869047.6190476192,12000,3495.5357142857138
,23,146,869047.6190476192,2534.7222222222226,5952.380952380953,8487.103174603177,0,863095.2380952382,12000,3512.8968253968233
,24,145,863095.2380952382,2517.3611111111118,5952.380952380953,8469.742063492065,0,857142.8571428573,12000,3530.2579365079346
,25,144,857142.8571428573,2500.0000000000005,5952.380952380953,8452.380952380954,0,851190.4761904763,12000,3547.619047619046
,26,143,851190.4761904763,2482.6388888888896,5952.380952380953,8435.019841269843,0,845238.0952380954,12000,3564.980158730157
,27,142,845238.0952380954,2465.2777777777783,5952.380952380953,8417.658730158731,0,839285.7142857144,12000,3582.3412698412685
,28,141,839285.7142857144,2447.9166666666674,5952.380952380953,8400.29761904762,0,833333.3333333335,12000,3599.70238095238
,29,140,833333.3333333335,2430.555555555556,5952.380952380953,8382.936507936509,0,827380.9523809525,12000,3617.063492063491
,30,139,827380.9523809525,2413.194444444445,5952.380952380953,8365.575396825398,0,821428.5714285716,12000,3634.4246031746025
,31,138,821428.5714285716,2395.833333333334,5952.380952380953,8348.214285714286,0,815476.1904761906,12000,3651.7857142857138
,32,137,815476.1904761906,2378.4722222222226,5952.380952380953,8330.853174603177,0,809523.8095238097,12000,3669.1468253968233
,33,136,809523.8095238097,2361.1111111111118,5952.380952380954,8313.492063492065,0,803571.4285714288,12000,3686.5079365079346
,34,135,803571.4285714288,2343.7500000000005,5952.380952380954,8296.130952380954,0,797619.0476190478,12000,3703.869047619046
,35,134,797619.0476190478,2326.3888888888896,5952.380952380954,8278.769841269845,0,791666.6666666669,12000,3721.2301587301554
,36,133,791666.6666666669,2309.0277777777783,5952.380952380954,8261.408730158731,0,785714.2857142859,12000,3738.5912698412685
,37,132,785714.2857142859,2291.6666666666674,5952.380952380954,8244.047619047622,0,779761.904761905,12000,3755.952380952378
,38,131,779761.904761905,2274.305555555556,5952.380952380954,8226.68650793651,0,773809.523809524,12000,3773.3134920634893
