input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'משתנה לא צמודה כל 5', 'amortization': 'שפיצר', 'duration': 180, 'interest': 0.0425, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,180,1000000,3541.666666666667,7522.784111092745,3981.117444426078,0,996018.882555574,12000,4477.215888907255
,2,179,996018.882555574,3527.566875717658,7522.784111092746,3995.2172353750875,0,992023.6653201989,12000,4477.215888907254
,3,178,992023.6653201989,3513.417148009038,7522.784111092747,4009.3669630837085,0,988014.2983571151,12000,4477.215888907253
,4,177,988014.2983571151,3499.21730668145,7522.7841110927475,4023.5668044112977,0,983990.7315527038,12000,4477.2158889072525
,5,176,983990.7315527038,3484.9671742491596,7522.784111092749,4037.8169368435897,0,979952.9146158602,12000,4477.215888907251
,6,175,979952.9146158602,3470.6665725978387,7522.784111092749,4052.1175384949106,0,975900.7970773653,12000,4477.215888907251
,7,174,975900.7970773653,3456.3153229823356,7522.784111092751,4066.4687881104155,0,971834.3282892549,12000,4477.215888907249
,8,173,971834.3282892549,3441.9132460244446,7522.784111092751,4080.8708650683066,0,967753.4574241866,12000,4477.215888907249
,9,172,967753.4574241866,3427.4601617106614,7522.784111092754,4095.3239493820925,0,963658.1334748046,12000,4477.215888907246
,10,171,963658.1334748046,3412.955889389933,7522.784111092754,4109.828221702821,0,959548.3052531017,12000,4477.215888907246
,11,170,959548.3052531017,3398.400247771402,7522.784111092755,4124.383863321353,0,955423.9213897804,12000,4477.215888907245
,12,169,955423.9213897804,3383.793054922139,7522.784111092756,4138.9910561706165,0,951284.9303336097,12000,4477.215888907244
,13,168,951284.9303336097,3369.1341282648677,7522.784111092757,4153.649982827888,0,947131.2803507819,12000,4477.215888907243
,14,167,947131.2803507819,3354.423284575686,7522.784111092757,4168.360826517071,0,942962.9195242648,12000,4477.215888907243
,15,166,942962.9195242648,3339.6603399817714,7522.784111092758,4183.123771110987,0,938779.7957531537,12000,4477.215888907242
,16,165,938779.7957531537,3324.8451099590866,7522.78411109276,4197.939001133674,0,934581.8567520201,12000,4477.21588890724
