input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'קרן שווה', 'duration': 192, 'interest': 0.0475, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,192,1000000,3958.3333333333335,5208.333333333333,9166.666666666666,0,994791.6666666666,12000,2833.333333333334
,2,191,994791.6666666666,3937.717013888889,5208.333333333333,9146.050347222223,0,989583.3333333333,12000,2853.9496527777774
,3,190,989583.3333333333,3917.1006944444443,5208.333333333333,9125.434027777777,0,984374.9999999999,12000,2874.5659722222226
,4,189,984374.9999999999,3896.484375,5208.333333333333,9104.817708333332,0,979166.6666666665,12000,2895.182291666668
,5,188,979166.6666666665,3875.868055555555,5208.333333333332,9084.201388888887,0,973958.3333333331,12000,2915.798611111113
,6,187,973958.3333333331,3855.251736111111,5208.333333333332,9063.585069444443,0,968749.9999999998,12000,2936.4149305555566
,7,186,968749.9999999998,3834.635416666666,5208.333333333332,9042.968749999998,0,963541.6666666664,12000,2957.031250000002
,8,185,963541.6666666664,3814.0190972222213,5208.333333333332,9022.352430555553,0,958333.333333333,12000,2977.647569444447
,9,184,958333.333333333,3793.402777777777,5208.333333333331,9001.736111111108,0,953124.9999999997,12000,2998.2638888888923
,10,183,953124.9999999997,3772.786458333332,5208.333333333331,8981.119791666664,0,947916.6666666663,12000,3018.8802083333358
,11,182,947916.6666666663,3752.170138888888,5208.333333333331,8960.503472222219,0,942708.3333333329,12000,3039.496527777781
,12,181,942708.3333333329,3731.553819444443,5208.333333333331,8939.887152777774,0,937499.9999999995,12000,3060.1128472222263
,13,180,937499.9999999995,3710.9374999999986,5208.33333333333,8919.270833333328,0,932291.6666666662,12000,3080.7291666666715
,14,179,932291.6666666662,3690.321180555554,5208.33333333333,8898.654513888883,0,927083.3333333328,12000,3101.3454861111168
,15,178,927083.3333333328,3669.7048611111095,5208.33333333333,8878.03819444444,0,921874.9999999994,12000,3121.96180555556
,16,177,921874.9999999994,3649.0885416666647,5208.33333333333,8857.421874999995,0,916666.666666666,12000,3142.5781250000055
,17,176,916666.666666666,3628.47222222222,5208.333333333329,8836.80555555555,0,911458.3333333327,12000,3163.1944444444507
,18,175,911458.3333333327,3607.8559027777756,5208.333333333329,8816.189236111106,0,906249.9999999993,12000,3183.810763888894
,19,174,906249.9999999993,3587.2395833333308,5208.333333333329,8795.57291666666,0,901041.6666666659,12000,3204.4270833333394
,20,173,901041.6666666659,3566.6232638888864,5208.333333333329,8774.956597222215,0,895833.3333333326,12000,3225.0434027777846
,21,172,895833.3333333326,3546.0069444444416,5208.3333333333285,8754.34027777777,0,890624.9999999992,12000,3245.65972222223
,22,171,890624.9999999992,3525.3906249999973,5208.3333333333285,8733.723958333325,0,885416.6666666658,12000,3266.276041666675
,23,170,885416.6666666658,3504.7743055555525,5208.3333333333285,8713.107638888881,0,880208.3333333324,12000,3286.8923611111186
,24,169,880208.3333333324,3484.1579861111077,5208.3333333333285,8692.491319444436,0,874999.9999999991,12000,3307.508680555564
,25,168,874999.9999999991,3463.5416666666633,5208.333333333328,8671.87499999999,0,869791.6666666657,12000,3328.125000000009
,26,167,869791.6666666657,3442.9253472222185,5208.333333333328,8651.258680555546,0,864583.3333333323,12000,3348.7413194444543
,27,166,864583.3333333323,3422.309027777774,5208.333333333328,8630.642361111102,0,859374.999999999,12000,3369.357638888898
,28,165,859374.999999999,3401.6927083333294,5208.333333333327,8610.026041666657,0,854166.6666666656,12000,3389.973958333343
,29,164,854166.6666666656,3381.076388888885,5208.333333333327,8589.409722222212,0,848958.3333333322,12000,3410.5902777777883
,30,163,848958.3333333322,3360.4600694444403,5208.333333333327,8568.793402777766,0,843749.9999999988,12000,3431.2065972222335
,31,162,843749.9999999988,3339.8437499999955,5208.333333333326,8548.177083333321,0,838541.6666666655,12000,3451.822916666679
,32,161,838541.6666666655,3319.227430555551,5208.333333333326,8527.560763888876,0,833333.3333333321,12000,3472.439236111124
,33,160,833333.3333333321,3298.6111111111063,5208.333333333326,8506.944444444433,0,828124.9999999987,12000,3493.0555555555675
,34,159,828124.9999999987,3277.994791666662,5208.333333333325,8486.328124999987,0,822916.6666666653,12000,3513.6718750000127
,35,158,822916.6666666653,3257.378472222217,5208.333333333325,8465.711805555542,0,817708.333333332,12000,3534.288194444458
,36,157,817708.333333332,3236.762152777773,5208.333333333325,8445.095486111099,0,812499.9999999986,12000,3554.9045138889014
,37,156,812499.9999999986,3216.145833333328,5208.333333333324,8424.479166666652,0,807291.6666666652,12000,3575.5208333333485
,38,155,807291.6666666652,3195.5295138888837,5208.333333333324,8403.862847222208,0,802083.3333333319,12000,3596.137152777792
,39,154,802083.3333333319,3174.913194444439,5208.333333333324,8383.246527777763,0,796874.9999999985,12000,3616.753472222237
,40,153,796874.9999999985,3154.296874999994,5208.333333333323,8362.630208333318,0,791666.6666666651,12000,3637.3697916666824
,41,152,791666.6666666651,3133.6805555555497,5208.333333333323,8342.013888888872,0,786458.3333333317,12000,3657.9861111111277
,42,151,786458.3333333317,3113.064236111105,5208.333333333323,8321.397569444427,0,781249.9999999984,12000,3678.602430555573
,43,150,781249.9999999984,3092.4479166666606,5208.333333333322,8300.781249999982,0,776041.666666665,12000,3699.218750000018
,44,149,776041.666666665,3071.831597222216,5208.333333333322,8280.164930555538,0,770833.3333333316,12000,3719.8350694444616
,45,148,770833.3333333316,3051.2152777777715,5208.333333333322,8259.548611111093,0,765624.9999999983,12000,3740.451388888907
,46,147,765624.9999999983,3030.5989583333267,5208.333333333321,8238.932291666648,0,760416.6666666649,12000,3761.067708333352
,47,146,760416.6666666649,3009.982638888882,5208.333333333321,8218.315972222203,0,755208.3333333315,12000,3781.6840277777974
,48,145,755208.3333333315,2989.3663194444375,5208.333333333321,8197.69965277776,0,749999.9999999981,12000,3802.300347222241
,49,144,749999.9999999981,2968.7499999999927,5208.33333333332,8177.083333333313,0,744791.6666666648,12000,3822.916666666687
,50,143,744791.6666666648,2948.1336805555484,5208.33333333332,8156.467013888869,0,739583.3333333314,12000,3843.5329861111313
,51,142,739583.3333333314,2927.5173611111036,5208.333333333319,8135.850694444423,0,734374.999999998,12000,3864.1493055555766
