input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'משתנה צמודה כל 5', 'amortization': 'שפיצר', 'duration': 180, 'interest': 0.025, 'cpi': 0.025, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,180,1002083.3333333334,2087.6736111111113,6681.783531943946,4594.109920832835,2078.102548776043,999567.3259612767,12000,5318.216468056054
,2,179,999567.3259612767,2082.431929085993,6695.703914302165,4613.271985216172,2072.820945783459,997026.8749218439,12000,5304.296085697835
,3,178,997026.8749218439,2077.1393227538415,6709.653297456962,4632.513974703121,2067.48825197321,994461.8491991139,12000,5290.346702543038
,4,177,994461.8491991139,2071.7955191648207,6723.631741826666,4651.836222661846,2062.104193700942,991872.117170153,12000,5276.368258173334
,5,176,991872.117170153,2066.4002441044854,6737.63930795547,4671.239063850984,2056.668496054796,989257.5466023568,12000,5262.36069204453
,6,175,989257.5466023568,2060.9532220882434,6751.676056513713,4690.722834425469,2051.180882849857,986618.0046507812,12000,5248.323943486287
,7,174,986618.0046507812,2055.454176355794,6765.74204829812,4710.287871942326,2045.641076622581,983953.3578554614,12000,5234.25795170188
,8,173,983953.3578554614,2049.9028288655445,6779.837344232075,4729.934515366531,2040.0487986251976,981263.4721387201,12000,5220.162655767925
,9,172,981263.4721387201,2044.2989002890001,6793.962005365894,4749.663105076894,2034.40376882009,978548.2128024633,12000,5206.037994634106
,10,171,978548.2128024633,2038.6421100051318,6808.116092877075,4769.473982871943,2028.7057058741486,975807.4445254655,12000,5191.883907122925
,11,170,975807.4445254655,2032.9321760947198,6822.299668070568,4789.367491975849,2022.9543271531033,973041.0313606428,12000,5177.700331929432
,12,169,973041.0313606428,2027.1688153346724,6836.5127923790515,4809.343977044379,2017.14934871583,970248.8367323142,12000,5163.4872076209485
,13,168,970248.8367323142,2021.3517431923212,6850.755527363177,4829.403784170856,2011.290485308632,967430.723433452,12000,5149.244472636823
,14,167,967430.723433452,2015.4806738196914,6865.027934711849,4849.547260892158,2005.3774503594996,964586.5536229194,12000,5134.972065288151
,15,166,964586.5536229194,2009.5553200477486,6879.3300762425015,4869.774756194753,1999.409955972343,961716.1888226969,12000,5120.6699237574985
,16,165,961716.1888226969,2003.5753933806186,6893.662013901343,4890.086620520724,1993.3877129212005,958819.4899150975,12000,5106.337986098657
,17,164,958819.4899150975,1997.5406039897864,6908.02380976364,4910.483205773854,1987.310430644424,955896.317139968,12000,5091.97619023636
,18,163,955896.317139968,1991.4506607082667,6922.415526033981,4930.9648653257145,1981.177817238838,952946.5300918812,12000,5077.584473966019
,19,162,952946.5300918812,1985.3052710247523,6936.837225046556,4951.531954021804,1974.9895794538736,949969.9877173132,12000,5063.162774953444
,20,161,949969.9877173132,1979.104141077736,6951.2889692654035,4972.184828187667,1968.7454226856782,946966.5483118112,12000,5048.7110307345965
,21,160,946966.5483118112,1972.8469756496065,6965.770821284707,4992.923845635101,1962.4450509712,943936.0695171473,12000,5034.229178715293
