input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'משתנה צמודה כל 5', 'amortization': 'שפיצר', 'duration': 60, 'interest': 0.025, 'cpi': 0.015, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,60,1001250,2085.9375,17769.545807486298,15683.608307486298,1231.9579896156422,986798.3496821293,12000,0
,2,59,986798.3496821293,2055.8298951711026,17791.75773974568,15735.927844574579,1213.8280272969434,972276.2498648517,12000,0
,3,58,972276.2498648517,2025.5755205517744,17813.99743692038,15788.421916368607,1195.6097849356038,957683.4377334187,12000,0
,4,57,957683.4377334187,1995.1738286112889,17836.264933716535,15841.091105105246,1177.3029332853919,943019.6495615988,12000,0
,5,56,943019.6495615988,1964.6242699199975,17858.56026488371,15893.935994963711,1158.9071419582938,928284.6207085933,12000,0
,6,55,928284.6207085933,1933.9262931429028,17880.883465214803,15946.957172071901,1140.4220794206517,913478.085615942,12000,0
,7,54,913478.085615942,1903.0793450332126,17903.23456954636,16000.155224513146,1121.847412989286,898599.7778044181,12000,0
,8,53,898599.7778044181,1872.082870425871,17925.61361275828,16053.530742332408,1103.182808827607,883649.4298709133,12000,0
,9,52,883649.4298709133,1840.9363122310692,17948.020629774244,16107.084317543175,1084.4279319417126,868626.7734853118,12000,0
,10,51,868626.7734853118,1809.6391114277328,17970.455655561476,16160.816544133744,1065.5824461764726,853531.5393873545,12000,0
,11,50,853531.5393873545,1778.1907070569885,17992.918725130945,16214.728018073956,1046.6460142116007,838363.4573834921,12000,0
,12,49,838363.4573834921,1746.5905362156086,18015.40987353738,16268.819337321773,1027.618297557713,823122.256343728,12000,0
,13,48,823122.256343728,1714.8380340494334,18037.92913587934,16323.091101829908,1008.4989565523728,807807.6641984505,12000,0
,14,47,807807.6641984505,1682.932633746772,18060.476547299204,16377.543913552432,989.2876503561226,792419.4079352542,12000,0
,15,46,792419.4079352542,1650.8737665317794,18083.052142983328,16432.17837645155,969.9840369485032,776957.2135957511,12000,0
,16,45,776957.2135957511,1618.6608616578148,18105.655958162086,16486.99509650427,950.5877731240586,761420.806272371,12000,0
,17,44,761420.806272371,1586.2933464007729,18128.288028109822,16541.99468170905,931.0985144883274,745809.9101051502,12000,0
,18,43,745809.9101051502,1553.7706460523962,18150.94838814497,16597.177742092575,911.5159154538221,730124.2482785115,12000,0
,19,42,730124.2482785115,1521.0921839135656,18173.637073630183,16652.544889716617,891.8396292359935,714363.5430180308,12000,0
,20,41,714363.5430180308,1488.2573812875642,18196.354119972213,16708.09673868465,872.0693078491827,698527.5155871953,12000,0
,21,40,698527.5155871953,1455.2656574733235,18219.099562622225,16763.833905148902,852.204602102558,682615.8862841489,12000,0
,22,39,682615.8862841489,1422.1164297586436,18241.873437075497,16819.757007316854,832.2451615960401,666628.3744384281,12000,0
,23,38,666628.3744384281,1388.8091134133917,18264.67577887187,16875.86666545848,812.190634716212,650564.6984076857,12000,0
,24,37,650564.6984076857,1355.3431216826787,18287.506623595476,16932.163501912797,792.0406686322161,634424.5755744051,12000,0
,25,36,634424.5755744051,1321.7178657800107,18310.366006874985,16988.648141094975,771.7949092916377,618207.7223426019,12000,0
,26,35,618207.7223426019,1287.9327548804206,18333.253964383617,17045.321209503196,751.4530014163734,601913.854134515,12000,0
,27,34,601913.854134515,1253.987196113573,18356.170531839147,17102.183335725575,731.0145884984869,585542.685387288,12000,0
,28,33,585542.685387288,1219.88059455685,18379.11574500398,17159.23515044713,710.4793127960511,569093.9295496369,12000,0
,29,32,569093.9295496369,1185.6123532284103,18402.08963968527,17216.47728645686,689.846815328975,552567.299078509,12000,0
,30,31,552567.299078509,1151.181873080227,18425.092251734866,17273.91037865464,669.116735874818,535962.5054357292,12000,0
,31,30,535962.5054357292,1116.5885529911025,18448.123617049594,17331.53506405849,648.2887129645884,519279.25908463524,12000,0
,32,29,519279.25908463524,1081.8317897596567,18471.183771570886,17389.35198181123,627.3623838785301,502517.2694867026,12000,0
,33,28,502517.2694867026,1046.910978097297,18494.27275128541,17447.361773188113,606.3373846418931,485676.24509815633,12000,0
,34,27,485676.24509815633,1011.825510621159,18517.390592224572,17505.565081603414,585.2133500206911,468755.8933665736,12000,0
,35,26,468755.8933665736,976.5747778470284,18540.53733046489,17563.96255261786,563.9899135174446,451755.92072747316,12000,0
,36,25,451755.92072747316,941.1581681822357,18563.713002127966,17622.55483394573,542.6667073669092,434676.03260089434,12000,0
,37,24,434676.03260089434,905.5750679185298,18586.917643380697,17681.342575462168,521.2433625317902,417515.9333879639,12000,0
,38,23,417515.9333879639,869.8248612249248,18610.15129043493,17740.326429210003,499.7195086984424,400275.32646745234,12000,0
,39,22,400275.32646745234,833.9069301405257,18633.413979548062,17799.507049407537,478.09477427255604,382953.9141923174,12000,0
,40,21,382953.9141923174,797.8206545673279,18656.705747022483,17858.885092455155,456.36878637482783,365551.3978862371,12000,0
,41,20,365551.3978862371,761.5654122629938,18680.02662920633,17918.46121694334,434.5411708366172,348067.47784013033,12000,0
