input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'קרן שווה', 'duration': 108, 'interest': 0.0275, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,108,1000000,2291.6666666666665,9259.25925925926,11550.925925925925,0,990740.7407407408,12000,449.0740740740748
,2,107,990740.7407407408,2270.4475308641977,9259.25925925926,11529.706790123457,0,981481.4814814816,12000,470.2932098765432
,3,106,981481.4814814816,2249.2283950617284,9259.259259259261,11508.48765432099,0,972222.2222222224,12000,491.51234567900974
,4,105,972222.2222222224,2228.0092592592596,9259.259259259261,11487.26851851852,0,962962.9629629632,12000,512.7314814814799
,5,104,962962.9629629632,2206.7901234567908,9259.259259259261,11466.049382716052,0,953703.7037037039,12000,533.9506172839483
,6,103,953703.7037037039,2185.5709876543215,9259.259259259261,11444.830246913582,0,944444.4444444447,12000,555.1697530864185
,7,102,944444.4444444447,2164.3518518518526,9259.259259259263,11423.611111111115,0,935185.1851851855,12000,576.388888888885
,8,101,935185.1851851855,2143.1327160493834,9259.259259259263,11402.391975308647,0,925925.9259259263,12000,597.6080246913534
,9,100,925925.9259259263,2121.9135802469145,9259.259259259263,11381.172839506176,0,916666.6666666671,12000,618.8271604938236
,10,99,916666.6666666671,2100.6944444444453,9259.259259259263,11359.953703703708,0,907407.4074074079,12000,640.046296296292
,11,98,907407.4074074079,2079.4753086419764,9259.259259259265,11338.734567901241,0,898148.1481481487,12000,661.2654320987585
,12,97,898148.1481481487,2058.2561728395076,9259.259259259265,11317.515432098771,0,888888.8888888895,12000,682.4845679012287
,13,96,888888.8888888895,2037.0370370370383,9259.259259259265,11296.296296296303,0,879629.6296296302,12000,703.7037037036971
,14,95,879629.6296296302,2015.8179012345693,9259.259259259266,11275.077160493836,0,870370.370370371,12000,724.9228395061637
,15,94,870370.370370371,1994.5987654321002,9259.259259259266,11253.858024691366,0,861111.1111111118,12000,746.1419753086338
,16,93,861111.1111111118,1973.3796296296314,9259.259259259266,11232.638888888898,0,851851.8518518526,12000,767.3611111111022
,17,92,851851.8518518526,1952.1604938271623,9259.259259259268,11211.419753086431,0,842592.5925925934,12000,788.5802469135688
,18,91,842592.5925925934,1930.9413580246933,9259.259259259268,11190.200617283961,0,833333.3333333342,12000,809.799382716039
,19,90,833333.3333333342,1909.7222222222242,9259.259259259268,11168.981481481493,0,824074.074074075,12000,831.0185185185073
,20,89,824074.074074075,1888.5030864197552,9259.25925925927,11147.762345679024,0,814814.8148148158,12000,852.2376543209757
,21,88,814814.8148148158,1867.283950617286,9259.25925925927,11126.543209876556,0,805555.5555555564,12000,873.4567901234441
,22,87,805555.5555555564,1846.0648148148168,9259.25925925927,11105.324074074088,0,796296.2962962971,12000,894.6759259259125
,23,86,796296.2962962971,1824.8456790123475,9259.259259259268,11084.104938271616,0,787037.0370370379,12000,915.8950617283845
,24,85,787037.0370370379,1803.6265432098785,9259.25925925927,11062.885802469149,0,777777.7777777787,12000,937.114197530851
,25,84,777777.7777777787,1782.4074074074094,9259.25925925927,11041.666666666679,0,768518.5185185194,12000,958.3333333333212
,26,83,768518.5185185194,1761.1882716049402,9259.25925925927,11020.44753086421,0,759259.25925926,12000,979.5524691357896
,27,82,759259.25925926,1739.9691358024709,9259.259259259268,10999.228395061738,0,750000.0000000008,12000,1000.7716049382616
,28,81,750000.0000000008,1718.7500000000018,9259.25925925927,10978.009259259272,0,740740.7407407416,12000,1021.9907407407281
,29,80,740740.7407407416,1697.5308641975328,9259.25925925927,10956.790123456803,0,731481.4814814823,12000,1043.2098765431965
,30,79,731481.4814814823,1676.3117283950635,9259.25925925927,10935.570987654333,0,722222.222222223,12000,1064.4290123456667
,31,78,722222.222222223,1655.0925925925942,9259.259259259268,10914.351851851863,0,712962.9629629637,12000,1085.648148148137
,32,77,712962.9629629637,1633.8734567901251,9259.25925925927,10893.132716049395,0,703703.7037037045,12000,1106.8672839506053
,33,76,703703.7037037045,1612.6543209876563,9259.25925925927,10871.913580246926,0,694444.4444444452,12000,1128.0864197530736
,34,75,694444.4444444452,1591.4351851851868,9259.25925925927,10850.694444444456,0,685185.1851851859,12000,1149.3055555555438
,35,74,685185.1851851859,1570.2160493827175,9259.259259259268,10829.475308641986,0,675925.9259259267,12000,1170.524691358014
,36,73,675925.9259259267,1548.9969135802487,9259.25925925927,10808.25617283952,0,666666.6666666674,12000,1191.7438271604806
,37,72,666666.6666666674,1527.7777777777796,9259.25925925927,10787.03703703705,0,657407.4074074081,12000,1212.9629629629508
,38,71,657407.4074074081,1506.5586419753104,9259.25925925927,10765.81790123458,0,648148.1481481488,12000,1234.1820987654191
,39,70,648148.1481481488,1485.339506172841,9259.259259259268,10744.598765432109,0,638888.8888888896,12000,1255.4012345678912
,40,69,638888.8888888896,1464.120370370372,9259.25925925927,10723.379629629642,0,629629.6296296304,12000,1276.6203703703577
,41,68,629629.6296296304,1442.901234567903,9259.25925925927,10702.160493827174,0,620370.370370371,12000,1297.839506172826
,42,67,620370.370370371,1421.6820987654337,9259.25925925927,10680.941358024704,0,611111.1111111117,12000,1319.0586419752963
,43,66,611111.1111111117,1400.4629629629644,9259.259259259268,10659.722222222234,0,601851.8518518525,12000,1340.2777777777665
