input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'משתנה צמודה כל 5', 'amortization': 'קרן שווה', 'duration': 300, 'interest': 0.0325, 'cpi': 0.015, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,300,1001250,2711.71875,3337.5,6049.21875,1247.390625,999159.890625,12000,5950.78125
,2,299,999159.890625,2706.058037109375,3341.671875,6047.729912109375,1244.7727734375,997062.9915234376,12000,5952.270087890625
,3,298,997062.9915234376,2700.3789353759767,3345.8489648437503,6046.2279002197265,1242.1464281982423,994959.288986792,12000,5953.7720997802735
,4,297,994959.288986792,2694.681407672562,3350.0312760498045,6044.712683722366,1239.5115721384277,992848.7692828806,12000,5955.287316277634
,5,296,992848.7692828806,2688.965416807802,3354.2188151448668,6043.184231952669,1236.8681880846698,990731.4186558204,12000,5956.815768047331
,6,295,990731.4186558204,2683.2309255261803,3358.411588663798,6041.642514189978,1234.2162588339459,988607.2233259906,12000,5958.357485810022
,7,294,988607.2233259906,2677.4778965078913,3362.609603149628,6040.087499657519,1231.5557671535514,986476.1694899945,12000,5959.912500342481
,8,293,986476.1694899945,2671.7062923687354,3366.812865153565,6038.5191575223,1228.8866957810512,984338.243320622,12000,5961.4808424777
,9,292,984338.243320622,2665.916075660018,3371.021381235007,6036.937456895025,1226.209027424234,982193.4309668113,12000,5963.062543104975
,10,291,982193.4309668113,2660.1072088684473,3375.2351579615506,6035.342366829998,1223.522744761062,980041.7185536107,12000,5964.657633170002
,11,290,980041.7185536107,2654.279654416029,3379.4542019090027,6033.733856325032,1220.8278304396272,977883.0921821414,12000,5966.266143674968
,12,289,977883.0921821414,2648.4333746599664,3383.6785196613887,6032.111894321355,1218.1242670781,975717.5379295581,12000,5967.888105678645
,13,288,975717.5379295581,2642.568331892553,3387.9081178109655,6030.4764497035185,1215.412037264684,973545.0418490118,12000,5969.5235502964815
,14,287,973545.0418490118,2636.6844883410736,3392.1430029582293,6028.827491299303,1212.691123557567,971365.589969611,12000,5971.172508700697
,15,286,971365.589969611,2630.7818061676967,3396.3831817119267,6027.164987879623,1209.961508484874,969179.168296384,12000,5972.835012120377
,16,285,969179.168296384,2624.8602474693735,3400.6286606890667,6025.488908158441,1207.2231745446186,966985.7628102396,12000,5974.511091841559
,17,284,966985.7628102396,2618.9197742777324,3404.879446514928,6023.79922079266,1204.476104204656,964785.3594679293,12000,5976.20077920734
,18,283,964785.3594679293,2612.9603485589755,3409.135545823072,6022.095894382048,1201.720279902633,962577.944202009,12000,5977.904105617952
,19,282,962577.944202009,2606.9819322137746,3413.396965255351,6020.378897469125,1198.955684045942,960363.5029207995,12000,5979.621102530875
,20,281,960363.5029207995,2600.9844870771653,3417.6637114619202,6018.648198539086,1196.182299011672,958142.0215083492,12000,5981.351801460914
,21,280,958142.0215083492,2594.967974918446,3421.935791101247,6016.903766019694,1193.40010714656,955913.4858243946,12000,5983.096233980306
,22,279,955913.4858243946,2588.9323574410687,3426.2132108401242,6015.145568281193,1190.6090907669432,953677.8817043215,12000,5984.854431718807
,23,278,953677.8817043215,2582.8775962825375,3430.4959773536743,6013.373573636212,1187.8092321587098,951435.1949591265,12000,5986.626426363788
,24,277,951435.1949591265,2576.8036530143013,3434.7840973253665,6011.587750339668,1185.0005135772515,949185.4113753784,12000,5988.412249660332
,25,276,949185.4113753784,2570.7104891416498,3439.077577447023,6009.788066588673,1182.1829172474143,946928.5167151787,12000,5990.211933411327
,26,275,946928.5167151787,2564.598066103609,3443.376424418832,6007.974490522442,1179.35642536345,944664.4967161233,12000,5992.025509477558
,27,274,944664.4967161233,2558.466345272834,3447.680644949355,6006.146990222189,1176.5210200889676,942393.3370912629,12000,5993.853009777811
,28,273,942393.3370912629,2552.3152879555037,3451.9902457555418,6004.305533711045,1173.6766835568842,940115.0235290643,12000,5995.694466288955
,29,272,940115.0235290643,2546.144855391216,3456.3052335627362,6002.450088953952,1170.823397869377,937829.5416933709,12000,5997.549911046048
,30,271,937829.5416933709,2539.9550087528796,3460.6256151046896,6000.58062385757,1167.9611450978327,935536.8772233641,12000,5999.41937614243
,31,270,935536.8772233641,2533.7457091466113,3464.9513971235706,5998.697106270181,1165.0899072828008,933237.0157335234,12000,6001.302893729819
,32,269,933237.0157335234,2527.516917611626,3469.2825863699754,5996.799503981601,1162.2096664339417,930929.9428135874,12000,6003.200496018399
,33,268,930929.9428135874,2521.2685951201324,3473.619189602938,5994.887784723071,1159.3204045299806,928615.6440285145,12000,6005.112215276929
,34,267,928615.6440285145,2515.000702577227,3477.961213589942,5992.961916167169,1156.4221035186556,926294.1049184431,12000,6007.038083832831
,35,266,926294.1049184431,2508.7132008207836,3482.308665106929,5991.0218659277125,1153.5147453166703,923965.310998653,12000,6008.9781340722875
,36,265,923965.310998653,2502.406050621352,3486.661550938313,5989.0676015596655,1150.5983118096433,921629.2477595243,12000,6010.9323984403345
,37,264,921629.2477595243,2496.079212682045,3491.019877876986,5987.0990905590315,1147.672784852059,919285.9006664994,12000,6012.9009094409685
,38,263,919285.9006664994,2489.732647638436,3495.3836527243325,5985.116300362768,1144.7381462672188,916935.2551600423,12000,6014.883699637232
,39,262,916935.2551600423,2483.366316058448,3499.7528822902377,5983.119198348686,1141.7943778471902,914577.2966555993,12000,6016.880801651314
,40,261,914577.2966555993,2476.980178442248,3504.1275733931006,5981.107751835349,1138.8414613527577,912212.010543559,12000,6018.892248164651
,41,260,912212.010543559,2470.5741952221388,3508.5077328598422,5979.0819280819815,1135.879378513374,909839.3821892125,12000,6020.9180719180185
,42,259,909839.3821892125,2464.148326762451,3512.893367525917,5977.041694288368,1132.9081110271084,907459.3969327137,12000,6022.958305711632
,43,258,907459.3969327137,2457.702533359433,3517.2844842353243,5974.987017594757,1129.9276405605979,905072.0400890389,12000,6025.012982405243
,44,257,905072.0400890389,2451.236775241147,3521.6810898406184,5972.917865081765,1126.937948748998,902677.2969479474,12000,6027.082134918235
,45,256,902677.2969479474,2444.7510125673575,3526.0831912029194,5970.834203770277,1123.9390171959305,900275.1527739404,12000,6029.165796229723
,46,255,900275.1527739404,2438.2452054294217,3530.490795191923,5968.736000621345,1120.9308274734356,897865.5928062218,12000,6031.263999378655
,47,254,897865.5928062218,2431.7193138501843,3534.9039086859125,5966.623222536096,1117.91336112192,895448.6022586578,12000,6033.376777463904
,48,253,895448.6022586578,2425.173297783865,3539.32253857177,5964.495836355635,1114.8865996501077,893024.1663197362,12000,6035.504163644365
,49,252,893024.1663197362,2418.6071171159524,3543.7466917449847,5962.353808860937,1111.850524534989,890592.2701525261,12000,6037.646191139063
,50,251,890592.2701525261,2412.0207316630917,3548.1763751096655,5960.197106772757,1108.8051172217706,888152.8988946382,12000,6039.802893227243
,51,250,888152.8988946382,2405.4141011729785,3552.6115955785526,5958.025696751531,1105.7503591238244,885706.0376581834,12000,6041.974303248469
,52,249,885706.0376581834,2398.787185324247,3557.0523600730257,5955.839545397273,1102.686231622638,883251.6715297329,12000,6044.160454602727
,53,248,883251.6715297329,2392.13994372636,3561.4986755231166,5953.6386192494765,1099.6127160677622,880789.7855702776,12000,6046.3613807505235
,54,247,880789.7855702776,2385.472335919502,3565.950548867521,5951.422884787023,1096.5297937767625,878320.3648151868,12000,6048.577115212977
,55,246,878320.3648151868,2378.7843213744645,3570.4079870536048,5949.19230842807,1093.4374460351664,875843.3942741684,12000,6050.80769157193
,56,245,875843.3942741684,2372.0758594925396,3574.870997037422,5946.946856529961,1090.3356540964137,873358.8589312275,12000,6053.053143470039
,57,244,873358.8589312275,2365.3469096054077,3579.339585783719,5944.686495389127,1087.2243991818045,870866.7437446255,12000,6055.313504610873
,58,243,870866.7437446255,2358.5974309750272,3583.8137602659485,5942.411191240975,1084.1036624804494,868367.03364684,12000,6057.588808759025
,59,242,868367.03364684,2351.827382793525,3588.293527466281,5940.120910259806,1080.9734251492173,865859.713544523,12000,6059.879089740194
,60,241,865859.713544523,2345.036724183083,3592.778894375614,5937.815618558698,1077.8336683126843,863344.76831846,12000,6062.184381441302
,61,240,863344.76831846,2338.225414195829,3597.2698679935834,5935.495282189413,1074.684373063083,860822.1828235295,12000,6064.504717810587
,62,239,860822.1828235295,2331.393411813726,3601.7664553285754,5933.159867142302,1071.525520460251,858291.9418886611,12000,6066.840132857698
,63,238,858291.9418886611,2324.540675948457,3606.268663397736,5930.809339346193,1068.3570915315793,855754.030316795,12000,6069.190660653807
,64,237,855754.030316795,2317.66716544132,3610.776499226983,5928.4436646683025,1065.1790672719599,853208.43288484,12000,6071.5563353316975
,65,236,853208.43288484,2310.772839063108,3615.289969851017,5926.062808914125,1061.991428643736,850655.1343436326,12000,6073.937191085875
,66,235,850655.1343436326,2303.8576555140053,3619.8090823133302,5923.666737827336,1058.7941565766491,848094.1194178959,12000,6076.333262172664
,67,234,848094.1194178959,2296.921573423468,3624.333843666222,5921.25541708969,1055.5872319677871,845525.3728061975,12000,6078.74458291031
,68,233,845525.3728061975,2289.964551350118,3628.864260970805,5918.828812320923,1052.3706356815333,842948.8791809082,12000,6081.171187679077
,69,232,842948.8791809082,2282.9865477816265,3633.4003412970183,5916.386889078645,1049.144348549514,840364.6231881607,12000,6083.613110921355
,70,231,840364.6231881607,2275.987521134602,3637.9420917236394,5913.929612858241,1045.9083513705464,837772.5894478076,12000,6086.070387141759
,71,230,837772.5894478076,2268.967429754479,3642.489519338294,5911.456949092773,1042.6626249105868,835172.76255338,12000,6088.543050907227
,72,229,835172.76255338,2261.926231915404,3647.042631237467,5908.968863152872,1039.4071499026782,832565.1270720452,12000,6091.031136847128
,73,228,832565.1270720452,2254.8638858201225,3651.6014345265144,5906.465320346637,1036.1419070468985,829949.6675445656,12000,6093.534679653363
,74,227,829949.6675445656,2247.7803495998655,3656.1659363196723,5903.946285919537,1032.8668770103075,827326.3684852563,12000,6096.053714080463
,75,226,827326.3684852563,2240.675581314236,3660.7361437400723,5901.411725054308,1029.5820404268952,824695.2143819431,12000,6098.588274945692
,76,225,824695.2143819431,2233.549538951096,3665.3120639197473,5898.861602870844,1026.2873778975293,822056.1896959209,12000,6101.138397129156
,77,224,822056.1896959209,2226.4021804264526,3669.8937039996467,5896.295884426099,1022.9828699899016,819409.2788619112,12000,6103.704115573901
