input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'משתנה צמודה כל 5', 'amortization': 'שפיצר', 'duration': 120, 'interest': 0.04, 'cpi': 0.03, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,120,1002500,3341.666666666667,10149.825101029179,6808.158434362512,2489.229603914094,998181.0711695516,12000,1850.1748989708212
,2,119,998181.0711695516,3327.270237231839,10175.199663781754,6847.929426549915,2478.332854357504,993811.4745973592,12000,1824.8003362182462
,3,118,993811.4745973592,3312.7049153245307,10200.637662941208,6887.932747616677,2467.308854624356,989390.8507043669,12000,1799.362337058792
,4,117,989390.8507043669,3297.96950234789,10226.139257098566,6928.1697547506765,2456.156702374041,984918.8376519902,12000,1773.8607429014337
,5,116,984918.8376519902,3283.062792173301,10251.704605241313,6968.641813068012,2444.8754895973057,980395.0713285195,12000,1748.2953947586866
,6,115,980395.0713285195,3267.983571095065,10277.333866754418,7009.350295659353,2433.46430258215,975819.1853354423,12000,1722.6661332455824
,7,114,975819.1853354423,3252.7306177848077,10303.027201421306,7050.296583636498,2421.9222218795144,971190.8109736852,12000,1696.972798578694
,8,113,971190.8109736852,3237.3027032456175,10328.78476942486,7091.482066179242,2410.248322268765,966509.5772297747,12000,1671.2152305751406
,9,112,966509.5772297747,3221.698590765916,10354.606731348422,7132.908140582505,2398.4416727229805,961775.1107619151,12000,1645.3932686515782
,10,111,961775.1107619151,3205.9170358730507,10380.493248176794,7174.576212303743,2386.5013363740286,956987.0358859854,12000,1619.5067518232063
,11,110,956987.0358859854,3189.956786286618,10406.444481297236,7216.487695010618,2374.426370477437,952144.9745614522,12000,1593.555518702764
,12,109,952144.9745614522,3173.8165818715074,10432.460592500485,7258.644010628977,2362.215826377058,947248.5463772003,12000,1567.5394074995147
,13,108,947248.5463772003,3157.495154590668,10458.541743981736,7301.046589391068,2349.868749469523,942297.3685372787,12000,1541.4582560182644
,14,107,942297.3685372787,3140.9912284575958,10484.688098341694,7343.696869884098,2337.3841791684863,937291.0558465631,12000,1515.311901658306
,15,106,937291.0558465631,3124.3035194885438,10510.899818587546,7386.596299099003,2324.7611488686603,932229.2206963327,12000,1489.1001814124538
,16,105,932229.2206963327,3107.4307356544427,10537.17706813402,7429.746332479577,2311.998685909633,927111.4730497629,12000,1462.8229318659796
,17,104,927111.4730497629,3090.3715768325433,10563.52001080436,7473.148433971815,2299.095811539478,921937.4204273305,12000,1436.4799891956409
,18,103,921937.4204273305,3073.1247347577687,10589.92881083137,7516.804076073602,2286.0515408781425,916706.6678921351,12000,1410.0711891686296
,19,102,916706.6678921351,3055.688892973784,10616.403632858452,7560.714739884668,2272.864882880626,911418.818035131,12000,1383.5963671415484
,20,101,911418.818035131,3038.06272678377,10642.9446419406,7604.88191515683,2259.5348402999352,906073.4709602741,12000,1357.0553580594005
,21,100,906073.4709602741,3020.244903200914,10669.55200354545,7649.307100344537,2246.060409649824,900670.2242695794,12000,1330.4479964545499
,22,99,900670.2242695794,3002.234080898598,10696.22588355432,7693.991802655722,2232.440581167309,895208.673048091,12000,1303.7741164456802
,23,98,895208.673048091,2984.0289101603034,10722.966448263205,7738.937538102902,2218.6743387749702,889688.4098487631,12000,1277.0335517367948
,24,97,889688.4098487631,2965.6280328292105,10749.773864383867,7784.145831554657,2204.7606600430213,884109.0246772515,12000,1250.2261356161325
,25,96,884109.0246772515,2947.030082257505,10776.648299044828,7829.618216787323,2190.69851615116,878470.1049766153,12000,1223.3517009551724
,26,95,878470.1049766153,2928.2336832553847,10803.589919792445,7875.35623653706,2176.4868718501957,872771.2356119284,12000,1196.4100802075554
,27,94,872771.2356119284,2909.2374520397616,10830.598894591923,7921.361442552162,2162.1246854234405,867011.9988547997,12000,1169.4011054080765
,28,93,867011.9988547997,2890.0399961826656,10857.675391828405,7967.635395645739,2147.610908647885,861191.9743678018,12000,1142.3246081715952
,29,92,861191.9743678018,2870.6399145593396,10884.819580307983,8014.179665748644,2132.944486755133,855310.7391888084,12000,1115.1804196920166
,30,91,855310.7391888084,2851.0357972960282,10912.031629258752,8060.995831962724,2118.124358392114,849367.8677152378,12000,1087.9683707412478
,31,90,849367.8677152378,2831.2262257174593,10939.311708331901,8108.085482614442,2103.1494555815584,843362.9316882049,12000,1060.6882916680988
,32,89,843362.9316882049,2811.2097722940166,10966.659987602734,8155.450215308718,2088.0187036822404,837295.5001765784,12000,1033.340012397266
,33,88,837295.5001765784,2790.985000588595,10994.076637571743,8203.091636983148,2072.731021348988,831165.1395609443,12000,1005.923362428257
,34,87,831165.1395609443,2770.5504652031477,11021.561829165676,8251.011363962527,2057.2853204924545,824971.4135174742,12000,978.4381708343244
,35,86,824971.4135174742,2749.9047117249143,11049.115733738596,8299.211022013682,2041.6805062386513,818713.8830016991,12000,950.8842662614043
,36,85,818713.8830016991,2729.0462766723304,11076.73852307294,8347.69224640061,2025.9154768882463,812392.1062321868,12000,923.2614769270604
,37,84,812392.1062321868,2707.9736874406226,11104.430369380625,8396.456681940002,2009.989123875617,806005.6386741224,12000,895.569630619375
,38,83,806005.6386741224,2686.6854622470746,11132.191445304079,8445.505983057004,1993.9003317276636,799554.0330227931,12000,867.808554695921
,39,82,799554.0330227931,2665.180110075977,11160.021923917344,8494.841813841367,1977.6479780223794,793036.8391869741,12000,839.9780760826561
,40,81,793036.8391869741,2643.456130623247,11187.921978727143,8544.465848103897,1961.2309333471756,786453.6042722174,12000,812.0780212728569
,41,80,786453.6042722174,2621.512014240725,11215.89178367396,8594.379769433235,1944.6480612569603,779803.872564041,12000,784.1082163260398
,42,79,779803.872564041,2599.346241880137,11243.931513133151,8644.585271253014,1927.89821823197,773087.18551102,12000,756.0684868668486
,43,78,773087.18551102,2576.9572850367335,11272.041341915983,8695.08405687925,1910.9802536353518,766303.0817077761,12000,727.9586580840169
,44,77,766303.0817077761,2554.343605692587,11300.221445270778,8745.87783957819,1893.8930096704946,759451.0968778684,12000,699.7785547292224
,45,76,759451.0968778684,2531.5036562595615,11328.471998883959,8796.968342624397,1876.63532133811,752530.7638565821,12000,671.5280011160412
,46,75,752530.7638565821,2508.4358795219405,11356.79317888117,8848.357299359228,1859.206016393057,745541.6125736159,12000,643.2068211188307
,47,74,745541.6125736159,2485.1387085787196,11385.185161828378,8900.046453249659,1841.6039153009156,738483.1700356671,12000,614.8148381716219
,48,73,738483.1700356671,2461.6105667855572,11413.648124732954,8952.037557947397,1823.8278311942993,731354.960308914,12000,586.3518752670461
,49,72,731354.960308914,2437.84986769638,11442.182245044787,9004.332377348408,1805.8765698289137,724156.5045013945,12000,557.8177549552129
,50,71,724156.5045013945,2413.8550150046485,11470.787700657396,9056.932685652748,1787.7489295393543,716887.3207452811,12000,529.2122993426037
,51,70,716887.3207452811,2389.6244024842704,11499.464669909044,9109.840267424774,1769.4437011946407,709546.9241790508,12000,500.53533009095554
,52,69,709546.9241790508,2365.1564139301695,11528.213331583816,9163.056917653646,1750.959668153493,702134.8269295507,12000,471.7866684161836
