input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'שפיצר', 'duration': 228, 'interest': 0.03, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,228,1000000,2500,5759.411173069718,3259.4111730697177,0,996740.5888269303,12000,6240.588826930282
,2,227,996740.5888269303,2491.8514720673256,5759.411173069717,3267.559701002391,0,993473.0291259278,12000,6240.588826930283
,3,226,993473.0291259278,2483.6825728148197,5759.411173069717,3275.728600254897,0,990197.300525673,12000,6240.588826930283
,4,225,990197.300525673,2475.4932513141825,5759.411173069717,3283.9179217555343,0,986913.3826039174,12000,6240.588826930283
,5,224,986913.3826039174,2467.2834565097937,5759.411173069716,3292.127716559922,0,983621.2548873575,12000,6240.588826930284
,6,223,983621.2548873575,2459.0531372183937,5759.411173069715,3300.3580358513213,0,980320.8968515062,12000,6240.588826930285
,7,222,980320.8968515062,2450.8022421287656,5759.411173069714,3308.6089309409485,0,977012.2879205652,12000,6240.588826930286
,8,221,977012.2879205652,2442.530719801413,5759.411173069714,3316.880453268301,0,973695.4074672969,12000,6240.588826930286
,9,220,973695.4074672969,2434.2385186682422,5759.411173069713,3325.172654401471,0,970370.2348128954,12000,6240.588826930287
,10,219,970370.2348128954,2425.9255870322386,5759.411173069713,3333.4855860374746,0,967036.7492268579,12000,6240.588826930287
,11,218,967036.7492268579,2417.5918730671447,5759.411173069711,3341.8193000025667,0,963694.9299268554,12000,6240.588826930289
,12,217,963694.9299268554,2409.2373248171384,5759.411173069712,3350.173848252574,0,960344.7560786027,12000,6240.588826930288
,13,216,960344.7560786027,2400.861890196507,5759.4111730697105,3358.5492828732035,0,956986.2067957296,12000,6240.5888269302895
,14,215,956986.2067957296,2392.465516989324,5759.411173069712,3366.9456560803883,0,953619.2611396492,12000,6240.588826930288
,15,214,953619.2611396492,2384.048152849123,5759.411173069711,3375.363020220588,0,950243.8981194287,12000,6240.588826930289
,16,213,950243.8981194287,2375.609745298572,5759.411173069711,3383.8014277711395,0,946860.0966916576,12000,6240.588826930289
,17,212,946860.0966916576,2367.150241729144,5759.411173069712,3392.2609313405683,0,943467.835760317,12000,6240.588826930288
,18,211,943467.835760317,2358.6695894007926,5759.41117306971,3400.741583668917,0,940067.0941766482,12000,6240.58882693029
,19,210,940067.0941766482,2350.1677354416206,5759.4111730697105,3409.24343762809,0,936657.85073902,12000,6240.5888269302895
,20,209,936657.85073902,2341.64462684755,5759.4111730697105,3417.7665462221603,0,933240.0841927979,12000,6240.5888269302895
,21,208,933240.0841927979,2333.100210481995,5759.41117306971,3426.3109625877146,0,929813.7732302102,12000,6240.58882693029
,22,207,929813.7732302102,2324.5344330755256,5759.411173069709,3434.876739994183,0,926378.896490216,12000,6240.588826930291
,23,206,926378.896490216,2315.94724122554,5759.411173069708,3443.4639318441677,0,922935.4325583718,12000,6240.588826930292
,24,205,922935.4325583718,2307.3385813959294,5759.411173069708,3452.0725916737783,0,919483.359966698,12000,6240.588826930292
,25,204,919483.359966698,2298.708399916745,5759.411173069706,3460.702773152961,0,916022.657193545,12000,6240.588826930294
,26,203,916022.657193545,2290.0566429838627,5759.411173069707,3469.354530085844,0,912553.3026634592,12000,6240.588826930293
,27,202,912553.3026634592,2281.383256658648,5759.411173069706,3478.027916411058,0,909075.2747470482,12000,6240.588826930294
,28,201,909075.2747470482,2272.6881868676205,5759.411173069706,3486.7229862020854,0,905588.551760846,12000,6240.588826930294
,29,200,905588.551760846,2263.971379402115,5759.411173069705,3495.43979366759,0,902093.1119671784,12000,6240.588826930295
