input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'קרן שווה', 'duration': 144, 'interest': 0.0375, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,144,1000000,3124.9999999999995,6944.444444444444,10069.444444444443,0,993055.5555555555,12000,1930.5555555555566
,2,143,993055.5555555555,3103.298611111111,6944.444444444444,10047.743055555555,0,986111.111111111,12000,1952.2569444444453
,3,142,986111.111111111,3081.5972222222217,6944.444444444443,10026.041666666664,0,979166.6666666665,12000,1973.9583333333358
,4,141,979166.6666666665,3059.8958333333326,6944.444444444443,10004.340277777776,0,972222.222222222,12000,1995.6597222222244
,5,140,972222.222222222,3038.1944444444434,6944.4444444444425,9982.638888888887,0,965277.7777777775,12000,2017.3611111111131
,6,139,965277.7777777775,3016.4930555555543,6944.4444444444425,9960.937499999996,0,958333.333333333,12000,2039.0625000000036
,7,138,958333.333333333,2994.7916666666656,6944.4444444444425,9939.236111111108,0,951388.8888888885,12000,2060.7638888888923
,8,137,951388.8888888885,2973.0902777777765,6944.444444444442,9917.534722222219,0,944444.444444444,12000,2082.465277777781
,9,136,944444.444444444,2951.3888888888873,6944.444444444442,9895.833333333328,0,937499.9999999995,12000,2104.1666666666715
,10,135,937499.9999999995,2929.687499999998,6944.444444444441,9874.131944444438,0,930555.555555555,12000,2125.868055555562
,11,134,930555.555555555,2907.986111111109,6944.444444444441,9852.43055555555,0,923611.1111111105,12000,2147.5694444444507
,12,133,923611.1111111105,2886.2847222222204,6944.44444444444,9830.72916666666,0,916666.666666666,12000,2169.2708333333394
,13,132,916666.666666666,2864.583333333331,6944.44444444444,9809.02777777777,0,909722.2222222215,12000,2190.97222222223
,14,131,909722.2222222215,2842.881944444442,6944.444444444439,9787.326388888881,0,902777.777777777,12000,2212.6736111111186
,15,130,902777.777777777,2821.180555555553,6944.444444444439,9765.624999999993,0,895833.3333333326,12000,2234.3750000000073
,16,129,895833.3333333326,2799.479166666664,6944.444444444438,9743.923611111102,0,888888.8888888881,12000,2256.076388888898
,17,128,888888.8888888881,2777.777777777775,6944.444444444438,9722.222222222214,0,881944.4444444436,12000,2277.7777777777865
,18,127,881944.4444444436,2756.076388888886,6944.444444444437,9700.520833333323,0,874999.9999999992,12000,2299.479166666677
,19,126,874999.9999999992,2734.3749999999973,6944.444444444438,9678.819444444434,0,868055.5555555548,12000,2321.1805555555657
,20,125,868055.5555555548,2712.6736111111086,6944.444444444439,9657.118055555547,0,861111.1111111103,12000,2342.8819444444525
,21,124,861111.1111111103,2690.9722222222194,6944.444444444438,9635.416666666657,0,854166.6666666658,12000,2364.583333333343
,22,123,854166.6666666658,2669.2708333333303,6944.444444444437,9613.715277777766,0,847222.2222222214,12000,2386.2847222222335
,23,122,847222.2222222214,2647.5694444444416,6944.444444444438,9592.01388888888,0,840277.777777777,12000,2407.9861111111204
,24,121,840277.777777777,2625.868055555553,6944.444444444439,9570.312499999993,0,833333.3333333326,12000,2429.6875000000073
,25,120,833333.3333333326,2604.1666666666642,6944.444444444438,9548.611111111102,0,826388.8888888881,12000,2451.388888888898
,26,119,826388.8888888881,2582.465277777775,6944.444444444437,9526.909722222212,0,819444.4444444437,12000,2473.0902777777883
,27,118,819444.4444444437,2560.7638888888864,6944.444444444438,9505.208333333325,0,812499.9999999993,12000,2494.791666666675
,28,117,812499.9999999993,2539.0624999999977,6944.444444444439,9483.506944444436,0,805555.5555555548,12000,2516.493055555564
,29,116,805555.5555555548,2517.3611111111086,6944.444444444438,9461.805555555547,0,798611.1111111103,12000,2538.1944444444525
,30,115,798611.1111111103,2495.6597222222194,6944.444444444437,9440.104166666657,0,791666.6666666659,12000,2559.895833333343
,31,114,791666.6666666659,2473.9583333333308,6944.444444444438,9418.402777777768,0,784722.2222222215,12000,2581.5972222222317
,32,113,784722.2222222215,2452.256944444442,6944.444444444439,9396.701388888881,0,777777.777777777,12000,2603.2986111111186
,33,112,777777.777777777,2430.555555555553,6944.444444444438,9374.99999999999,0,770833.3333333326,12000,2625.000000000009
,34,111,770833.3333333326,2408.8541666666642,6944.444444444437,9353.298611111102,0,763888.8888888882,12000,2646.701388888898
