input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'שפיצר', 'duration': 228, 'interest': 0.04, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,228,1000000,3333.3333333333335,6268.70265525634,2935.3693219230067,0,997064.630678077,12000,5731.29734474366
,2,227,997064.630678077,3323.5487689269235,6268.70265525634,2945.1538863294168,0,994119.4767917476,12000,5731.29734474366
,3,226,994119.4767917476,3313.7315893058258,6268.702655256342,2954.9710659505163,0,991164.5057257971,12000,5731.297344743658
,4,225,991164.5057257971,3303.881685752657,6268.702655256342,2964.820969503685,0,988199.6847562934,12000,5731.297344743658
,5,224,988199.6847562934,3293.998949187645,6268.702655256342,2974.703706068697,0,985224.9810502247,12000,5731.297344743658
,6,223,985224.9810502247,3284.0832701674162,6268.702655256343,2984.6193850889267,0,982240.3616651358,12000,5731.297344743657
,7,222,982240.3616651358,3274.1345388837863,6268.702655256343,2994.5681163725567,0,979245.7935487633,12000,5731.297344743657
,8,221,979245.7935487633,3264.1526451625446,6268.702655256343,3004.5500100937984,0,976241.2435386694,12000,5731.297344743657
,9,220,976241.2435386694,3254.1374784622317,6268.702655256344,3014.565176794112,0,973226.6783618754,12000,5731.297344743656
,10,219,973226.6783618754,3244.0889278729182,6268.702655256345,3024.6137273834265,0,970202.0646344919,12000,5731.297344743655
,11,218,970202.0646344919,3234.0068821149735,6268.702655256345,3034.6957731413713,0,967167.3688613506,12000,5731.297344743655
,12,217,967167.3688613506,3223.8912295378354,6268.702655256346,3044.8114257185102,0,964122.5574356321,12000,5731.297344743654
,13,216,964122.5574356321,3213.741858118774,6268.702655256346,3054.9607971375717,0,961067.5966384945,12000,5731.297344743654
,14,215,961067.5966384945,3203.5586554616484,6268.702655256346,3065.1439997946973,0,958002.4526386998,12000,5731.297344743654
,15,214,958002.4526386998,3193.341508795666,6268.702655256346,3075.3611464606797,0,954927.0914922392,12000,5731.297344743654
,16,213,954927.0914922392,3183.0903049741305,6268.7026552563475,3085.612350282217,0,951841.4791419569,12000,5731.2973447436525
,17,212,951841.4791419569,3172.80493047319,6268.702655256347,3095.8977247831567,0,948745.5814171737,12000,5731.297344743653
,18,211,948745.5814171737,3162.4852713905793,6268.702655256348,3106.217383865769,0,945639.364033308,12000,5731.297344743652
,19,210,945639.364033308,3152.13121344436,6268.702655256349,3116.571441811989,0,942522.792591496,12000,5731.297344743651
,20,209,942522.792591496,3141.7426419716535,6268.702655256349,3126.960013284696,0,939395.8325782113,12000,5731.297344743651
,21,208,939395.8325782113,3131.3194419273714,6268.70265525635,3137.383213328979,0,936258.4493648823,12000,5731.29734474365
,22,207,936258.4493648823,3120.8614978829414,6268.70265525635,3147.841157373409,0,933110.6082075089,12000,5731.29734474365
,23,206,933110.6082075089,3110.36869402503,6268.70265525635,3158.3339612313202,0,929952.2742462776,12000,5731.29734474365
,24,205,929952.2742462776,3099.840914154259,6268.70265525635,3168.8617411020914,0,926783.4125051756,12000,5731.29734474365
,25,204,926783.4125051756,3089.2780416839187,6268.70265525635,3179.4246135724316,0,923603.9878916031,12000,5731.29734474365
,26,203,923603.9878916031,3078.6799596386772,6268.702655256352,3190.022695617675,0,920413.9651959855,12000,5731.297344743648
,27,202,920413.9651959855,3068.046550653285,6268.702655256354,3200.656104603069,0,917213.3090913824,12000,5731.297344743646
,28,201,917213.3090913824,3057.377696971275,6268.702655256354,3211.324958285079,0,914001.9841330973,12000,5731.297344743646
,29,200,914001.9841330973,3046.673280443658,6268.702655256354,3222.029374812696,0,910779.9547582846,12000,5731.297344743646
,30,199,910779.9547582846,3035.9331825276154,6268.702655256353,3232.7694727287376,0,907547.1852855559,12000,5731.297344743647
,31,198,907547.1852855559,3025.1572842851865,6268.702655256356,3243.545370971169,0,904303.6399145847,12000,5731.297344743644
,32,197,904303.6399145847,3014.3454663819493,6268.702655256356,3254.3571888744063,0,901049.2827257103,12000,5731.297344743644
,33,196,901049.2827257103,3003.4976090857012,6268.702655256357,3265.2050461706554,0,897784.0776795397,12000,5731.297344743643
,34,195,897784.0776795397,2992.6135922651324,6268.7026552563575,3276.089062991225,0,894507.9886165485,12000,5731.2973447436425
,35,194,894507.9886165485,2981.6932953884952,6268.7026552563575,3287.0093598678623,0,891220.9792566806,12000,5731.2973447436425
,36,193,891220.9792566806,2970.7365975222688,6268.702655256358,3297.9660577340896,0,887923.0131989465,12000,5731.297344743642
,37,192,887923.0131989465,2959.7433773298217,6268.702655256358,3308.9592779265367,0,884614.0539210199,12000,5731.297344743642
,38,191,884614.0539210199,2948.7135130700667,6268.702655256359,3319.9891421862926,0,881294.0647788337,12000,5731.297344743641
,39,190,881294.0647788337,2937.6468825961124,6268.702655256358,3331.055772660246,0,877963.0090061733,12000,5731.297344743642
,40,189,877963.0090061733,2926.5433633539114,6268.702655256359,3342.159291902448,0,874620.8497142709,12000,5731.297344743641
,41,188,874620.8497142709,2915.4028323809034,6268.702655256361,3353.2998228754577,0,871267.5498913955,12000,5731.297344743639
,42,187,871267.5498913955,2904.225166304652,6268.70265525636,3364.4774889517084,0,867903.0724024437,12000,5731.29734474364
,43,186,867903.0724024437,2893.0102413414793,6268.70265525636,3375.692413914881,0,864527.3799885289,12000,5731.29734474364
,44,185,864527.3799885289,2881.7579332950963,6268.702655256362,3386.9447219612657,0,861140.4352665676,12000,5731.297344743638
,45,184,861140.4352665676,2870.4681175552255,6268.702655256362,3398.2345377011366,0,857742.2007288665,12000,5731.297344743638
,46,183,857742.2007288665,2859.1406690962217,6268.702655256363,3409.5619861601413,0,854332.6387427064,12000,5731.297344743637
,47,182,854332.6387427064,2847.775462475688,6268.702655256364,3420.927192780676,0,850911.7115499257,12000,5731.297344743636
,48,181,850911.7115499257,2836.372371833086,6268.702655256366,3432.3302834232795,0,847479.3812665024,12000,5731.297344743634
,49,180,847479.3812665024,2824.9312708883417,6268.702655256364,3443.771384368022,0,844035.6098821344,12000,5731.297344743636
,50,179,844035.6098821344,2813.452032940448,6268.702655256365,3455.2506223159166,0,840580.3592598184,12000,5731.297344743635
,51,178,840580.3592598184,2801.934530866062,6268.7026552563675,3466.7681243903057,0,837113.5911354282,12000,5731.2973447436325
,52,177,837113.5911354282,2790.378637118094,6268.7026552563675,3478.3240181382735,0,833635.26711729,12000,5731.2973447436325
,53,176,833635.26711729,2778.7842237243,6268.702655256368,3489.9184315320686,0,830145.3486857578,12000,5731.297344743632
,54,175,830145.3486857578,2767.1511622858598,6268.702655256368,3501.5514929705087,0,826643.7971927873,12000,5731.297344743632
,55,174,826643.7971927873,2755.479323975958,6268.702655256369,3513.2233312804115,0,823130.5738615069,12000,5731.297344743631
,56,173,823130.5738615069,2743.7685795383563,6268.702655256368,3524.934075718012,0,819605.6397857888,12000,5731.297344743632
,57,172,819605.6397857888,2732.018799285963,6268.702655256369,3536.6838559704065,0,816068.9559298184,12000,5731.297344743631
,58,171,816068.9559298184,2720.229853099395,6268.702655256369,3548.4728021569745,0,812520.4831276615,12000,5731.297344743631
,59,170,812520.4831276615,2708.4016104255384,6268.702655256371,3560.301044830833,0,808960.1820828307,12000,5731.297344743629
,60,169,808960.1820828307,2696.5339402761024,6268.702655256372,3572.1687149802697,0,805388.0133678504,12000,5731.297344743628
,61,168,805388.0133678504,2684.6267112261685,6268.702655256373,3584.0759440302045,0,801803.9374238203,12000,5731.297344743627
,62,167,801803.9374238203,2672.679791412734,6268.702655256373,3596.022863843639,0,798207.9145599767,12000,5731.297344743627
,63,166,798207.9145599767,2660.693048533256,6268.702655256376,3608.0096067231198,0,794599.9049532536,12000,5731.297344743624
,64,165,794599.9049532536,2648.666349844179,6268.702655256376,3620.0363054121967,0,790979.8686478414,12000,5731.297344743624
,65,164,790979.8686478414,2636.5995621594716,6268.702655256377,3632.103093096905,0,787347.7655547445,12000,5731.297344743623
,66,163,787347.7655547445,2624.4925518491486,6268.702655256377,3644.210103407228,0,783703.5554513372,12000,5731.297344743623
,67,162,783703.5554513372,2612.345184837791,6268.702655256377,3656.3574704185858,0,780047.1979809187,12000,5731.297344743623
,68,161,780047.1979809187,2600.1573266030623,6268.702655256378,3668.545328653316,0,776378.6526522654,12000,5731.297344743622
,69,160,776378.6526522654,2587.928842174218,6268.702655256379,3680.7738130821613,0,772697.8788391832,12000,5731.297344743621
,70,159,772697.8788391832,2575.659596130611,6268.70265525638,3693.043059125769,0,769004.8357800575,12000,5731.29734474362
,71,158,769004.8357800575,2563.349452600192,6268.702655256381,3705.3532026561893,0,765299.4825774013,12000,5731.297344743619
,72,157,765299.4825774013,2550.9982752580045,6268.702655256381,3717.7043799983767,0,761581.778197403,12000,5731.297344743619
,73,156,761581.778197403,2538.6059273246765,6268.702655256382,3730.0967279317056,0,757851.6814694712,12000,5731.297344743618
,74,155,757851.6814694712,2526.1722715649043,6268.702655256383,3742.5303836914786,0,754109.1510857798,12000,5731.297344743617
,75,154,754109.1510857798,2513.6971702859328,6268.702655256384,3755.005484970451,0,750354.1456008094,12000,5731.297344743616
,76,153,750354.1456008094,2501.1804853360313,6268.702655256385,3767.5221699203535,0,746586.623430889,12000,5731.297344743615
,77,152,746586.623430889,2488.6220781029633,6268.702655256385,3780.0805771534215,0,742806.5428537356,12000,5731.297344743615
,78,151,742806.5428537356,2476.0218095124524,6268.702655256387,3792.6808457439342,0,739013.8620079916,12000,5731.297344743613
,79,150,739013.8620079916,2463.379540026639,6268.702655256387,3805.3231152297476,0,735208.5388927619,12000,5731.297344743613
,80,149,735208.5388927619,2450.69512964254,6268.702655256388,3818.0075256138484,0,731390.531367148,12000,5731.297344743612
,81,148,731390.531367148,2437.9684378904935,6268.702655256388,3830.734217365895,0,727559.7971497822,12000,5731.297344743612
,82,147,727559.7971497822,2425.1993238326077,6268.70265525639,3843.5033314237826,0,723716.2938183584,12000,5731.29734474361
,83,146,723716.2938183584,2412.387646061195,6268.702655256391,3856.315009195196,0,719859.9788091632,12000,5731.297344743609
,84,145,719859.9788091632,2399.533262697211,6268.702655256392,3869.1693925591812,0,715990.809416604,12000,5731.297344743608
,85,144,715990.809416604,2386.6360313886803,6268.702655256392,3882.0666238677118,0,712108.7427927363,12000,5731.297344743608
,86,143,712108.7427927363,2373.695809309121,6268.702655256392,3895.006845947271,0,708213.735946789,12000,5731.297344743608
,87,142,708213.735946789,2360.7124531559634,6268.702655256393,3907.9902021004295,0,704305.7457446886,12000,5731.297344743607
,88,141,704305.7457446886,2347.685819148962,6268.702655256393,3921.016836107431,0,700384.7289085811,12000,5731.297344743607
,89,140,700384.7289085811,2334.615763028604,6268.702655256395,3934.086892227791,0,696450.6420163533,12000,5731.297344743605
,90,139,696450.6420163533,2321.502140054511,6268.702655256395,3947.2005152018837,0,692503.4415011514,12000,5731.297344743605
,91,138,692503.4415011514,2308.3448050038382,6268.702655256396,3960.3578502525575,0,688543.0836508989,12000,5731.297344743604
,92,137,688543.0836508989,2295.143612169663,6268.702655256397,3973.5590430867337,0,684569.5246078122,12000,5731.297344743603
,93,136,684569.5246078122,2281.898415359374,6268.702655256398,3986.804239897024,0,680582.7203679151,12000,5731.297344743602
,94,135,680582.7203679151,2268.6090678930505,6268.702655256399,4000.093587363349,0,676582.6267805517,12000,5731.297344743601
,95,134,676582.6267805517,2255.275422601839,6268.702655256399,4013.42723265456,0,672569.1995478972,12000,5731.297344743601
,96,133,672569.1995478972,2241.8973318263243,6268.7026552564,4026.805323430076,0,668542.3942244671,12000,5731.2973447436
,97,132,668542.3942244671,2228.4746474148906,6268.702655256401,4040.2280078415106,0,664502.1662166256,12000,5731.297344743599
,98,131,664502.1662166256,2215.0072207220855,6268.702655256402,4053.6954345343165,0,660448.4707820913,12000,5731.297344743598
,99,130,660448.4707820913,2201.494902606971,6268.702655256404,4067.2077526494327,0,656381.2630294418,12000,5731.297344743596
,100,129,656381.2630294418,2187.937543431473,6268.702655256404,4080.765111824931,0,652300.4979176169,12000,5731.297344743596
,101,128,652300.4979176169,2174.334993058723,6268.702655256403,4094.36766219768,0,648206.1302554192,12000,5731.297344743597
,102,127,648206.1302554192,2160.687100851397,6268.702655256403,4108.015554405006,0,644098.1147010141,12000,5731.297344743597
,103,126,644098.1147010141,2146.993715670047,6268.702655256404,4121.708939586357,0,639976.4057614278,12000,5731.297344743596
,104,125,639976.4057614278,2133.2546858714263,6268.702655256407,4135.447969384981,0,635840.9577920429,12000,5731.297344743593
,105,124,635840.9577920429,2119.4698593068097,6268.7026552564075,4149.232795949598,0,631691.7249960933,12000,5731.2973447435925
,106,123,631691.7249960933,2105.6390833203113,6268.702655256409,4163.063571936098,0,627528.6614241572,12000,5731.297344743591
,107,122,627528.6614241572,2091.762204747191,6268.70265525641,4176.940450509219,0,623351.720973648,12000,5731.29734474359
,108,121,623351.720973648,2077.83906991216,6268.702655256411,4190.863585344251,0,619160.8573883037,12000,5731.297344743589
,109,120,619160.8573883037,2063.8695246276793,6268.702655256412,4204.833130628733,0,614956.024257675,12000,5731.297344743588
,110,119,614956.024257675,2049.8534141922505,6268.702655256414,4218.849241064163,0,610737.1750166109,12000,5731.297344743586
,111,118,610737.1750166109,2035.790583388703,6268.702655256414,4232.912071867711,0,606504.2629447432,12000,5731.297344743586
,112,117,606504.2629447432,2021.6808764824773,6268.702655256417,4247.021778773939,0,602257.2411659692,12000,5731.297344743583
,113,116,602257.2411659692,2007.5241372198973,6268.702655256416,4261.178518036519,0,597996.0626479327,12000,5731.297344743584
,114,115,597996.0626479327,1993.3202088264425,6268.7026552564175,4275.382446429975,0,593720.6802015027,12000,5731.2973447435825
,115,114,593720.6802015027,1979.0689340050094,6268.70265525642,4289.633721251411,0,589431.0464802514,12000,5731.29734474358
,116,113,589431.0464802514,1964.7701549341714,6268.702655256421,4303.932500322249,0,585127.1139799291,12000,5731.297344743579
,117,112,585127.1139799291,1950.4237132664305,6268.70265525642,4318.27894198999,0,580808.8350379391,12000,5731.29734474358
,118,111,580808.8350379391,1936.0294501264639,6268.702655256422,4332.673205129959,0,576476.1618328092,12000,5731.297344743578
,119,110,576476.1618328092,1921.5872061093642,6268.702655256423,4347.115449147059,0,572129.0463836621,12000,5731.297344743577
,120,109,572129.0463836621,1907.096821278874,6268.702655256427,4361.605833977553,0,567767.4405496846,12000,5731.297344743573
,121,108,567767.4405496846,1892.5581351656153,6268.702655256425,4376.144520090809,0,563391.2960295938,12000,5731.297344743575
