input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה לא צמודה', 'amortization': 'שפיצר', 'duration': 204, 'interest': 0.02, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,204,1000000,1666.6666666666667,5786.470359427253,4119.803692760586,0,995880.1963072394,12000,6213.529640572747
,2,203,995880.1963072394,1659.8003271787325,5786.470359427255,4126.670032248523,0,991753.5262749909,12000,6213.529640572745
,3,202,991753.5262749909,1652.9225437916516,5786.470359427254,4133.547815635602,0,987619.9784593553,12000,6213.529640572746
,4,201,987619.9784593553,1646.033297432259,5786.470359427255,4140.437061994996,0,983479.5413973603,12000,6213.529640572745
,5,200,983479.5413973603,1639.1325689956006,5786.470359427256,4147.337790431655,0,979332.2036069286,12000,6213.529640572744
,6,199,979332.2036069286,1632.220339344881,5786.470359427257,4154.250020082376,0,975177.9535868462,12000,6213.529640572743
,7,198,975177.9535868462,1625.2965893114106,5786.470359427257,4161.173770115846,0,971016.7798167304,12000,6213.529640572743
,8,197,971016.7798167304,1618.3612996945508,5786.470359427257,4168.109059732706,0,966848.6707569977,12000,6213.529640572743
,9,196,966848.6707569977,1611.4144512616629,5786.470359427258,4175.055908165595,0,962673.614848832,12000,6213.529640572742
,10,195,962673.614848832,1604.4560247480536,5786.470359427258,4182.014334679205,0,958491.6005141528,12000,6213.529640572742
,11,194,958491.6005141528,1597.4860008569215,5786.47035942726,4188.984358570338,0,954302.6161555825,12000,6213.52964057274
,12,193,954302.6161555825,1590.5043602593043,5786.47035942726,4195.9659991679555,0,950106.6501564145,12000,6213.52964057274
,13,192,950106.6501564145,1583.5110835940243,5786.470359427261,4202.959275833237,0,945903.6908805813,12000,6213.529640572739
,14,191,945903.6908805813,1576.5061514676356,5786.470359427262,4209.964207959627,0,941693.7266726217,12000,6213.529640572738
,15,190,941693.7266726217,1569.4895444543695,5786.4703594272605,4216.980814972891,0,937476.7458576488,12000,6213.5296405727395
,16,189,937476.7458576488,1562.4612430960815,5786.470359427262,4224.009116331181,0,933252.7367413176,12000,6213.529640572738
,17,188,933252.7367413176,1555.421227902196,5786.470359427261,4231.049131525066,0,929021.6876097925,12000,6213.529640572739
,18,187,929021.6876097925,1548.3694793496543,5786.470359427263,4238.100880077609,0,924783.5867297149,12000,6213.529640572737
