input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה לא צמודה', 'amortization': 'שפיצר', 'duration': 144, 'interest': 0.0225, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,144,1000000,1875,7930.549801526292,6055.549801526292,0,993944.4501984738,12000,4069.450198473708
,2,143,993944.4501984738,1863.6458441221382,7930.549801526297,6066.903957404159,0,987877.5462410696,12000,4069.4501984737026
,3,142,987877.5462410696,1852.2703992020054,7930.5498015262965,6078.279402324291,0,981799.2668387452,12000,4069.4501984737035
,4,141,981799.2668387452,1840.8736253226473,7930.549801526301,6089.676176203654,0,975709.5906625416,12000,4069.450198473699
,5,140,975709.5906625416,1829.4554824922654,7930.549801526299,6101.094319034034,0,969608.4963435075,12000,4069.4501984737008
,6,139,969608.4963435075,1818.0159306440767,7930.549801526303,6112.533870882226,0,963495.9624726253,12000,4069.450198473697
,7,138,963495.9624726253,1806.5549296361723,7930.549801526307,6123.994871890135,0,957371.9676007351,12000,4069.4501984736926
,8,137,957371.9676007351,1795.0724392513782,7930.549801526308,6135.47736227493,0,951236.4902384602,12000,4069.4501984736917
,9,136,951236.4902384602,1783.568419197113,7930.549801526311,6146.981382329198,0,945089.508856131,12000,4069.450198473689
,10,135,945089.508856131,1772.0428291052456,7930.549801526313,6158.506972421067,0,938931.0018837099,12000,4069.450198473687
,11,134,938931.0018837099,1760.495628531956,7930.549801526312,6170.054172994356,0,932760.9477107156,12000,4069.450198473688
,12,133,932760.9477107156,1748.9267769575918,7930.5498015263165,6181.623024568725,0,926579.3246861468,12000,4069.4501984736835
,13,132,926579.3246861468,1737.336233786525,7930.5498015263165,6193.213567739791,0,920386.111118407,12000,4069.4501984736835
,14,131,920386.111118407,1725.723958347013,7930.549801526319,6204.8258431793065,0,914181.2852752277,12000,4069.4501984736808
,15,130,914181.2852752277,1714.089909891052,7930.549801526323,6216.459891635271,0,907964.8253835925,12000,4069.450198473677
,16,129,907964.8253835925,1702.4340475942358,7930.549801526324,6228.115753932088,0,901736.7096296605,12000,4069.450198473676
,17,128,901736.7096296605,1690.7563305556134,7930.549801526326,6239.793470970712,0,895496.9161586898,12000,4069.4501984736744
,18,127,895496.9161586898,1679.0567177975433,7930.54980152633,6251.493083728787,0,889245.4230749609,12000,4069.45019847367
,19,126,889245.4230749609,1667.3351682655516,7930.549801526328,6263.214633260777,0,882982.2084417002,12000,4069.4501984736717
,20,125,882982.2084417002,1655.5916408281878,7930.549801526329,6274.958160698141,0,876707.250281002,12000,4069.4501984736708
,21,124,876707.250281002,1643.8260942768786,7930.549801526332,6286.723707249454,0,870420.5265737525,12000,4069.450198473668
,22,123,870420.5265737525,1632.0384873257858,7930.549801526334,6298.511314200548,0,864122.0152595519,12000,4069.450198473666
,23,122,864122.0152595519,1620.22877861166,7930.549801526338,6310.321022914679,0,857811.6942366372,12000,4069.4501984736617
,24,121,857811.6942366372,1608.3969266936947,7930.54980152634,6322.1528748326455,0,851489.5413618046,12000,4069.45019847366
,25,120,851489.5413618046,1596.5428900533836,7930.549801526343,6334.0069114729595,0,845155.5344503316,12000,4069.450198473657
,26,119,845155.5344503316,1584.6666270943717,7930.549801526343,6345.883174431971,0,838809.6512758996,12000,4069.450198473657
,27,118,838809.6512758996,1572.7680961423116,7930.549801526347,6357.781705384035,0,832451.8695705156,12000,4069.4501984736526
,28,117,832451.8695705156,1560.8472554447167,7930.549801526349,6369.702546081633,0,826082.167024434,12000,4069.4501984736507
,29,116,826082.167024434,1548.9040631708135,7930.549801526351,6381.645738355537,0,819700.5212860784,12000,4069.450198473649
,30,115,819700.5212860784,1536.938477411397,7930.549801526351,6393.611324114954,0,813306.9099619634,12000,4069.450198473649
,31,114,813306.9099619634,1524.9504561786814,7930.549801526356,6405.599345347674,0,806901.3106166157,12000,4069.4501984736444
