input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה צמודה', 'amortization': 'שפיצר', 'duration': 132, 'interest': 0.025, 'cpi': 0.025, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,132,1002083.3333333334,2087.6736111111113,8691.015068948343,6603.341457837232,2073.916649740617,997553.9085252368,12000,3308.9849310516565
,2,131,997553.9085252368,2078.2373094275767,8709.121350341988,6630.88404091441,2064.4229676756718,992987.4474519981,12000,3290.8786496580124
,3,130,992987.4474519981,2068.7238488583293,8727.265353155206,6658.541504296876,2054.8518873910443,988383.7578350924,12000,3272.734646844794
,4,129,988383.7578350924,2059.132828823109,8745.447155974281,6686.314327151173,2045.2030073082108,983742.6465152494,12000,3254.5528440257185
,5,128,983742.6465152494,2049.4638469067695,8763.666837549228,6714.202990642459,2035.4759240095975,979063.9194486164,12000,3236.333162450772
,6,127,979063.9194486164,2039.7164988512843,8781.924476794129,6742.207977942845,2025.6702322305698,974347.3817029041,12000,3218.075523205871
,7,126,974347.3817029041,2029.8903785477169,8800.220152787448,6770.329774239731,2015.7855248513843,969592.8374535159,12000,3199.7798472125523
,8,125,969592.8374535159,2019.985078028158,8818.55394477243,6798.568866744272,2005.8213928891073,964800.0899796607,12000,3181.4460552275705
,9,124,964800.0899796607,2010.0001874576265,8836.925932157375,6826.925744699749,1995.7774254895019,959968.9416604504,12000,3163.0740678426246
,10,123,959968.9416604504,1999.9352951259384,8855.33619451604,6855.400899390101,1985.6532099188755,955099.1939709792,12000,3144.6638054839605
,11,122,955099.1939709792,1989.78998743954,8873.78481158795,6883.99482414841,1975.4483315558975,950190.6474783868,12000,3126.2151884120503
,12,121,950190.6474783868,1979.5638489133057,8892.271863278762,6912.708014365457,1965.1623738833778,945243.1018379048,12000,3107.728136721238
