input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה צמודה', 'amortization': 'קרן שווה', 'duration': 192, 'interest': 0.025, 'cpi': 0.03, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,192,1002500,2088.5416666666665,5221.354166666667,7309.895833333334,2493.1966145833335,999771.8424479167,12000,4690.104166666666
,2,191,999771.8424479167,2082.8580050998266,5234.407552083334,7317.26555718316,2486.3435872395835,997023.778483073,12000,4682.73444281684
,3,190,997023.778483073,2077.1328718397353,5247.493570963542,7324.626442803277,2479.4407122802736,994255.7256243897,12000,4675.373557196723
,4,189,994255.7256243897,2071.366095050812,5260.612304890951,7331.978399941763,2472.4877832987468,991467.6011027974,12000,4668.021600058237
,5,188,991467.6011027974,2065.5575022974945,5273.763835653178,7339.321337950672,2465.4845931678606,988659.3218603121,12000,4660.678662049328
,6,187,988659.3218603121,2059.7069205423168,5286.948245242311,7346.655165784628,2458.4309340376744,985830.8045491074,12000,4653.344834215372
,7,186,985830.8045491074,2053.814176143974,5300.165615855416,7353.97979199939,2451.3265973331304,982981.9655305853,12000,4646.02020800061
,8,185,982981.9655305853,2047.879094855386,5313.4160298950555,7361.295124750442,2444.1713737517257,980112.7208744419,12000,4638.704875249558
,9,184,980112.7208744419,2041.901501821754,5326.699569969793,7368.601071791547,2436.9650532611804,977222.9863577333,12000,4631.398928208453
,10,183,977222.9863577333,2035.8812215786108,5340.016318894717,7375.897540473328,2429.7074250970963,974312.6774639357,12000,4624.102459526672
,11,182,974312.6774639357,2029.818078049866,5353.366359691954,7383.18443774182,2422.3982777606093,971381.7093820043,12000,4616.81556225818
,12,181,971381.7093820043,2023.7118945458424,5366.7497755911845,7390.461670137027,2415.037399016033,968429.9970054292,12000,4609.538329862973
,13,180,968429.9970054292,2017.5624937613109,5380.166650030163,7397.729143791474,2407.6245758884975,965457.4549312876,12000,4602.270856208526
,14,179,965457.4549312876,2011.3696977735158,5393.617066655238,7404.986764428753,2400.159594661581,962463.9974592939,12000,4595.013235571247
,15,178,962463.9974592939,2005.1333280401957,5407.101109321876,7412.234437362072,2392.64224087493,959449.5385908469,12000,4587.765562637928
,16,177,959449.5385908469,1998.8532053975978,5420.618862095181,7419.4720674927785,2385.0722993218797,956413.9920280736,12000,4580.5279325072215
,17,176,956413.9920280736,1992.5291500584867,5434.170409250419,7426.699559308905,2377.449554047058,953357.2711728703,12000,4573.300440691095
,18,175,953357.2711728703,1986.1609816101463,5447.755835273545,7433.916816883691,2369.773788343992,950279.2891259408,12000,4566.083183116309
,19,174,950279.2891259408,1979.7485190123766,5461.375224861728,7441.123743874105,2362.0447847526975,947179.9586858316,12000,4558.876256125895
,20,173,947179.9586858316,1973.2915805954826,5475.028662923883,7448.320243519365,2354.2623250572697,944059.1923479651,12000,4551.679756480635
,21,172,944059.1923479651,1966.7899840582606,5488.716234581192,7455.5062186394525,2346.4261902834596,940916.9023036674,12000,4544.4937813605475
,22,171,940916.9023036674,1960.2435464659736,5502.438025167646,7462.68157163362,2338.536160696249,937753.000439196,12000,4537.31842836638
,23,170,937753.000439196,1953.652084248325,5516.194120230565,7469.84620447889,2330.5920157974138,934567.3983347628,12000,4530.15379552111
,24,169,934567.3983347628,1947.0154131974225,5529.984605531141,7477.000018728563,2322.5935343230794,931360.0072635547,12000,4522.999981271437
,25,168,931360.0072635547,1940.333348465739,5543.809567044968,7484.142915510707,2314.5404942412747,928130.738190751,12000,4515.857084489293
,26,167,928130.738190751,1933.6057045640646,5557.669090962581,7491.274795526646,2306.4326727494713,924879.501772538,12000,4508.725204473354
,27,166,924879.501772538,1926.832295359454,5571.563263689987,7498.3955590494415,2298.26984627212,921606.20835512,12000,4501.6044409505585
,28,165,921606.20835512,1920.0129340731667,5585.492171849212,7505.505105922379,2290.051790458177,918310.767973729,12000,4494.494894077621
,29,164,918310.767973729,1913.147433278602,5599.455902278835,7512.603335557437,2281.778280178625,914993.0903516287,12000,4487.396664442563
,30,163,914993.0903516287,1906.2356048992265,5613.454542034532,7519.690146933759,2273.4490895239855,911653.0848991182,12000,4480.309853066241
,31,162,911653.0848991182,1899.277260206496,5627.488178389618,7526.765438596114,2265.0639918018214,908290.6607125304,12000,4473.234561403886
,32,161,908290.6607125304,1892.2722098177717,5641.556898835593,7533.8291086533645,2256.622759534237,904905.7265732291,12000,4466.1708913466355
,33,160,904905.7265732291,1885.2202636942272,5655.6607910826815,7540.881054776909,2248.1251644553663,901498.1909466018,12000,4459.118945223091
,34,159,901498.1909466018,1878.1212311387537,5669.799943060389,7547.921174199142,2239.5709775088535,898067.9619810503,12000,4452.078825800858
,35,158,898067.9619810503,1870.9749207938548,5683.97444291804,7554.949363711895,2230.9599688453304,894614.9475069776,12000,4445.050636288105
,36,157,894614.9475069776,1863.7811406395367,5698.184379025335,7561.965519664872,2222.2919078198806,891139.0550357722,12000,4438.034480335128
,37,156,891139.0550357722,1856.539697991192,5712.429839972899,7568.969537964091,2213.5665629894984,887640.1917587888,12000,4431.030462035909
,38,155,887640.1917587888,1849.2503994974766,5726.710914572831,7575.961314070308,2204.78370211054,884118.2645463265,12000,4424.038685929692
,39,154,884118.2645463265,1841.9130511381802,5741.027691859263,7582.940742997443,2195.943092136168,880573.1799466034,12000,4417.059257002557
,40,153,880573.1799466034,1834.5274582220902,5755.380261088911,7589.907719311001,2187.044499213786,877004.8441847282,12000,4410.092280688999
,41,152,877004.8441847282,1827.0934253848504,5769.768711741633,7596.8621371264835,2178.0876886824663,873413.163161669,12000,4403.1378628735165
,42,151,873413.163161669,1819.6107565868106,5784.193133520987,7603.803890107798,2169.07242507037,869798.0424532184,12000,4396.196109892202
,43,150,869798.0424532184,1812.0792551108716,5798.653616354789,7610.7328714656605,2159.998472092159,866159.3873089558,12000,4389.2671285343395
,44,149,866159.3873089558,1804.4987235603246,5813.150250395676,7617.648973956001,2150.8655926464003,862497.1026512065,12000,4382.351026043999
,45,148,862497.1026512065,1796.8689638566802,5827.683126021666,7624.552089878346,2141.6735488129625,858811.0930739979,12000,4375.447910121654
,46,147,858811.0930739979,1789.1897772374955,5842.25233383672,7631.442111074215,2132.4221018504027,855101.2628420115,12000,4368.557888925785
,47,146,855101.2628420115,1781.4609642541907,5856.8579646713115,7638.318928925502,2123.1110121933507,851367.5158895336,12000,4361.681071074498
,48,145,851367.5158895336,1773.6823247698615,5871.50010958299,7645.1824343528515,2113.7400394498763,847609.7558194004,12000,4354.8175656471485
,49,144,847609.7558194004,1765.8536579570841,5886.178859856947,7652.032517814032,2104.308942398859,843827.8859019424,12000,4347.967482185968
,50,143,843827.8859019424,1757.9747622957132,5900.89430700659,7658.869069302303,2094.8174789873397,840021.8090739232,12000,4341.130930697697
,51,142,840021.8090739232,1750.0454355706731,5915.646542774107,7665.69197834478,2085.2654063278724,836191.4279374769,12000,4334.30802165522
,52,141,836191.4279374769,1742.0654748697434,5930.435659131042,7672.501134000785,2075.6524806958646,832336.6447590417,12000,4327.498865999215
,53,140,832336.6447590417,1734.034676581337,5945.261748278869,7679.296424860206,2065.9784575269073,828457.3614682897,12000,4320.703575139794
,54,139,828457.3614682897,1725.9528363922702,5960.124902649566,7686.077739041836,2056.2430914141005,824553.4796570543,12000,4313.922260958164
,55,138,824553.4796570543,1717.8197492855297,5975.025214906191,7692.8449641917205,2046.4461361053702,820624.9005782534,12000,4307.1550358082795
,56,137,820624.9005782534,1709.635209538028,5989.962777943456,7699.597987481484,2036.5873445007749,816671.5251448108,12000,4300.402012518516
,57,136,816671.5251448108,1701.3990107183558,6004.937684888315,7706.336695606671,2026.6664686498061,812693.2539285722,12000,4293.663304393329
,58,135,812693.2539285722,1693.1109456845254,6019.950029100534,7713.060974785059,2016.6832597486791,808689.9871592203,12000,4286.939025214941
,59,134,808689.9871592203,1684.770806581709,6034.999904173285,7719.770710754994,2006.6374681376174,804661.6247231846,12000,4280.229289245006
,60,133,804661.6247231846,1676.378384839968,6050.087403933719,7726.465788773687,1996.5288432981272,800608.066162549,12000,4273.534211226313
,61,132,800608.066162549,1667.9334711719769,6065.212622443552,7733.146093615529,1986.3571338502636,796529.2106739556,12000,4266.853906384471
,62,131,796529.2106739556,1659.4358555707408,6080.375653999661,7739.8115095704015,1976.12208754989,792424.9571075059,12000,4260.1884904295985
,63,130,792424.9571075059,1650.885327307304,6095.5765931346605,7746.461920441964,1965.823451285928,788295.2039656572,12000,4253.538079558036
,64,129,788295.2039656572,1642.2816749284523,6110.815534617497,7753.097209545949,1955.4609710775992,784139.8494021172,12000,4246.902790454051
,65,128,784139.8494021172,1633.6246862544108,6126.092573454041,7759.717259708452,1945.034392071658,779958.7912207348,12000,4240.282740291548
,66,127,779958.7912207348,1624.9141483765309,6141.407804887675,7766.321953264206,1934.543458539618,775751.9268743868,12000,4233.678046735794
,67,126,775751.9268743868,1616.1498476549725,6156.761324399896,7772.911172054868,1923.9879138749675,771519.1534638619,12000,4227.088827945132
,68,125,771519.1534638619,1607.331569716379,6172.153227710895,7779.484797427274,1913.3675005903776,767260.3677367414,12000,4220.515202572726
,69,124,767260.3677367414,1598.4590994515447,6187.583610780172,7786.042710231717,1902.681960314903,762975.4660862761,12000,4213.957289768283
,70,123,762975.4660862761,1589.5322210130753,6203.052569807122,7792.584790820198,1891.9310337911725,758664.3445502601,12000,4207.415209179802
,71,122,758664.3445502601,1580.550717813042,6218.56020123164,7799.110919044682,1881.1144608725713,754326.8988099011,12000,4200.889080955318
,72,121,754326.8988099011,1571.5143725206271,6234.106601734719,7805.6209742553465,1870.2319805204158,749963.0241886867,12000,4194.3790257446535
,73,120,749963.0241886867,1562.422967059764,6249.691868239056,7812.11483529882,1859.2833308011193,745572.6156512488,12000,4187.88516470118
,74,119,745572.6156512488,1553.2762826067683,6265.316097909654,7818.592380516422,1848.268248883348,741155.5678022224,12000,4181.407619483578
,75,118,741155.5678022224,1544.0740995879635,6280.979388154427,7825.053487742391,1837.18647103517,736711.7748851031,12000,4174.946512257609
,76,117,736711.7748851031,1534.816197677298,6296.681836624813,7831.498034302111,1826.0377326211956,732241.1307810994,12000,4168.501965697889
,77,116,732241.1307810994,1525.5023557939571,6312.423541216374,7837.925897010331,1814.8217680997077,727743.5290079827,12000,4162.074102989669
,78,115,727743.5290079827,1516.132352099964,6328.2046000694145,7844.3369521693785,1803.5383110197831,723218.862718933,12000,4155.6630478306215
,79,114,723218.862718933,1506.7059639977772,6344.025111569588,7850.731075567365,1792.1870940184087,718667.0247013819,12000,4149.268924432635
,80,113,718667.0247013819,1497.222968127879,6359.885174348513,7857.1081424763925,1780.7678488175836,714087.9073758511,12000,4142.8918575236075
