input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה צמודה', 'amortization': 'שפיצר', 'duration': 96, 'interest': 0.0275, 'cpi': 0.012, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,96,1001000,2293.9583333333335,11627.979658771525,9334.02132543819,991.6659786745619,992657.6446532364,12000,372.02034122847544
,2,95,992657.6446532364,2274.8404356636665,11639.607638430283,9364.767202766616,983.2928774504697,984276.1703279202,12000,360.39236156971674
,3,94,984276.1703279202,2255.632890334817,11651.24724606871,9395.614355733893,974.8805559721864,975855.4365281586,12000,348.7527539312905
,4,93,975855.4365281586,2236.3353753770302,11662.898493314779,9426.563117937749,966.4288734102208,967395.302283631,12000,337.10150668522147
,5,92,967395.302283631,2216.947567733321,11674.561391808089,9457.613824074768,957.9376884595563,958895.6261480158,12000,325.43860819191104
,6,91,958895.6261480158,2197.4691432558698,11686.235953199892,9488.766809944022,949.4068593380719,950356.2661974098,12000,313.7640468001082
,7,90,950356.2661974098,2177.8997767023975,11697.922189153087,9520.02241245069,940.8362437849593,941777.0800287442,12000,302.07781084691305
,8,89,941777.0800287442,2158.239141732539,11709.62011134224,9551.380969609701,932.2256990591345,933157.9247581935,12000,290.3798886577606
,9,88,933157.9247581935,2138.4869109041933,11721.329731453576,9582.842820549382,923.5750819376442,924498.6570195818,12000,278.67026854642427
,10,87,924498.6570195818,2118.642755669875,11733.051061185028,9614.408305515153,914.8842487140666,915799.1329627807,12000,266.9489388149723
,11,86,915799.1329627807,2098.706346373039,11744.784112246203,9646.077765873164,906.1530551969075,907059.2082521043,12000,255.21588775379678
,12,85,907059.2082521043,2078.677352244406,11756.528896358448,9677.851544114043,897.3813567079903,898278.7380646983,12000,243.47110364155196
,13,84,898278.7380646983,2058.555441398267,11768.285425254795,9709.729983856529,888.5690080808417,889457.5770889226,12000,231.71457474520503
,14,83,889457.5770889226,2038.340280828781,11780.053710680051,9741.71342985127,879.7158636590714,880595.5795227304,12000,219.94628931994885
,15,82,880595.5795227304,2018.0315364062571,11791.833764390718,9773.80222798446,870.8217772947461,871692.5990720408,12000,208.166235609282
,16,81,871692.5990720408,1997.6288728734266,11803.625598155113,9805.996725281686,861.8866023467591,862748.4889491058,12000,196.37440184488696
,17,80,862748.4889491058,1977.1319538417008,11815.429223753259,9838.297269911558,852.9101916791943,853763.1018708735,12000,184.57077624674093
,18,79,853763.1018708735,1956.5404417874183,11827.244652977008,9870.70421118959,843.8923976596839,844736.2900573435,12000,172.75534702299228
,19,78,844736.2900573435,1935.853998048079,11839.07189762998,9903.217899581901,834.8330721577616,835667.9052299195,12000,160.9281023700205
,20,77,835667.9052299195,1915.0722828185656,11850.910969527602,9935.838686709036,825.7320665432104,826557.7986097536,12000,149.089030472398
,21,76,826557.7986097536,1894.194955147352,11862.761880497126,9968.566925349774,816.5892316844039,817405.8209160883,12000,137.23811950287381
,22,75,817405.8209160883,1873.2216729327024,11874.624642377621,10001.402969444918,807.4044179466434,808211.82236459,12000,125.37535762237894
,23,74,808211.82236459,1852.152092918852,11886.49926701999,10034.347174101138,798.1774751904888,798975.6526656793,12000,113.50073298001007
,24,73,798975.6526656793,1830.9858706921818,11898.385766287005,10067.399895594823,788.9082527700846,789697.1610228546,12000,101.61423371299497
,25,72,789697.1610228546,1809.7226606773752,11910.284152053293,10100.561491375918,779.5965995314788,780376.1961310102,12000,89.71584794670707
,26,71,780376.1961310102,1788.362116133565,11922.19443620533,10133.832320071764,770.2423638109384,771012.6061747493,12000,77.80556379467089
,27,70,771012.6061747493,1766.9038891504672,11934.116630641534,10167.212741491066,760.8453934332583,761606.2388266915,12000,65.88336935846564
,28,69,761606.2388266915,1745.3476306445014,11946.050747272162,10200.703116627661,751.4055357100639,752156.9412457739,12000,53.94925272783803
,29,68,752156.9412457739,1723.6929903548985,11957.996798019436,10234.303807664537,741.9226374381094,742664.5600755474,12000,42.00320198056397
,30,67,742664.5600755474,1701.9396168397961,11969.954794817446,10268.01517797765,732.3965448975698,733128.9414424674,12000,30.045205182554128
,31,66,733128.9414424674,1680.087157472321,11981.924749612263,10301.837592139942,722.8271038503275,723549.9309541777,12000,18.07525038773747
,32,65,723549.9309541777,1658.1352584366573,11993.906674361862,10335.771415925205,713.2141595382525,713927.3736977908,12000,6.093325638137685
,33,64,713927.3736977908,1636.0835647241038,12005.900581036225,10369.817016312121,703.5575566814787,704261.1142381601,12000,0
,34,63,704261.1142381601,1613.931720129117,12017.90648161725,10403.974761488134,693.8571394766719,694550.9966161486,12000,0
,35,62,694550.9966161486,1591.6793672453407,12029.92438809886,10438.24502085352,684.1127515952952,684796.8643468905,12000,0
,36,61,684796.8643468905,1569.326147461624,12041.954312486958,10472.628165025333,674.3242361818651,674998.560418047,12000,0
,37,60,674998.560418047,1546.8717009580243,12053.996266799435,10507.12456584141,664.4914358522057,665155.9272880579,12000,0
,38,59,665155.9272880579,1524.3156667017993,12066.050263066223,10541.734596364424,654.6141926916935,655268.8068843852,12000,0
,39,58,655268.8068843852,1501.6576824433828,12078.116313329288,10576.458630885905,644.6923482534993,645337.0406017527,12000,0
,40,57,645337.0406017527,1478.89738471235,12090.194429642603,10611.297044930252,634.7257435568224,635360.4693003793,12000,0
,41,56,635360.4693003793,1456.0344088133693,12102.284624072248,10646.250215258879,624.7142190851204,625338.9333042055,12000,0
,42,55,625338.9333042055,1433.0683888221376,12114.386908696299,10681.318519874161,614.6576147843314,615272.2723991157,12000,0
,43,54,615272.2723991157,1409.998957581307,12126.50129560499,10716.502338023683,604.555770061092,605160.3258311531,12000,0
,44,53,605160.3258311531,1386.8257466963926,12138.627796900586,10751.802050204193,594.4085237809488,595002.9323047298,12000,0
,45,52,595002.9323047298,1363.5483865316726,12150.766424697491,10787.218038165818,584.215714266564,584799.9299808305,12000,0
,46,51,584799.9299808305,1340.16650620607,12162.917191122162,10822.750684916093,573.9771792959145,574551.1564752104,12000,0
,47,50,574551.1564752104,1316.679733589024,12175.080108313286,10858.400374724262,563.6927561004861,564256.4488565866,12000,0
,48,49,564256.4488565866,1293.0876952963442,12187.255188421583,10894.167493125238,553.3622813634614,553915.6436448249,12000,0
,49,48,553915.6436448249,1269.390016686057,12199.442443610002,10930.052426923945,542.9855912179008,543528.5768091187,12000,0
,50,47,543528.5768091187,1245.5863218542304,12211.64188605359,10966.05556419936,532.5625212449194,533095.0837661643,12000,0
,51,46,533095.0837661643,1221.6762336307931,12223.853527939647,11002.177294308854,522.0929064718554,522614.9993783273,12000,0
,52,45,522614.9993783273,1197.6593735753333,12236.077381467574,11038.41800789224,511.576581370435,512088.15795180545,12000,0
,53,44,512088.15795180545,1173.5353619728876,12248.313458849036,11074.778096876147,501.01337985492927,501514.3932347842,12000,0
,54,43,501514.3932347842,1149.3038178297138,12260.561772307874,11111.25795447816,490.40313528030606,490893.53841558634,12000,0
,55,42,490893.53841558634,1124.9643588690521,12272.822334080169,11147.857975211116,479.7456804403752,480225.4261208156,12000,0
,56,41,480225.4261208156,1100.5166015268692,12285.09515641424,11184.57855488737,469.04084756592823,469509.88841349416,12000,0
,57,40,469509.88841349416,1075.9601609475908,12297.380251570654,11221.420090623064,458.2884683228711,458746.75679119397,12000,0
,58,39,458746.75679119397,1051.2946509798196,12309.677631822191,11258.38298084237,447.4883738103516,447935.86218416196,12000,0
,59,38,447935.86218416196,1026.5196841720378,12321.987309454013,11295.467625281975,436.64039455888,437077.0349534389,12000,0
,60,37,437077.0349534389,1001.6348717682976,12334.309296763458,11332.67442499516,425.7443605284438,426170.1048889722,12000,0
,61,36,426170.1048889722,976.6398237038946,12346.643606060208,11370.003782356314,414.80010110661584,415214.9012077225,12000,0
,62,35,415214.9012077225,951.5341486010307,12358.990249666256,11407.456101065225,403.80744510665727,404211.25255176396,12000,0
,63,34,404211.25255176396,926.3174537644591,12371.349239915902,11445.031786151443,392.7662207656125,393158.9869863781,12000,0
,64,33,393158.9869863781,900.9893451771164,12383.720589155811,11482.731243978695,381.6762557423994,382057.93199814175,12000,0
,65,32,382057.93199814175,875.5494274957415,12396.104309744953,11520.554882249211,370.5373771158925,370907.91449300846,12000,0
,66,31,370907.91449300846,849.9973040464777,12408.500414054688,11558.50311000821,359.34941138300024,359708.76079438324,12000,0
,67,30,359708.76079438324,824.3325768204616,12420.908914468711,11596.57633764825,348.112184456735,348460.2966411917,12000,0
,68,29,348460.2966411917,798.5548464693976,12433.329823383183,11634.774976913784,336.82552166427797,337162.3471859422,12000,0
,69,28,337162.3471859422,772.6637123011176,12445.763153206555,11673.099440905438,325.4892477450368,325814.7369927818,12000,0
,70,27,325814.7369927818,746.658772275125,12458.208916359708,11711.550144084584,314.10318684869725,314417.29003554594,12000,0
,71,26,314417.29003554594,720.5396229981261,12470.667125276057,11750.12750227793,302.66716253326797,302969.82969580125,12000,0
,72,25,302969.82969580125,694.3058597195445,12483.137792401321,11788.831932681776,291.1809977631195,291472.1787608826,12000,0
,73,24,291472.1787608826,667.9570763270226,12495.620930193729,11827.663853866707,279.6445149070159,279924.15942192293,12000,0
,74,23,279924.15942192293,641.4928653419067,12508.11655112389,11866.623685781984,268.05753573614095,268325.5932718771,12000,0
,75,22,268325.5932718771,614.9128179147183,12520.624667674972,11905.711849760253,256.4198814221168,256676.30130353896,12000,0
,76,21,256676.30130353896,588.2165238206101,12533.145292342651,11944.92876852204,244.73137253501693,244976.10390755194,12000,0
,77,20,244976.10390755194,561.4035714548065,12545.678437634955,11984.274866180149,232.9918290413718,233224.82087041315,12000,0
,78,19,233224.82087041315,534.4735478280302,12558.22411607258,12023.75056824455,221.2010703021686,221422.27137247077,12000,0
,79,18,221422.27137247077,507.4260385619122,12570.782340188598,12063.356301626685,209.3589150708441,209568.27398591494,12000,0
,80,17,209568.27398591494,480.26062788438844,12583.353122528759,12103.09249464437,197.46518149127058,197662.64667276185,12000,0
,81,16,197662.64667276185,452.97689862507923,12595.936475651311,12142.959577026231,185.51968709573563,185705.20678283137,12000,0
,82,15,185705.20678283137,425.57443221065523,12608.532412126884,12182.95797991623,173.52224880291516,173695.77105171807,12000,0
,83,14,173695.77105171807,398.0528086601872,12621.14094453902,12223.088135878832,161.47268291583924,161634.15559875508,12000,0
,84,13,161634.15559875508,370.4116065804804,12633.762085483482,12263.350478903001,149.37080511985206,149520.17592497193,12000,0
,85,12,149520.17592497193,342.650403161394,12646.395847568954,12303.74544440756,137.21643048056436,137353.64691104493,12000,0
,86,11,137353.64691104493,314.7687741711446,12659.042243416441,12344.273469245296,125.00937344179964,125134.38281524144,12000,0
,87,10,125134.38281524144,286.76629395159495,12671.701285659838,12384.934991708242,112.74944782353319,112862.19727135672,12000,0
,88,9,112862.19727135672,258.6425354135258,12684.372986945464,12425.730451531937,100.43646681982479,100536.9032866446,12000,0
,89,8,100536.9032866446,230.3970700318939,12697.05735993228,12466.660289900386,88.07024299674421,88158.31323974096,12000,0
,90,7,88158.31323974096,202.02946784107306,12709.754417292193,12507.72494945112,75.65058829028985,75726.23887858013,12000,0
,91,6,75726.23887858013,173.53929743007947,12722.464171709351,12548.924874279272,63.17731400430086,63240.49131830516,12000,0
,92,5,63240.49131830516,144.92612593778267,12735.186635881028,12590.260509943244,50.65023080836191,50700.88103917028,12000,0
,93,4,50700.88103917028,116.18951904809856,12747.921822516777,12631.732303468678,38.0691487357016,38107.217884437305,12000,0
,94,3,38107.217884437305,87.32904098516882,12760.669744339271,12673.340703354103,25.433877181083204,25459.311058264288,12000,0
,95,2,25459.311058264288,58.344254508522326,12773.430414083325,12715.086159574803,12.744224898689485,12756.969123588175,12000,0
,96,1,12756.969123588175,29.2347209082229,12786.203844496875,12756.969123588651,-4.765752237290144e-13,-4.770517989527434e-10,12000,0
