input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה צמודה', 'amortization': 'שפיצר', 'duration': 228, 'interest': 0.035, 'cpi': 0.015, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,228,1001250,2920.3125,6018.427887059345,3098.1153870593453,1247.6898557661757,999399.5744687067,12000,5981.572112940655
,2,227,999399.5744687067,2914.915425533728,6025.950921918168,3111.03549638444,1245.3606737154028,997533.8996460376,12000,5974.049078081832
,3,226,997533.8996460376,2909.47387396761,6033.483360570567,3124.009486602957,1243.0123626992934,995652.9025221339,12000,5966.516639429433
,4,225,995652.9025221339,2903.987632356224,6041.025214771278,3137.037582415054,1240.6448311746485,993756.5097708935,12000,5958.974785228722
,5,224,993756.5097708935,2898.456486831773,6048.576496289745,3150.1200094579717,1238.2579872017945,991844.6477486374,12000,5951.423503710255
,6,223,991844.6477486374,2892.8802226001926,6056.137216910107,3163.2569943099143,1235.8517384429092,989917.2424927703,12000,5943.862783089893
,7,222,989917.2424927703,2887.2586239372467,6063.707388431243,3176.4487644939964,1233.4259921603455,987974.2197204366,12000,5936.292611568757
,8,221,987974.2197204366,2881.591474184607,6071.287022666783,3189.695548482176,1230.9806552149432,986015.5048271695,12000,5928.712977333217
,9,220,986015.5048271695,2875.878555745911,6078.876131445117,3202.9975756992058,1228.5156340643377,984041.0228855346,12000,5921.123868554883
,10,219,984041.0228855346,2870.119650082809,6086.474726609422,3216.3550765266127,1226.03083476126,982050.6986437691,12000,5913.525273390578
,11,218,982050.6986437691,2864.3145377109936,6094.082820017685,3229.768282306691,1223.526162951828,980044.4565244142,12000,5905.917179982315
,12,217,980044.4565244142,2858.4629981962084,6101.7004235427075,3243.237425346499,1221.0015238738347,978022.2206229416,12000,5898.2995764572925
,13,216,978022.2206229416,2852.5648101502466,6109.327549072134,3256.762738921888,1218.4568223550248,975983.9147063748,12000,5890.672450927866
,14,215,975983.9147063748,2846.6197512269264,6116.964208508475,3270.344457281549,1215.8919628113665,973929.4622119046,12000,5883.035791491525
,15,214,973929.4622119046,2840.627598118055,6124.610413769111,3283.9828156510557,1213.306849245317,971858.7862454988,12000,5875.389586230889
,16,213,971858.7862454988,2834.5881265493717,6132.266176786322,3297.67805023695,1210.7013852440775,969771.809580506,12000,5867.733823213678
,17,212,969771.809580506,2828.501111276476,6139.931509507306,3311.43039823083,1208.075473977844,967668.454656253,12000,5860.068490492694
,18,211,967668.454656253,2822.366326080738,6147.60642389419,3325.240097813452,1205.4290181980496,965548.6435766376,12000,5852.39357610581
,19,210,965548.6435766376,2816.183543765193,6155.290931924056,3339.107388158863,1202.7619202355984,963412.2981087143,12000,5844.709068075944
,20,209,963412.2981087143,2809.9525361504166,6162.985045588961,3353.0325094385444,1200.0740819990947,961259.3396812748,12000,5837.014954411039
,21,208,961259.3396812748,2803.673074070385,6170.688776895949,3367.0157028255635,1197.3654049730615,959089.6893834223,12000,5829.311223104051
,22,207,959089.6893834223,2797.344927368315,6178.402137867068,3381.0572104987527,1194.6357902161544,956903.2679631397,12000,5821.597862132932
,23,206,956903.2679631397,2790.967864892491,6186.125140539402,3395.1572756469113,1191.885138359366,954699.9958258522,12000,5813.874859460598
,24,205,954699.9958258522,2784.541654492069,6193.857796965077,3409.316142473008,1189.113349604224,952479.7930329833,12000,5806.142203034923
,25,204,952479.7930329833,2778.066063012868,6201.600119211283,3423.5340561984144,1186.3203237209812,950242.5793005058,12000,5798.399880788717
,26,203,950242.5793005058,2771.540856293142,6209.352119360296,3437.8112630671535,1183.5059600467982,947988.2739974854,12000,5790.647880639704
,27,202,947988.2739974854,2764.9657991593326,6217.113809509497,3452.148010350164,1180.670157483919,945716.7961446191,12000,5782.886190490503
,28,201,945716.7961446191,2758.340655421806,6224.8852017713825,3466.5445463495766,1177.812814497837,943428.0644127674,12000,5775.1147982286175
,29,200,943428.0644127674,2751.6651878705716,6232.666308273596,3481.0011204030243,1174.9338291154554,941121.9971214798,12000,5767.333691726404
,30,199,941121.9971214798,2744.939158270983,6240.4571411589395,3495.5179828879564,1172.03309892324,938798.5122375152,12000,5759.5428588410605
,31,198,938798.5122375152,2738.1623273594196,6248.257712585389,3510.095385225969,1169.1105210653616,936457.5273733545,12000,5751.742287414611
,32,197,936457.5273733545,2731.334454838951,6256.0680347261205,3524.7335798871695,1166.1659922418341,934098.9597857092,12000,5743.9319652738795
,33,196,934098.9597857092,2724.4552993749853,6263.888119769528,3539.432820394543,1163.1994087066432,931722.7263740213,12000,5736.111880230472
,34,195,931722.7263740213,2717.5246185908954,6271.717979919239,3554.1933613283436,1160.2106662658662,929328.7436789589,12000,5728.282020080761
,35,194,929328.7436789589,2710.54216906363,6279.55762739414,3569.01545833051,1157.1996602757854,926916.9278809042,12000,5720.44237260586
,36,193,926916.9278809042,2703.507706319304,6287.407074428383,3583.8993681090788,1154.166285640994,924487.1947984361,12000,5712.592925571617
,37,192,924487.1947984361,2696.4209848287724,6295.266333271419,3598.845348442647,1151.1104368124918,922039.459886806,12000,5704.733666728581
,38,191,922039.459886806,2689.281758003184,6303.135416188008,3613.853658184824,1148.0320077857764,919573.6382364068,12000,5696.864583811992
,39,190,919573.6382364068,2682.08977818952,6311.014335458242,3628.9245572687223,1144.9308920989226,917089.644571237,12000,5688.985664541758
