input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה צמודה', 'amortization': 'קרן שווה', 'duration': 120, 'interest': 0.0525, 'cpi': 0.027999999999999997, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,120,1002333.3333333334,4385.208333333333,8352.777777777777,12737.98611111111,2319.287962962963,996299.8435185186,12000,0
,2,119,996299.8435185186,4358.811815393518,8372.267592592594,12731.079407986112,2305.1643438271603,990232.7402697532,12000,0
,3,118,990232.7402697532,4332.26823868017,8391.802883641976,12724.071122322146,2290.962187234259,984131.8995733454,12000,0
,4,117,984131.8995733454,4305.577060633386,8411.38375703714,12716.960817670526,2276.681203571386,977997.1970198797,12000,0
,5,116,977997.1970198797,4278.7377369619735,8431.010319136894,12709.748056098868,2262.321102301733,971828.5078030445,12000,0
,6,115,971828.5078030445,4251.749721638319,8450.682676548213,12702.432398186531,2247.8815919618246,965625.7067184581,12000,0
,7,114,965625.7067184581,4224.612466893253,8470.400936126825,12695.013403020079,2233.362380158773,959388.66816249,12000,0
,8,113,959388.66816249,4197.325423210893,8490.165204977788,12687.49062818868,2218.7631735675286,953117.2661310798,12000,0
,9,112,953117.2661310798,4169.888039323473,8509.97559045607,12679.863629779542,2204.0836779281217,946811.3742185518,12000,0
,10,111,946811.3742185518,4142.299762206164,8529.832200167133,12672.131962373296,2189.323598042897,940470.8656164276,12000,0
,11,110,940470.8656164276,4114.56003707187,8549.735141967523,12664.295179039393,2174.48263777374,934095.6131122338,12000,0
,12,109,934095.6131122338,4086.6683073660224,8569.684523965449,12656.352831331471,2159.5605000392925,927685.4890883076,12000,0
,13,108,927685.4890883076,4058.6240147613453,8589.680454521367,12648.304469282713,2144.5568868121677,921240.3655205985,12000,0
,14,107,921240.3655205985,4030.426599152618,8609.723042248585,12640.149641401204,2129.4714991161495,914760.113977466,12000,0
,15,106,914760.113977466,4002.0754986514135,8629.812396013831,12631.887894665244,2114.304037023388,908244.6056184755,12000,0
,16,105,908244.6056184755,3973.57014958083,8649.948624937862,12623.518774518692,2099.0541996515876,901693.7111931891,12000,0
,17,104,901693.7111931891,3944.909986470202,8670.13183839605,12615.041824866252,2083.721685161184,895107.3010399543,12000,0
,18,103,895107.3010399543,3916.0944420497995,8690.362146018973,12606.456588068773,2068.3061907525152,888485.2450846878,12000,0
,19,102,888485.2450846878,3887.122947245509,8710.639657693018,12597.762604938527,2052.8074126629876,881827.4128396579,12000,0
,20,101,881827.4128396579,3857.9949311735027,8730.964483560969,12588.959414734472,2037.225046164226,875133.6734022611,12000,0
,21,100,875133.6734022611,3828.709821134892,8751.33673402261,12580.046555157503,2021.558785559223,868403.8954537978,12000,0
,22,99,868403.8954537978,3799.267042610365,8771.75651973533,12571.023562345696,2005.8083241794789,861637.9472582419,12000,0
,23,98,861637.9472582419,3769.666019254808,8792.223951614713,12561.88997086952,1989.97335438213,854835.6966610093,12000,0
,24,97,854835.6966610093,3739.9061728919155,8812.739140835149,12552.645313727064,1974.053567547073,847997.0110877213,12000,0
,25,96,847997.0110877213,3709.9869235087804,8833.30219883043,12543.28912233921,1958.0486540740785,841121.757542965,12000,0
,26,95,841121.757542965,3679.9076892504713,8853.913237294368,12533.820926544839,1941.9583033798979,834209.8026090505,12000,0
,27,94,834209.8026090505,3649.6678864145956,8874.572368181389,12524.240254595985,1925.7822038953611,827261.0124447645,12000,0
,28,93,827261.0124447645,3619.266929445844,8895.279703707145,12514.54663315299,1909.5200430624668,820275.2527841198,12000,0
,29,92,820275.2527841198,3588.704230930524,8916.035356349128,12504.739587279651,1893.171507331465,813252.3889351021,12000,0
,30,91,813252.3889351021,3557.9792015910716,8936.839438847277,12494.818640438349,1876.736282157928,806192.2857784128,12000,0
,31,90,806192.2857784128,3527.091250280556,8957.692064204586,12484.783314485143,1860.214051999819,799094.8077662081,12000,0
,32,89,799094.8077662081,3496.03978397716,8978.593345687732,12474.633129664891,1843.6045003145473,791959.8189208349,12000,0
,33,88,791959.8189208349,3464.8242077786526,8999.54339682767,12464.367604606323,1826.9073095560168,784787.1828335633,12000,0
,34,87,784787.1828335633,3433.4439248968392,9020.542331420267,12453.986256317106,1810.122161171667,777576.7626633147,12000,0
