Parameter,Value
Loan Type,זכאות
Interest Rate (%),5.0
Loan Term (months),312
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,שפיצר
Total Monthly Payments,312
Total Mortgage Interest,943323.93
Extraction Timestamp,20250729_042546
Monthly Income,"12,000.00"
Total Investment Amount,"1,461,588.08"
Total Investment Final Value,"4,578,891.01"
Total Investment Profit After Tax,"1,706,660.80"
Effective Annual Return After Tax,3.96%
Weighted Monthly Payment (30 years),"8,537.12"
Weighted Cost (should be ~0),0.22
Weighted Investment Profit,"1,282,412.14"
Weighted Calculation Converged,Yes
