Parameter,Value
Loan Type,זכאות
Interest Rate (%),6.0
Loan Term (months),264
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,264
Total Mortgage Interest,760032.81
Extraction Timestamp,20250727_182647
Monthly Income,"12,000.00"
Total Investment Amount,"1,180,298.84"
Total Investment Final Value,"2,574,608.70"
Total Investment Profit After Tax,"728,641.04"
Effective Annual Return After Tax,3.14%
Weighted Monthly Payment (30 years),"9,162.86"
Weighted Cost (should be ~0),0.02
Weighted Investment Profit,"987,701.18"
Weighted Calculation Converged,Yes
