Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),2.5
Loan Term (months),156
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,156
Total Mortgage Interest,163541.67
Extraction Timestamp,20250727_193036
Monthly Income,"12,000.00"
Total Investment Amount,"708,458.33"
Total Investment Final Value,"1,117,590.04"
Total Investment Profit After Tax,"199,031.77"
Effective Annual Return After Tax,3.08%
Weighted Monthly Payment (30 years),"6,392.74"
Weighted Cost (should be ~0),0.08
Weighted Investment Profit,"163,541.74"
Weighted Calculation Converged,Yes
