Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.75
Loan Term (months),360
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,360
Total Mortgage Interest,1050640.98
Extraction Timestamp,20250729_022021
Monthly Income,"12,000.00"
Total Investment Amount,"1,279,298.11"
Total Investment Final Value,"6,051,728.57"
Total Investment Profit After Tax,"2,721,839.47"
Effective Annual Return After Tax,4.75%
Weighted Monthly Payment (30 years),"9,731.56"
Weighted Cost (should be ~0),-0.12
Weighted Investment Profit,"2,111,929.65"
Weighted Calculation Converged,Yes
