Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.0
Loan Term (months),288
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,602083.33
Extraction Timestamp,20250727_182714
Monthly Income,"12,000.00"
Total Investment Amount,"1,853,916.67"
Total Investment Final Value,"4,400,471.52"
Total Investment Profit After Tax,"1,350,506.76"
Effective Annual Return After Tax,3.20%
Weighted Monthly Payment (30 years),"7,071.06"
Weighted Cost (should be ~0),0.71
Weighted Investment Profit,"602,084.05"
Weighted Calculation Converged,Yes
