Parameter,Value
Loan Type,פריים
Interest Rate (%),6.0
Loan Term (months),72
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,72
Total Mortgage Interest,182500.00
Extraction Timestamp,20250727_193122
Monthly Income,"12,000.00"
Total Investment Amount,0.00
Total Investment Final Value,0.00
Total Investment Profit After Tax,0.00
Effective Annual Return After Tax,0.00%
Weighted Monthly Payment (30 years),"8,778.49"
Weighted Cost (should be ~0),-0.05
Weighted Investment Profit,"182,499.95"
Weighted Calculation Converged,Yes
