Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.25
Loan Term (months),168
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,350009.42
Extraction Timestamp,20250727_232212
Monthly Income,"12,000.00"
Total Investment Amount,"403,154.96"
Total Investment Final Value,"682,972.26"
Total Investment Profit After Tax,"137,951.47"
Effective Annual Return After Tax,3.32%
Weighted Monthly Payment (30 years),"8,808.05"
Weighted Cost (should be ~0),-0.90
Weighted Investment Profit,"612,844.14"
Weighted Calculation Converged,Yes
