Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.5
Loan Term (months),144
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,318977.72
Extraction Timestamp,20250727_195332
Monthly Income,"12,000.00"
Total Investment Amount,"140,513.59"
Total Investment Final Value,"225,549.30"
Total Investment Profit After Tax,"41,339.62"
Effective Annual Return After Tax,3.48%
Weighted Monthly Payment (30 years),"9,317.19"
Weighted Cost (should be ~0),0.44
Weighted Investment Profit,"587,486.86"
Weighted Calculation Converged,Yes
