input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'זכאות', 'amortization': 'שפיצר', 'duration': 240, 'interest': 0.0275, 'cpi': 0.032, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,240,1002666.6666666666,2297.777777777778,5436.120835065346,3138.343057287568,2665.408862958344,1002193.7324723373
,2,239,1002193.7324723373,2296.6939702491063,5450.617157292185,3153.9231870430785,2664.1061580941177,1001703.9154433884
,3,238,1001703.9154433884,2295.5714728910984,5465.152136378298,3169.580663487199,2662.7582260797362,1001197.093005981
,4,237,1001197.093005981,2294.410004805373,5479.725875408639,3185.315870603266,2661.3647390276737,1000673.1418744053
,5,236,1000673.1418744053,2293.209283462179,5494.338477743061,3201.129194280882,2659.9253671469987,1000131.9380472715
,6,235,1000131.9380472715,2291.969024691664,5508.990047017042,3217.0210223253785,2658.4397787331895,999573.3568036793
,7,234,999573.3568036793,2290.688942675098,5523.68068714242,3232.9917444673215,2656.9076401578986,998997.2726993698
,8,233,998997.2726993698,2289.368749936056,5538.410502308132,3249.041752372076,2655.3286158586607,998403.5595628564
,9,232,998403.5595628564,2288.008157331546,5553.179596980954,3265.1714396494076,2653.702368328552,997792.0904915356
,10,231,997792.0904915356,2286.6068740431024,5567.988075906236,3281.381201863134,2652.028558105793,997162.7378477782
,11,230,997162.7378477782,2285.164607567825,5582.836044108652,3297.6714365408266,2650.3068437632996,996515.3732550008
,12,229,996515.3732550008,2283.6810637093768,5597.723606892941,3314.042543183564,2648.536881898179,995849.8675937154
,13,228,995849.8675937154,2282.155946568931,5612.650869844655,3330.494923275724,2646.7183271211725,995166.0909975609
,14,227,995166.0909975609,2280.588958536077,5627.6179388309065,3347.0289802948296,2644.850832046043,994463.9128493121
,15,226,994463.9128493121,2278.9798002796733,5642.624920001121,3363.6451197214474,2642.934047278908,993743.2017768696
