input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'זכאות', 'amortization': 'שפיצר', 'duration': 216, 'interest': 0.04, 'cpi': 0.022000000000000002, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,216,1001833.3333333334,3339.444444444445,6513.897251294495,3174.45280685005,1830.8746142985528,1000489.7551407819
,2,215,1000489.7551407819,3334.965850469273,6525.839396255202,3190.873545785929,1828.3812829241594,999127.2628779202
,3,214,999127.2628779202,3330.4242095930676,6537.8034351483375,3207.37922555527,1825.853120029336,997745.7367723943
,4,213,997745.7367723943,3325.8191225746477,6549.789408112777,3223.9702855381292,1823.289905225903,996345.056392082
,5,212,996345.056392082,3321.150187973607,6561.797355360984,3240.6471673873766,1820.6914169119402,994925.1006416065
,6,211,994925.1006416065,3316.4170021386885,6573.827317179146,3257.4103150404576,1818.057432265371,993485.7477588314
,7,210,993485.7477588314,3311.6191591961046,6585.879333927308,3274.2601747312033,1815.387727237517,992026.8753113376
,8,209,992026.8753113376,3306.7562510377925,6597.953446039509,3291.1971950017164,1812.682076546616,990548.3601928825
,9,208,990548.3601928825,3301.8278673096083,6610.049694023914,3308.2218267143053,1809.9402536713085,989050.0786198394
,10,207,989050.0786198394,3296.8335953994647,6622.168118462958,3325.334523063493,1807.1620308440893,987531.90612762
,11,206,987531.90612762,3291.7730204254003,6634.308760013473,3342.535739588073,1804.3471790447254,985993.7175670767
,12,205,985993.7175670767,3286.645725223589,6646.471659406832,3359.825934183243,1801.4954679936382,984435.3871008871
,13,204,984435.3871008871,3281.4512903362906,6658.6568574490775,3377.205567112787,1798.6066661452533,982856.7881999196
,14,203,982856.7881999196,3276.1892939997324,6670.864395021069,3394.6751010213366,1795.6805406813137,981257.7936395797
,15,202,981257.7936395797,3270.8593121319323,6683.09431307861,3412.2350009466777,1792.7168575041608,979638.2754961372
,16,201,979638.2754961372,3265.4609183204575,6695.346652652588,3429.8857343321306,1789.7153812299762,977998.1051430351
,17,200,977998.1051430351,3259.993683810117,6707.621454849119,3447.627771039002,1786.675875181993,976337.1532471781
,18,199,976337.1532471781,3254.457177490594,6719.918760849675,3465.461583359081,1783.5981013836683,974655.2897652027
,19,198,974655.2897652027,3248.850965884009,6732.238611911234,3483.3876460272254,1780.4818205518218,972952.3839397272
,20,197,972952.3839397272,3243.1746131324244,6744.581049366405,3501.4064362339805,1777.3267920897376,971228.3042955829
,21,196,971228.3042955829,3237.4276809852768,6756.946114623577,3519.5184336383004,1774.1327740802321,969482.9186360249
,22,195,969482.9186360249,3231.60972878675,6769.333849167056,3537.7241203803055,1770.899523278682,967716.0940389233
,23,194,967716.0940389233,3225.7203134630777,6781.744294557194,3556.023981094116,1767.6267951060204,965927.6968529351
,24,193,965927.6968529351,3219.758989509784,6794.17749243055,3574.418502920766,1764.314343641693,964117.5926936561
,25,192,964117.5926936561,3213.7253089788537,6806.6334845000065,3592.9081755211528,1760.9619216165809,962285.6464397515
,26,191,962285.6464397515,3207.6188214658387,6819.112312554924,3611.493491089085,1757.5692804058813,960431.7222290683
,27,190,960431.7222290683,3201.4390740968943,6831.614018461273,3630.174944364379,1754.1361700219575,958555.6834547259
,28,189,958555.6834547259,3195.185611515753,6844.138644161787,3648.953032646034,1750.6623391071466,956657.392761187
,29,188,956657.392761187,3188.8579758706237,6856.686231676085,3667.8282558054616,1747.1475349265331,954736.7120403082
,30,187,954736.7120403082,3182.4557068010276,6869.256823100825,3686.8011162997977,1743.591503360682,952793.502427369
,31,186,952793.502427369,3175.9783414245635,6881.850460609843,3705.8721191852796,1739.993988898337,950827.6242970821
,32,185,950827.6242970821,3169.425414323607,6894.467186454296,3725.041772130689,1736.3547346290777,948838.9372595805
,33,184,948838.9372595805,3162.796457531935,6907.107042962796,3744.310585430861,1732.6734822359413,946827.3001563856
,34,183,946827.3001563856,3156.091000521286,6919.770072541563,3763.6790720202775,1728.9499719880034,944792.5710563534
,35,182,944792.5710563534,3149.308570187845,6932.456317674557,3783.147747486712,1725.1839427329223,942734.6072515995
,36,181,942734.6072515995,3142.4486908386652,6945.165820923627,3802.7171300849614,1721.3751318894435,940653.265253404
,37,180,940653.265253404,3135.510884178014,6957.898624928654,3822.3877407506398,1717.5232754398646,938548.4007880932
,38,179,938548.4007880932,3128.494669293644,6970.654772407689,3842.160103114045,1713.6281079224618,936419.8687929016
,39,178,936419.8687929016,3121.3995626430055,6983.434306157106,3862.0347435141007,1709.6893624238771,934267.5234118113
,40,177,934267.5234118113,3114.2250780393715,6996.237269051728,3882.012191012356,1705.7067705714649,932091.2179913704
,41,176,932091.2179913704,3106.9707266379014,7009.063704044989,3902.092977407088,1701.6800625255996,929890.8050764889
,42,175,929890.8050764889,3099.6360169216296,7021.913654169071,3922.277637247442,1697.6089669719427,927666.1364062134
,43,174,927666.1364062134,3092.220454687378,7034.787162535049,3942.566707847671,1693.4932111136707,925417.0629094794
,44,173,925417.0629094794,3084.723543031598,7047.68427233303,3962.960729301432,1689.3325206636598,923143.4347008415
,45,172,923143.4347008415,3077.1447823361386,7060.605026832308,3983.4602444961693,1685.1266198366334,920845.1010761821
,46,171,920845.1010761821,3069.4836702539405,7073.549469381502,4004.065799127561,1680.8752313412667,918521.9105083958
,47,170,918521.9105083958,3061.739701694653,7086.517643408702,4024.7779417140487,1676.57807637225,916173.710643054
,48,169,916173.710643054,3053.91236881018,7099.509592421618,4045.5972236114385,1672.2348746023115,913800.3482940448
,49,168,913800.3482940448,3046.0011609801495,7112.525360007725,4066.5241990275754,1667.8453441741985,911401.6694391915
,50,167,911401.6694391915,3038.005564797305,7125.564989834406,4087.5594250371014,1663.4092016926165,908977.519215847
,51,166,908977.519215847,3029.9250640528235,7138.628525649105,4108.703461596281,1658.9261622161266,906527.7419164669
,52,165,906527.7419164669,3021.7591397215565,7151.716011279462,4129.956871557905,1654.3959392489999,904052.180984158
,53,164,904052.180984158,3013.5072699471934,7164.8274906334755,4151.3202206862825,1649.8182447330316,901550.6790082047
,54,163,901550.6790082047,3005.1689300273492,7177.963007699636,4172.794077672287,1645.1927890393097,899023.0777195718
,55,162,899023.0777195718,2996.7435923985727,7191.122606547086,4194.379014148513,1640.5192809599428,896469.2179863832
,56,161,896469.2179863832,2988.230726621278,7204.306331325759,4216.0756047044815,1635.7974276997447,893888.9398093786
