input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'זכאות', 'amortization': 'קרן שווה', 'duration': 204, 'interest': 0.06, 'cpi': 0.03, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,204,1002500,5012.5,4914.21568627451,9926.71568627451,2493.964460784314,1000079.7487745099
,2,203,1000079.7487745099,5000.39874387255,4926.501225490197,9926.899969362747,2487.883118872549,997641.1306678922
,3,202,997641.1306678922,4988.205653339461,4938.817478553921,9927.023131893382,2481.7557829733455,995184.0689723116
,4,201,995184.0689723116,4975.920344861558,4951.164522250307,9927.084867111866,2475.5822611251533,992708.4867111865
,5,200,992708.4867111865,4963.542433555933,4963.542433555933,9927.084867111866,2469.3623606940764,990214.3066383246
,6,199,990214.3066383246,4951.0715331916235,4975.951289639822,9927.022822831445,2463.095888371712,987701.4512370565
,7,198,987701.4512370565,4938.507256185283,4988.3911678639215,9926.898424049205,2456.7826501729814,985169.8427193655
,8,197,985169.8427193655,4925.849213596827,5000.862145783582,9926.71135938041,2450.422451433955,982619.4030250158
,9,196,982619.4030250158,4913.097015125079,5013.36430114804,9926.461316273118,2444.0150968096696,980050.0538206776
,10,195,980050.0538206776,4900.250269103388,5025.8977119009105,9926.147981004298,2437.5603902719417,977461.7164990486
,11,194,977461.7164990486,4887.308582495243,5038.462456180663,9925.771038675906,2431.05813510717,974854.3121779751
,12,193,974854.3121779751,4874.271560889875,5051.058612321114,9925.33017321099,2424.5081339141348,972227.761699568
,13,192,972227.761699568,4861.13880849784,5063.686258851917,9924.825067349757,2417.91018860179,969581.9856293179
,14,191,969581.9856293179,4847.90992814659,5076.345474499047,9924.255402645636,2411.264100387047,966916.9042552059
,15,190,966916.9042552059,4834.58452127603,5089.036338185294,9923.620859461324,2404.5696697925514,964232.4375868131
,16,189,964232.4375868131,4821.1621879340655,5101.758929030757,9922.921116964822,2397.826696644456,961528.5053544268
,17,188,961528.5053544268,4807.642526772134,5114.513326353334,9922.155853125469,2391.034980070184,958805.0270081437
,18,187,958805.0270081437,4794.025135040719,5127.299609669218,9921.324744709937,2384.194318496186,956061.9217169706
,19,186,956061.9217169706,4780.309608584853,5140.11785869339,9920.427467278243,2377.304509645693,953299.108367923
,20,185,953299.108367923,4766.495541839615,5152.968153340124,9919.46369517974,2370.365350536457,950516.5055651192
,21,184,950516.5055651192,4752.582527825596,5165.850573723474,9918.43310154907,2363.3766374784896,947714.0316288742
,22,183,947714.0316288742,4738.570158144371,5178.765200157783,9917.335358302153,2356.3381660717914,944891.6045947883
,23,182,944891.6045947883,4724.458022973941,5191.712113158177,9916.170136132117,2349.2497312040755,942049.1422128342
,24,181,942049.1422128342,4710.245711064171,5204.691393441073,9914.937104505243,2342.111127048483,939186.5619464417
,25,180,939186.5619464417,4695.932809732209,5217.7031219246755,9913.635931656885,2334.9221470612924,936303.7809715783
,26,179,936303.7809715783,4681.518904857891,5230.747379729488,9912.266284587378,2327.682583979622,933400.7161758284
,27,178,933400.7161758284,4667.003580879142,5243.824248178811,9910.827829057953,2320.3922298191237,930477.2841574686
,28,177,930477.2841574686,4652.386420787343,5256.933808799257,9909.3202295866,2313.0508758716733,927533.401224541
,29,176,927533.401224541,4637.667006122705,5270.076143321256,9907.74314944396,2305.6583127030494,924568.9833939228
,30,175,924568.9833939228,4622.844916969614,5283.251333679559,9906.096250649174,2298.214330150608,921583.9463903939
,31,174,921583.9463903939,4607.91973195197,5296.459462013758,9904.379193965728,2290.7187173209504,918578.205645701
,32,173,918578.205645701,4592.891028228505,5309.700610668792,9902.591638897298,2283.1712625875807,915551.6762976198
,33,172,915551.6762976198,4577.758381488099,5322.974862195464,9900.733243683564,2275.571753588561,912504.2731890129
,34,171,912504.2731890129,4562.521365945065,5336.282299350953,9898.803665296018,2267.919977224155,909435.9108668861
,35,170,909435.9108668861,4547.179554334431,5349.62300509933,9896.80255943376,2260.215719654467,906346.5035814412
,36,169,906346.5035814412,4531.732517907206,5362.9970626120785,9894.729580519284,2252.458766297073,903235.9652851262
,37,168,903235.9652851262,4516.179826425631,5376.404555268608,9892.58438169424,2244.6489018246443,900104.2096316823
,38,167,900104.2096316823,4500.521048158412,5389.84556665678,9890.366614815191,2236.7859101625636,896951.1499751881
,39,166,896951.1499751881,4484.755749875941,5403.3201805734225,9888.075930449362,2228.8695744865367,893776.6993691012
,40,165,893776.6993691012,4468.883496845506,5416.828481024856,9885.711977870362,2220.899677220191,890580.7705652965
,41,164,890580.7705652965,4452.903852826483,5430.370552227418,9883.2744050539,2212.876000032673,887363.2760131018
,42,163,887363.2760131018,4436.816380065509,5443.946478607986,9880.762858673495,2204.798323836235,884124.12785833
,43,162,884124.12785833,4420.62063929165,5457.556344804507,9878.176984096157,2196.666428783814,880863.2379423094
,44,161,880863.2379423094,4404.316189711547,5471.200235666518,9875.516425378064,2188.4800942666075,877580.5178009095
,45,160,877580.5178009095,4387.902589004548,5484.878236255684,9872.780825260232,2180.2390989116343,874275.8786635654
,46,159,874275.8786635654,4371.379393317827,5498.590431846324,9869.96982516415,2171.9432205792978,870949.2314522984
,47,158,870949.2314522984,4354.746157261492,5512.336907925939,9867.083065187431,2163.592236360931,867600.4867807333
,48,157,867600.4867807333,4338.002433903666,5526.117750195754,9864.12018409942,2155.1859225763437,864229.5549531139
,49,156,864229.5549531139,4321.14777476557,5539.933044571243,9861.080819336814,2146.724054771357,860836.3459633141
,50,155,860836.3459633141,4304.181729816571,5553.782877182672,9857.964606999241,2138.2064077153286,857420.7694938467
,51,154,857420.7694938467,4287.103847469233,5567.667334375627,9854.77118184486,2129.6327553986775,853982.7349148697
,52,153,853982.7349148697,4269.913674574348,5581.586502711566,9851.500177285914,2121.0028710303955,850522.1512831885
,53,152,850522.1512831885,4252.610756415943,5595.5404689683455,9848.151225384288,2112.3165270355503,847038.9273412557
,54,151,847038.9273412557,4235.194636706278,5609.529320140767,9844.723956847045,2103.5734950527876,843532.9715161677
,55,150,843532.9715161677,4217.6648575808385,5623.553143441119,9841.218001021956,2094.7735459318164,840004.1919186584
,56,149,840004.1919186584,4200.020959593292,5637.612026299721,9837.632985893013,2085.916449730897,836452.4963420896
,57,148,836452.4963420896,4182.262481710448,5651.70605636547,9833.968538075918,2077.0019757143104,832877.7922614384
,58,147,832877.7922614384,4164.388961307192,5665.835321506384,9830.224282813577,2068.0298923498303,829279.9868322819
,59,146,829279.9868322819,4146.39993416141,5679.99990981015,9826.39984397156,2058.9999673061793,825658.9868897779
,60,145,825658.9868897779,4128.29493444889,5694.199909584676,9822.494844033565,2049.911967450483,822014.6989476437
,61,144,822014.6989476437,4110.073494738219,5708.435409358637,9818.508904096856,2040.765658845713,818347.0291971308
,62,143,818347.0291971308,4091.735145985654,5722.706497882034,9814.441643867687,2031.560806748122,814655.8835059969
,63,142,814655.8835059969,4073.2794175299846,5737.013264126739,9810.292681656723,2022.2971756046754,810941.1674174748
,64,141,810941.1674174748,4054.705837087374,5751.355797287055,9806.06163437443,2012.9745290504693,807202.7861492382
,65,140,807202.7861492382,4036.0139307461914,5765.734186780273,9801.748117526466,2003.592629906145,803440.6445923641
,66,139,803440.6445923641,4017.2032229618203,5780.148522247224,9797.351745209044,1994.1512401752923,799654.6473102921
,67,138,799654.6473102921,3998.2732365514607,5794.598893552841,9792.872130104302,1984.6501210418485,795844.6985377811
,68,137,795844.6985377811,3979.223492688906,5809.085390786724,9788.30888347563,1975.089032867486,792010.7021798618
,69,136,792010.7021798618,3960.0535108993095,5823.60810426369,9783.661615162999,1965.4677351889954,788152.5618107872
,70,135,788152.5618107872,3940.762809053936,5838.16712452435,9778.929933578285,1955.7859867156571,784270.1806729785
,71,134,784270.1806729785,3921.3509033648925,5852.76254233566,9774.113445700554,1946.0435453266073,780363.4616759694
,72,133,780363.4616759694,3901.817308379847,5867.3944486915,9769.211757071347,1936.2401680681949,776432.3073953461
,73,132,776432.3073953461,3882.1615369767305,5882.062934813228,9764.22447178996,1926.3756111513324,772476.6200716842
,74,131,772476.6200716842,3862.3831003584214,5896.7680921502615,9759.151192508683,1916.449629948835,768496.3016094828
,75,130,768496.3016094828,3842.4815080474145,5911.510012380637,9753.991520428051,1906.4619789927556,764491.253576095
,76,129,764491.253576095,3822.456267880475,5926.288787411589,9748.745055292064,1896.4124119717085,760461.377200655
,77,128,760461.377200655,3802.3068860032754,5941.104509380118,9743.411395383393,1886.3006817281876,756406.5733730032
,78,127,756406.5733730032,3782.032866865016,5955.957270653568,9737.990137518584,1876.126540255874,752326.7426426054
,79,126,752326.7426426054,3761.6337132130275,5970.847163830202,9732.480877043228,1865.8897386969381,748221.7852174722
,80,125,748221.7852174722,3741.1089260873614,5985.7742817397775,9726.883207827139,1855.5900273393313,744091.6009630718
,81,124,744091.6009630718,3720.458004815359,6000.738717444127,9721.196722259487,1845.2271556140693,739936.0894012417
,82,123,739936.0894012417,3699.680447006209,6015.740564237738,9715.421011243947,1834.8008720925102,735755.1497090965
,83,122,735755.1497090965,3678.7757485454827,6030.7799156483325,9709.555664193815,1824.3109244836207,731548.6807179318
,84,121,731548.6807179318,3657.743403589659,6045.856865437453,9703.600269027113,1813.757059631236,727316.5809121256
,85,120,727316.5809121256,3636.5829045606283,6060.971507601047,9697.554412161675,1803.1390235113115,723058.7484280359
,86,119,723058.7484280359,3615.2937421401793,6076.12393637005,9691.417678510228,1792.4565612291647,718775.081052895
,87,118,718775.081052895,3593.8754052644754,6091.314246210975,9685.189651475452,1781.7094170167102,714465.4762237008
,88,117,714465.4762237008,3572.327381118504,6106.542531826502,9678.869912945007,1770.8973342296856,710129.8310261039
,89,116,710129.8310261039,3550.64915513052,6121.808888156068,9672.458043286588,1760.0200553448697,705768.0421932928
,90,115,705768.0421932928,3528.840210966464,6137.113410376459,9665.953621342924,1749.0773219572907,701380.0061048736
