input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'קרן שווה', 'duration': 204, 'interest': 0.02, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,204,1000000,1666.6666666666667,4901.9607843137255,6568.6274509803925,0,995098.0392156863
,2,203,995098.0392156863,1658.496732026144,4901.9607843137255,6560.4575163398695,0,990196.0784313725
,3,202,990196.0784313725,1650.326797385621,4901.9607843137255,6552.287581699346,0,985294.1176470588
,4,201,985294.1176470588,1642.1568627450981,4901.9607843137255,6544.117647058823,0,980392.1568627451
,5,200,980392.1568627451,1633.986928104575,4901.9607843137255,6535.9477124183,0,975490.1960784313
,6,199,975490.1960784313,1625.8169934640523,4901.9607843137255,6527.777777777777,0,970588.2352941176
,7,198,970588.2352941176,1617.6470588235295,4901.9607843137255,6519.607843137255,0,965686.2745098039
,8,197,965686.2745098039,1609.4771241830065,4901.9607843137255,6511.437908496732,0,960784.3137254901
,9,196,960784.3137254901,1601.3071895424837,4901.9607843137255,6503.267973856209,0,955882.3529411764
,10,195,955882.3529411764,1593.1372549019607,4901.960784313725,6495.098039215685,0,950980.3921568627
,11,194,950980.3921568627,1584.9673202614379,4901.960784313725,6486.928104575162,0,946078.4313725489
,12,193,946078.4313725489,1576.797385620915,4901.960784313725,6478.758169934639,0,941176.4705882352
,13,192,941176.4705882352,1568.627450980392,4901.960784313725,6470.588235294117,0,936274.5098039214
,14,191,936274.5098039214,1560.4575163398692,4901.960784313725,6462.418300653594,0,931372.5490196077
,15,190,931372.5490196077,1552.2875816993462,4901.960784313725,6454.248366013071,0,926470.588235294
,16,189,926470.588235294,1544.1176470588234,4901.960784313725,6446.078431372548,0,921568.6274509802
,17,188,921568.6274509802,1535.9477124183004,4901.960784313725,6437.908496732025,0,916666.6666666665
,18,187,916666.6666666665,1527.7777777777776,4901.960784313725,6429.738562091502,0,911764.7058823528
,19,186,911764.7058823528,1519.6078431372548,4901.960784313725,6421.568627450979,0,906862.745098039
,20,185,906862.745098039,1511.4379084967318,4901.960784313725,6413.398692810457,0,901960.7843137253
,21,184,901960.7843137253,1503.267973856209,4901.960784313725,6405.228758169934,0,897058.8235294116
,22,183,897058.8235294116,1495.098039215686,4901.960784313725,6397.058823529411,0,892156.8627450978
,23,182,892156.8627450978,1486.9281045751632,4901.960784313725,6388.888888888888,0,887254.9019607841
,24,181,887254.9019607841,1478.7581699346404,4901.960784313725,6380.718954248365,0,882352.9411764704
