input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'משתנה לא צמודה כל 5', 'amortization': 'שפיצר', 'duration': 360, 'interest': 0.02, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,360,1000000,1666.6666666666667,3696.194726888143,2029.5280602214764,0,997970.4719397785
,2,359,997970.4719397785,1663.284119899631,3696.1947268881436,2032.9106069885127,0,995937.5613327901
,3,358,995937.5613327901,1659.8959355546501,3696.194726888144,2036.298791333494,0,993901.2625414566
,4,357,993901.2625414566,1656.5021042357612,3696.1947268881445,2039.6926226523833,0,991861.5699188042
,5,356,991861.5699188042,1653.1026165313406,3696.194726888145,2043.0921103568044,0,989818.4778084474
,6,355,989818.4778084474,1649.6974630140792,3696.194726888145,2046.4972638740658,0,987771.9805445734
,7,354,987771.9805445734,1646.2866342409557,3696.1947268881454,2049.9080926471897,0,985722.0724519262
,8,353,985722.0724519262,1642.8701207532104,3696.1947268881454,2053.324606134935,0,983668.7478457913
,9,352,983668.7478457913,1639.4479130763189,3696.194726888146,2056.746813811827,0,981612.0010319795
,10,351,981612.0010319795,1636.0200017199659,3696.1947268881454,2060.1747251681795,0,979551.8263068113
,11,350,979551.8263068113,1632.586377178019,3696.1947268881463,2063.608349710127,0,977488.2179571012
,12,349,977488.2179571012,1629.147029928502,3696.194726888146,2067.047696959644,0,975421.1702601415
,13,348,975421.1702601415,1625.7019504335692,3696.1947268881463,2070.4927764545773,0,973350.677483687
,14,347,973350.677483687,1622.2511291394783,3696.1947268881468,2073.9435977486683,0,971276.7338859383
,15,346,971276.7338859383,1618.794556476564,3696.1947268881468,2077.4001704115826,0,969199.3337155267
,16,345,969199.3337155267,1615.3322228592112,3696.194726888147,2080.862504028936,0,967118.4712114978
,17,344,967118.4712114978,1611.8641186858297,3696.1947268881477,2084.330608202318,0,965034.1406032955
,18,343,965034.1406032955,1608.390234338826,3696.194726888148,2087.8044925493223,0,962946.3361107463
,19,342,962946.3361107463,1604.9105601845772,3696.194726888148,2091.284166703571,0,960855.0519440427
,20,341,960855.0519440427,1601.4250865734045,3696.1947268881486,2094.769640314744,0,958760.2823037279
,21,340,958760.2823037279,1597.9338038395467,3696.194726888149,2098.2609230486023,0,956662.0213806793
,22,339,956662.0213806793,1594.4367023011323,3696.194726888148,2101.758024587016,0,954560.2633560923
,23,338,954560.2633560923,1590.9337722601538,3696.194726888148,2105.2609546279946,0,952455.0024014643
,24,337,952455.0024014643,1587.4250040024406,3696.1947268881495,2108.7697228857087,0,950346.2326785786
,25,336,950346.2326785786,1583.910387797631,3696.194726888149,2112.284339090518,0,948233.9483394881
