input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'קרן שווה', 'duration': 108, 'interest': 0.0375, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,108,1000000,3124.9999999999995,9259.25925925926,12384.25925925926,0,990740.7407407408
,2,107,990740.7407407408,3096.064814814815,9259.25925925926,12355.324074074073,0,981481.4814814816
,3,106,981481.4814814816,3067.1296296296296,9259.259259259261,12326.38888888889,0,972222.2222222224
,4,105,972222.2222222224,3038.194444444445,9259.259259259261,12297.453703703706,0,962962.9629629632
,5,104,962962.9629629632,3009.2592592592596,9259.259259259261,12268.51851851852,0,953703.7037037039
,6,103,953703.7037037039,2980.3240740740744,9259.259259259261,12239.583333333336,0,944444.4444444447
,7,102,944444.4444444447,2951.3888888888896,9259.259259259263,12210.648148148153,0,935185.1851851855
,8,101,935185.1851851855,2922.4537037037044,9259.259259259263,12181.712962962967,0,925925.9259259263
,9,100,925925.9259259263,2893.5185185185196,9259.259259259263,12152.777777777783,0,916666.6666666671
,10,99,916666.6666666671,2864.5833333333344,9259.259259259263,12123.842592592597,0,907407.4074074079
,11,98,907407.4074074079,2835.648148148149,9259.259259259265,12094.907407407414,0,898148.1481481487
,12,97,898148.1481481487,2806.7129629629644,9259.259259259265,12065.97222222223,0,888888.8888888895
,13,96,888888.8888888895,2777.777777777779,9259.259259259265,12037.037037037044,0,879629.6296296302
,14,95,879629.6296296302,2748.8425925925944,9259.259259259266,12008.101851851861,0,870370.370370371
,15,94,870370.370370371,2719.907407407409,9259.259259259266,11979.166666666675,0,861111.1111111118
,16,93,861111.1111111118,2690.9722222222244,9259.259259259266,11950.23148148149,0,851851.8518518526
,17,92,851851.8518518526,2662.037037037039,9259.259259259268,11921.296296296307,0,842592.5925925934
,18,91,842592.5925925934,2633.101851851854,9259.259259259268,11892.361111111122,0,833333.3333333342
,19,90,833333.3333333342,2604.1666666666692,9259.259259259268,11863.425925925938,0,824074.074074075
,20,89,824074.074074075,2575.231481481484,9259.25925925927,11834.490740740754,0,814814.8148148158
,21,88,814814.8148148158,2546.2962962962993,9259.25925925927,11805.55555555557,0,805555.5555555564
,22,87,805555.5555555564,2517.3611111111136,9259.25925925927,11776.620370370383,0,796296.2962962971
,23,86,796296.2962962971,2488.4259259259284,9259.259259259268,11747.685185185197,0,787037.0370370379
,24,85,787037.0370370379,2459.490740740743,9259.25925925927,11718.750000000013,0,777777.7777777787
,25,84,777777.7777777787,2430.5555555555584,9259.25925925927,11689.814814814828,0,768518.5185185194
,26,83,768518.5185185194,2401.6203703703727,9259.25925925927,11660.879629629642,0,759259.25925926
,27,82,759259.25925926,2372.6851851851875,9259.259259259268,11631.944444444456,0,750000.0000000008
,28,81,750000.0000000008,2343.7500000000023,9259.25925925927,11603.009259259272,0,740740.7407407416
,29,80,740740.7407407416,2314.8148148148175,9259.25925925927,11574.074074074088,0,731481.4814814823
,30,79,731481.4814814823,2285.879629629632,9259.25925925927,11545.138888888901,0,722222.222222223
,31,78,722222.222222223,2256.9444444444466,9259.259259259268,11516.203703703715,0,712962.9629629637
,32,77,712962.9629629637,2228.0092592592614,9259.25925925927,11487.268518518531,0,703703.7037037045
,33,76,703703.7037037045,2199.0740740740766,9259.25925925927,11458.333333333347,0,694444.4444444452
,34,75,694444.4444444452,2170.138888888891,9259.25925925927,11429.39814814816,0,685185.1851851859
,35,74,685185.1851851859,2141.2037037037057,9259.259259259268,11400.462962962974,0,675925.9259259267
,36,73,675925.9259259267,2112.2685185185205,9259.25925925927,11371.52777777779,0,666666.6666666674
,37,72,666666.6666666674,2083.3333333333358,9259.25925925927,11342.592592592606,0,657407.4074074081
,38,71,657407.4074074081,2054.39814814815,9259.25925925927,11313.65740740742,0,648148.1481481488
,39,70,648148.1481481488,2025.4629629629649,9259.259259259268,11284.722222222234,0,638888.8888888896
,40,69,638888.8888888896,1996.5277777777796,9259.25925925927,11255.78703703705,0,629629.6296296304
,41,68,629629.6296296304,1967.5925925925947,9259.25925925927,11226.851851851865,0,620370.370370371
,42,67,620370.370370371,1938.6574074074092,9259.25925925927,11197.916666666679,0,611111.1111111117
,43,66,611111.1111111117,1909.722222222224,9259.259259259268,11168.981481481493,0,601851.8518518525
,44,65,601851.8518518525,1880.787037037039,9259.25925925927,11140.046296296308,0,592592.5925925933
,45,64,592592.5925925933,1851.8518518518538,9259.25925925927,11111.111111111124,0,583333.333333334
,46,63,583333.333333334,1822.9166666666686,9259.259259259268,11082.175925925936,0,574074.0740740747
,47,62,574074.0740740747,1793.9814814814833,9259.25925925927,11053.240740740754,0,564814.8148148155
,48,61,564814.8148148155,1765.0462962962984,9259.259259259272,11024.30555555557,0,555555.5555555562
,49,60,555555.5555555562,1736.111111111113,9259.25925925927,10995.370370370383,0,546296.2962962969
,50,59,546296.2962962969,1707.1759259259277,9259.259259259268,10966.435185185195,0,537037.0370370377
,51,58,537037.0370370377,1678.2407407407425,9259.25925925927,10937.500000000013,0,527777.7777777785
,52,57,527777.7777777785,1649.3055555555575,9259.259259259272,10908.564814814828,0,518518.5185185192
,53,56,518518.5185185192,1620.3703703703723,9259.259259259272,10879.629629629644,0,509259.2592592599
,54,55,509259.2592592599,1591.435185185187,9259.259259259272,10850.69444444446,0,500000.00000000064
,55,54,500000.00000000064,1562.5000000000018,9259.259259259272,10821.759259259274,0,490740.74074074137
,56,53,490740.74074074137,1533.5648148148166,9259.259259259272,10792.824074074088,0,481481.4814814821
,57,52,481481.4814814821,1504.6296296296314,9259.259259259272,10763.888888888903,0,472222.22222222283
,58,51,472222.22222222283,1475.6944444444462,9259.259259259272,10734.953703703719,0,462962.96296296356
,59,50,462962.96296296356,1446.759259259261,9259.259259259272,10706.018518518533,0,453703.7037037043
,60,49,453703.7037037043,1417.8240740740757,9259.259259259272,10677.083333333347,0,444444.444444445
,61,48,444444.444444445,1388.8888888888905,9259.259259259272,10648.148148148162,0,435185.18518518575
,62,47,435185.18518518575,1359.9537037037053,9259.259259259272,10619.212962962978,0,425925.9259259265
,63,46,425925.9259259265,1331.01851851852,9259.259259259272,10590.277777777792,0,416666.6666666672
,64,45,416666.6666666672,1302.0833333333348,9259.259259259272,10561.342592592606,0,407407.40740740794
,65,44,407407.40740740794,1273.1481481481496,9259.259259259272,10532.407407407421,0,398148.14814814867
,66,43,398148.14814814867,1244.2129629629644,9259.259259259272,10503.472222222237,0,388888.8888888894
,67,42,388888.8888888894,1215.2777777777792,9259.259259259272,10474.537037037051,0,379629.62962963013
,68,41,379629.62962963013,1186.342592592594,9259.259259259272,10445.601851851865,0,370370.37037037086
,69,40,370370.37037037086,1157.4074074074088,9259.259259259272,10416.66666666668,0,361111.1111111116
,70,39,361111.1111111116,1128.4722222222235,9259.259259259272,10387.731481481496,0,351851.8518518523
,71,38,351851.8518518523,1099.5370370370383,9259.259259259272,10358.79629629631,0,342592.59259259305
,72,37,342592.59259259305,1070.601851851853,9259.259259259272,10329.861111111124,0,333333.3333333338
,73,36,333333.3333333338,1041.6666666666679,9259.259259259272,10300.92592592594,0,324074.0740740745
,74,35,324074.0740740745,1012.7314814814828,9259.259259259272,10271.990740740755,0,314814.81481481524
,75,34,314814.81481481524,983.7962962962976,9259.259259259272,10243.05555555557,0,305555.55555555597
,76,33,305555.55555555597,954.8611111111123,9259.259259259272,10214.120370370385,0,296296.2962962967
,77,32,296296.2962962967,925.9259259259271,9259.259259259272,10185.185185185199,0,287037.03703703743
,78,31,287037.03703703743,896.9907407407419,9259.259259259272,10156.250000000015,0,277777.77777777816
,79,30,277777.77777777816,868.0555555555567,9259.259259259272,10127.314814814828,0,268518.5185185189
,80,29,268518.5185185189,839.1203703703715,9259.259259259272,10098.379629629644,0,259259.25925925962
,81,28,259259.25925925962,810.1851851851862,9259.259259259272,10069.444444444458,0,250000.00000000035
,82,27,250000.00000000035,781.250000000001,9259.259259259272,10040.509259259274,0,240740.74074074108
,83,26,240740.74074074108,752.3148148148158,9259.259259259272,10011.574074074088,0,231481.4814814818
,84,25,231481.4814814818,723.3796296296306,9259.259259259272,9982.638888888903,0,222222.22222222254
,85,24,222222.22222222254,694.4444444444454,9259.259259259272,9953.703703703717,0,212962.96296296327
,86,23,212962.96296296327,665.5092592592601,9259.259259259272,9924.768518518533,0,203703.703703704
,87,22,203703.703703704,636.5740740740749,9259.259259259272,9895.833333333347,0,194444.44444444473
,88,21,194444.44444444473,607.6388888888897,9259.259259259274,9866.898148148164,0,185185.18518518546
,89,20,185185.18518518546,578.7037037037045,9259.259259259274,9837.962962962978,0,175925.9259259262
,90,19,175925.9259259262,549.7685185185193,9259.259259259274,9809.027777777794,0,166666.66666666692
,91,18,166666.66666666692,520.833333333334,9259.259259259274,9780.092592592608,0,157407.40740740765
,92,17,157407.40740740765,491.89814814814883,9259.259259259274,9751.157407407423,0,148148.14814814838
,93,16,148148.14814814838,462.9629629629637,9259.259259259274,9722.222222222237,0,138888.8888888891
,94,15,138888.8888888891,434.02777777777845,9259.259259259274,9693.287037037053,0,129629.62962962984
,95,14,129629.62962962984,405.09259259259323,9259.259259259274,9664.351851851867,0,120370.37037037057
,96,13,120370.37037037057,376.157407407408,9259.259259259274,9635.416666666682,0,111111.1111111113
,97,12,111111.1111111113,347.2222222222228,9259.259259259275,9606.481481481498,0,101851.85185185203
,98,11,101851.85185185203,318.2870370370376,9259.259259259275,9577.546296296314,0,92592.59259259276
,99,10,92592.59259259276,289.35185185185236,9259.259259259275,9548.611111111128,0,83333.33333333349
,100,9,83333.33333333349,260.41666666666714,9259.259259259277,9519.675925925945,0,74074.07407407422
,101,8,74074.07407407422,231.48148148148192,9259.259259259277,9490.740740740759,0,64814.81481481494
,102,7,64814.81481481494,202.54629629629667,9259.259259259277,9461.805555555575,0,55555.555555555664
,103,6,55555.555555555664,173.61111111111143,9259.259259259277,9432.870370370389,0,46296.29629629639
,104,5,46296.29629629639,144.6759259259262,9259.259259259277,9403.935185185204,0,37037.03703703711
,105,4,37037.03703703711,115.74074074074096,9259.259259259277,9375.000000000018,0,27777.777777777832
,106,3,27777.777777777832,86.80555555555571,9259.259259259277,9346.064814814834,0,18518.518518518555
,107,2,18518.518518518555,57.87037037037048,9259.259259259277,9317.129629629648,0,9259.259259259277
,108,1,9259.259259259277,28.93518518518524,9259.259259259277,9288.194444444463,0,0
