input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'משתנה לא צמודה כל 5', 'amortization': 'שפיצר', 'duration': 240, 'interest': 0.0375, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,240,1000000,3124.9999999999995,5928.883149602166,2803.883149602166,0,997196.1168503978
,2,239,997196.1168503978,3116.2378651574927,5928.883149602167,2812.645284444674,0,994383.4715659531
,3,238,994383.4715659531,3107.4483486436034,5928.8831496021685,2821.434800958565,0,991562.0367649945
,4,237,991562.0367649945,3098.6313648906075,5928.883149602168,2830.25178471156,0,988731.7849802829
,5,236,988731.7849802829,3089.786828063384,5928.883149602168,2839.0963215387837,0,985892.6886587441
,6,235,985892.6886587441,3080.914652058575,5928.883149602168,2847.9684975435925,0,983044.7201612005
,7,234,983044.7201612005,3072.014750503751,5928.883149602168,2856.8683990984164,0,980187.8517621021
,8,233,980187.8517621021,3063.087036756569,5928.8831496021685,2865.7961128455995,0,977322.0556492565
,9,232,977322.0556492565,3054.131423903926,5928.883149602168,2874.7517256982414,0,974447.3039235582
,10,231,974447.3039235582,3045.147824761119,5928.8831496021685,2883.7353248410495,0,971563.5685987172
,11,230,971563.5685987172,3036.136151870991,5928.883149602169,2892.7469977311785,0,968670.8216009861
,12,229,968670.8216009861,3027.096317503081,5928.883149602169,2901.7868320990883,0,965769.034768887
,13,228,965769.034768887,3018.0282336527716,5928.883149602169,2910.8549159493978,0,962858.1798529376
,14,227,962858.1798529376,3008.9318120404296,5928.883149602169,2919.95133756174,0,959938.2285153759
,15,226,959938.2285153759,2999.8069641105494,5928.88314960217,2929.076185491621,0,957009.1523298842
,16,225,957009.1523298842,2990.653601030888,5928.88314960217,2938.2295485712825,0,954070.922781313
,17,224,954070.922781313,2981.4716336916026,5928.88314960217,2947.4115159105677,0,951123.5112654024
,18,223,951123.5112654024,2972.2609727043823,5928.883149602171,2956.622176897789,0,948166.8890885046
,19,222,948166.8890885046,2963.0215284015767,5928.883149602171,2965.8616212005945,0,945201.027467304
,20,221,945201.027467304,2953.753210835325,5928.883149602172,2975.1299387668473,0,942225.8975285372
,21,220,942225.8975285372,2944.4559297766787,5928.883149602173,2984.4272198254944,0,939241.4703087118
,22,219,939241.4703087118,2935.129594714724,5928.883149602173,2993.753554887449,0,936247.7167538243
,23,218,936247.7167538243,2925.7741148557006,5928.883149602173,3003.1090347464724,0,933244.6077190778
,24,217,933244.6077190778,2916.389399122118,5928.883149602173,3012.493750480055,0,930232.1139685978
,25,216,930232.1139685978,2906.975356151868,5928.883149602173,3021.9077934503052,0,927210.2061751476
,26,215,927210.2061751476,2897.531894297336,5928.883149602174,3031.351255304838,0,924178.8549198427
,27,214,924178.8549198427,2888.058921624508,5928.883149602174,3040.824227977666,0,921138.030691865
,28,213,921138.030691865,2878.556345912078,5928.883149602176,3050.3268036900977,0,918087.703888175
,29,212,918087.703888175,2869.0240746505465,5928.883149602176,3059.8590749516293,0,915027.8448132233
,30,211,915027.8448132233,2859.4620150413225,5928.883149602176,3069.4211345608533,0,911958.4236786625
,31,210,911958.4236786625,2849.87007399582,5928.883149602177,3079.013075606357,0,908879.4106030562
,32,209,908879.4106030562,2840.2481581345505,5928.883149602178,3088.634991467627,0,905790.7756115886
,33,208,905790.7756115886,2830.596173786214,5928.883149602176,3098.286975815962,0,902692.4886357726
,34,207,902692.4886357726,2820.914026986789,5928.883149602177,3107.9691226153877,0,899584.5195131572
,35,206,899584.5195131572,2811.201623478616,5928.883149602178,3117.6815261235615,0,896466.8379870337
,36,205,896466.8379870337,2801.4588687094797,5928.883149602177,3127.424280892697,0,893339.413706141
,37,204,893339.413706141,2791.6856678316904,5928.8831496021785,3137.197481770488,0,890202.2162243704
,38,203,890202.2162243704,2781.8819257011573,5928.883149602179,3147.001223901022,0,887055.2150004694
,39,202,887055.2150004694,2772.0475468764666,5928.883149602178,3156.835602725711,0,883898.3793977436
,40,201,883898.3793977436,2762.1824356179486,5928.8831496021785,3166.70071398423,0,880731.6786837594
,41,200,880731.6786837594,2752.286495886748,5928.8831496021785,3176.5966537154304,0,877555.0820300439
,42,199,877555.0820300439,2742.359631343887,5928.8831496021785,3186.5235182582915,0,874368.5585117857
,43,198,874368.5585117857,2732.40174534933,5928.883149602179,3196.481404252849,0,871172.0771075329
,44,197,871172.0771075329,2722.41274096104,5928.883149602179,3206.4704086411393,0,867965.6066988917
,45,196,867965.6066988917,2712.3925209340364,5928.883149602179,3216.490628668143,0,864749.1160702236
,46,195,864749.1160702236,2702.3409877194485,5928.883149602181,3226.5421618827327,0,861522.5739083409
,47,194,861522.5739083409,2692.258043463565,5928.88314960218,3236.625106138615,0,858285.9488022022
,48,193,858285.9488022022,2682.143590006882,5928.883149602181,3246.7395595952994,0,855039.2092426069
,49,192,855039.2092426069,2671.9975288831465,5928.883149602181,3256.8856207190347,0,851782.3236218878
,50,191,851782.3236218878,2661.8197613183993,5928.883149602181,3267.063388283782,0,848515.260233604
,51,190,848515.260233604,2651.610188230012,5928.883149602182,3277.27296137217,0,845237.9872722318
,52,189,845237.9872722318,2641.3687102257245,5928.883149602181,3287.5144393764567,0,841950.4728328554
,53,188,841950.4728328554,2631.095227602673,5928.883149602181,3297.7879219995084,0,838652.684910856
,54,187,838652.684910856,2620.7896403464247,5928.883149602182,3308.0935092557575,0,835344.5914016002
,55,186,835344.5914016002,2610.45184813,5928.883149602183,3318.431301472183,0,832026.160100128
,56,185,832026.160100128,2600.0817503129,5928.883149602184,3328.801399289284,0,828697.3587008388
,57,184,828697.3587008388,2589.679245940121,5928.883149602184,3339.203903662063,0,825358.1547971767
,58,183,825358.1547971767,2579.244233741177,5928.883149602185,3349.6389158610077,0,822008.5158813157
,59,182,822008.5158813157,2568.7766121291115,5928.883149602186,3360.1065374730742,0,818648.4093438426
,60,181,818648.4093438426,2558.2762791995083,5928.883149602186,3370.6068704026775,0,815277.80247344
,61,180,815277.80247344,2547.7431327295,5928.883149602185,3381.140016872685,0,811896.6624565673
,62,179,811896.6624565673,2537.1770701767728,5928.883149602187,3391.706079425414,0,808504.9563771419
,63,178,808504.9563771419,2526.577988678568,5928.883149602186,3402.3051609236177,0,805102.6512162182
,64,177,805102.6512162182,2515.945785050682,5928.883149602188,3412.9373645515057,0,801689.7138516668
,65,176,801689.7138516668,2505.2803557864586,5928.883149602188,3423.602793815729,0,798266.111057851
,66,175,798266.111057851,2494.581597055784,5928.883149602188,3434.3015525464034,0,794831.8095053046
,67,174,794831.8095053046,2483.8494047040767,5928.883149602188,3445.033744898111,0,791386.7757604064
,68,173,791386.7757604064,2473.0836742512697,5928.883149602187,3455.799475350917,0,787930.9762850555
,69,172,787930.9762850555,2462.2843008907985,5928.8831496021885,3466.59884871139,0,784464.3774363442
,70,171,784464.3774363442,2451.4511794885752,5928.883149602188,3477.4319701136124,0,780986.9454662305
,71,170,780986.9454662305,2440.58420458197,5928.8831496021885,3488.2989450202185,0,777498.6465212103
,72,169,777498.6465212103,2429.6832703787823,5928.88314960219,3499.199879223408,0,773999.446641987
,73,168,773999.446641987,2418.748270756209,5928.88314960219,3510.1348788459813,0,770489.311763141
,74,167,770489.311763141,2407.779099259815,5928.883149602189,3521.104050342374,0,766968.2077127986
,75,166,766968.2077127986,2396.7756491024957,5928.883149602192,3532.1075004996965,0,763436.1002122989
,76,165,763436.1002122989,2385.737813163434,5928.883149602191,3543.145336438757,0,759892.9548758601
,77,164,759892.9548758601,2374.6654839870625,5928.883149602191,3554.2176656151287,0,756338.737210245
,78,163,756338.737210245,2363.558553782015,5928.883149602192,3565.324595820177,0,752773.4126144248
,79,162,752773.4126144248,2352.4169144200773,5928.883149602191,3576.466235182114,0,749196.9463792427
,80,161,749196.9463792427,2341.240457435133,5928.883149602192,3587.642692167059,0,745609.3036870756
,81,160,745609.3036870756,2330.029074022111,5928.883149602193,3598.854075580082,0,742010.4496114955
,82,159,742010.4496114955,2318.782655035923,5928.883149602192,3610.100494566269,0,738400.3491169292
,83,158,738400.3491169292,2307.5010909904036,5928.883149602193,3621.3820586117895,0,734778.9670583174
,84,157,734778.9670583174,2296.1842720572417,5928.883149602194,3632.698877544952,0,731146.2681807724
,85,156,731146.2681807724,2284.8320880649135,5928.883149602194,3644.0510615372805,0,727502.2171192352
,86,155,727502.2171192352,2273.44442849761,5928.883149602194,3655.438721104584,0,723846.7783981306
,87,154,723846.7783981306,2262.021182494158,5928.883149602195,3666.861967108037,0,720179.9164310226
,88,153,720179.9164310226,2250.5622388469455,5928.883149602196,3678.32091075525,0,716501.5955202674
