input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'משתנה צמודה כל 5', 'amortization': 'שפיצר', 'duration': 180, 'interest': 0.0275, 'cpi': 0.032, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,180,1002666.6666666666,2297.777777777778,6804.312951258316,4506.535173480539,2661.760350648496,1000821.8918438347
,2,179,1000821.8918438347,2293.550168808788,6822.457785795004,4528.907616986216,2656.781291271596,998949.76551812
,3,178,998949.76551812,2289.2598793123584,6840.651006557122,4551.391127244764,2651.7289983756673,997050.1033892509
,4,177,997050.1033892509,2284.9064869337,6858.892742574607,4573.986255640907,2646.60297902296,995122.7201126331
,5,176,995122.7201126331,2280.489566924784,6877.183123221473,4596.693556296688,2641.4027374835637,993167.42929382
,6,175,993167.42929382,2276.008692131671,6895.522278216729,4619.513586085059,2636.1277752206265,991184.0434829557
,7,174,991184.0434829557,2271.4634329817736,6913.910337625308,4642.446904643534,2630.777590875499,989172.3741691876
,8,173,989172.3741691876,2266.853357471055,6932.3474318589715,4665.494074387916,2625.3516802527993,987132.2317750525
,9,172,987132.2317750525,2262.178031151162,6950.833691677262,4688.6556605261,2619.8495363054035,985063.4256508318
,10,171,985063.4256508318,2257.4370171164896,6969.3692481884,4711.932231071911,2614.27064911936,982965.7640688793
,11,170,982965.7640688793,2252.629875991182,6987.954232850235,4735.324356859053,2608.6145058987204,980839.0542179189
,12,169,980839.0542179189,2247.756165916064,7006.588777471166,4758.832611555103,2602.8805909503035,978683.102197314
,13,168,978683.102197314,2242.8154425355115,7025.273014211089,4782.457571675577,2597.068385668369,976497.7130113068
,14,167,976497.7130113068,2237.807258984245,7044.007075582318,4806.199816598073,2591.1773685192234,974282.690563228
,15,166,974282.690563228,2232.731165874064,7062.791094450536,4830.059928576471,2585.2070150257373,972037.8376496773
,16,165,972037.8376496773,2227.5867112805104,7081.625204035736,4854.038492755226,2579.156797751792,969762.9559546738
,17,164,969762.9559546738,2222.373440729461,7100.509537913162,4878.1360971837,2573.02618628664,967457.8460437767
,18,163,967457.8460437767,2217.090897183655,7119.444230014263,4902.3533328306075,2566.8146472291896,965122.3073581753
,19,162,965122.3073581753,2211.7386210291515,7138.4294146276325,4926.690793598481,2560.5216441722046,962756.138208749
,20,161,962756.138208749,2206.3161500617166,7157.4652263999715,4951.149076338255,2554.1466376864287,960359.1357700971
,21,160,960359.1357700971,2200.823019473139,7176.551800337035,4975.728780863896,2547.689085304622,957931.0960745378
,22,159,957931.0960745378,2195.258761837483,7195.6892718046,5000.430509967117,2541.148441505522,955471.8140060762
,23,158,955471.8140060762,2189.622907097258,7214.877776529411,5025.254869432152,2534.5241576977173,952981.0832943417
,24,157,952981.0832943417,2183.914982549533,7234.117450600153,5050.20246805062,2527.8156822034425,950458.6965084944
,25,156,950458.6965084944,2178.1345128319663,7253.408430468418,5075.273917636452,2521.0224602422877,947904.4450511002
,26,155,947904.4450511002,2172.281019908771,7272.7508529496645,5100.469833040894,2514.143933914825,945318.1191519742
,27,154,945318.1191519742,2166.3540230566077,7292.144855224197,5125.7908321675895,2507.1795421861507,942699.5078619928
,28,153,942699.5078619928,2160.3530388504,7311.590574838128,5151.237535987728,2500.1287208693466,940048.3990468744
,29,152,940048.3990468744,2154.277581149087,7331.08814970436,5176.810568555273,2492.990902608851,937364.579380928
,30,151,937364.579380928,2148.1271610812933,7350.63771810357,5202.510557022277,2485.7655168637484,934647.8343407694
,31,150,934647.8343407694,2141.90128703093,7370.239418685178,5228.338131654248,2478.451989890974,931897.9481990063
,32,149,931897.9481990063,2135.5994646227227,7389.893390468339,5254.293925845616,2471.0497447284283,929114.704017889
,33,148,929114.704017889,2129.2211967076623,7409.599772842918,5280.378576135256,2463.5582011780098,926297.8836429317
,34,147,926297.8836429317,2122.7659833483854,7429.358705570499,5306.592722222114,2455.976775788559,923447.2676964982
,35,146,923447.2676964982,2116.233321804475,7449.170328785352,5332.9370069808765,2448.304881838713,920562.635571356
,36,145,920562.635571356,2109.622706517691,7469.0347829954435,5359.412076477753,2440.541929319675,917643.7654241979
,37,144,917643.7654241979,2102.93362909712,7488.952209083429,5386.018579986308,2432.6873249178975,914690.4341691295
