input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'משתנה צמודה כל 5', 'amortization': 'קרן שווה', 'duration': 360, 'interest': 0.03, 'cpi': 0.04, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,360,1003333.3333333334,2508.3333333333335,2787.037037037037,5295.37037037037,3335.1543209876545,1003881.4506172839
,2,359,1003881.4506172839,2509.70362654321,2796.3271604938273,5306.030787037037,3336.950411522634,1004422.0738683128
,3,358,1004422.0738683128,2511.0551846707817,2805.6482510288065,5316.703435699588,3338.72141872428,1004955.1470360082
,4,357,1004955.1470360082,2512.3878675900205,2815.0004118655693,5327.38827945559,3340.467155413809,1005480.6137795565
,5,356,1005480.6137795565,2513.7015344488914,2824.383746571788,5338.08528102068,3342.1874334432823,1005998.4174664279
,6,355,1005998.4174664279,2514.99604366607,2833.7983590603603,5348.79440272643,3343.8820636912255,1006508.5011710589
,7,354,1006508.5011710589,2516.2712529276473,2843.244353590562,5359.515606518209,3345.550856058228,1007010.8076735266
,8,353,1007010.8076735266,2517.5270191838167,2852.721834769197,5370.248853953013,3347.1936194625246,1007505.2794582199
,9,352,1007505.2794582199,2518.76319864555,2862.230907551761,5380.994106197311,3348.810161835561,1007991.8587125037
,10,351,1007991.8587125037,2519.9796467812594,2871.7716772436,5391.751324024859,3350.4002901175336,1008470.4873253775
,11,350,1008470.4873253775,2521.1762183134438,2881.3442495010786,5402.520467814522,3351.9638102529216,1008941.1068861294
,12,349,1008941.1068861294,2522.3527672153236,2890.9487303327487,5413.301497548073,3353.5005271859886,1009403.6586829826
,13,348,1009403.6586829826,2523.5091467074562,2900.585226100525,5424.094372807981,3355.010244856274,1009858.0837017383
,14,347,1009858.0837017383,2524.645209254346,2910.2538435208594,5434.899052775205,3356.4927661940583,1010304.3226244114
,15,346,1010304.3226244114,2525.760806561029,2919.954689665929,5445.715496226958,3357.9478931158187,1010742.3158278613
,16,345,1010742.3158278613,2526.8557895696536,2929.6878719648153,5456.543661534469,3359.3754265196553,1011172.0033824162
,17,344,1011172.0033824162,2527.9300084560405,2939.4534982046985,5467.383506660739,3360.7751662807054,1011593.3250504922
,18,343,1011593.3250504922,2528.9833126262306,2949.251676532047,5478.234989158278,3362.146911246534,1012006.2202852067
,19,342,1012006.2202852067,2530.0155507130166,2959.0825154538206,5489.098066166837,3363.4904592325097,1012410.6282289854
,20,341,1012410.6282289854,2531.0265705724632,2968.9461238386666,5499.97269441113,3364.805607017156,1012806.4877121638
,21,340,1012806.4877121638,2532.0162192804096,2978.8426109181287,5510.858830198538,3366.092150337486,1013193.7372515833
,22,339,1013193.7372515833,2532.9843431289582,2988.7720862878564,5521.756429416815,3367.3498838843184,1013572.3150491797
,23,338,1013572.3150491797,2533.9307876229495,2998.7346599088155,5532.665447531765,3368.57860129757,1013942.1589905685
,24,337,1013942.1589905685,2534.8553974764213,3008.730442108512,5543.585839584934,3369.7780951615337,1014303.2066436216
,25,336,1014303.2066436216,2535.758016609054,3018.759543582207,5554.517560191261,3370.9481570001312,1014655.3952570395
,26,335,1014655.3952570395,2536.638488142599,3028.8220753941478,5565.460563536746,3372.0885772721513,1014998.6617589175
,27,334,1014998.6617589175,2537.4966543972937,3038.9181489787948,5576.4148033760885,3373.1991453664623,1015332.9427553051
,28,333,1015332.9427553051,2538.332356888263,3049.0478761420572,5587.380233030321,3374.27964959721,1015658.1745287603
,29,332,1015658.1745287603,2539.145436321901,3059.211369062531,5598.356805384432,3375.3298771989926,1015974.2930368967
,30,331,1015974.2930368967,2539.935732592242,3069.4087402927394,5609.344472884981,3376.3496143220136,1016281.233910926
,31,330,1016281.233910926,2540.7030847773153,3079.640102760382,5620.343187537697,3377.338646027219,1016578.9324541929
,32,329,1016578.9324541929,2541.4473311354823,3089.905569769583,5631.352900905065,3378.2967562814115,1016867.3236407047
,33,328,1016867.3236407047,2542.1683091017617,3100.2052550021485,5642.37356410391,3379.2237279523424,1017146.342113655
,34,327,1017146.342113655,2542.8658552841375,3110.5392725188226,5653.40512780296,3380.1193428037873,1017415.92218394
,35,326,1017415.92218394,2543.53980545985,3120.907736760552,5664.447542220401,3380.9833814905983,1017675.99782867
,36,325,1017675.99782867,2544.189994571675,3131.3107625497537,5675.500757121428,3381.8156235537344,1017926.5026896739
,37,324,1017926.5026896739,2544.8162567241848,3141.7484650915862,5686.564721815771,3382.615847415275,1018167.3700719976
,38,323,1018167.3700719976,2545.4184251799943,3152.220959975225,5697.639385155219,3383.3838303734083,1018398.5329423958
,39,322,1018398.5329423958,2545.9963323559896,3162.728363175142,5708.724695531131,3384.119348597402,1018619.923927818
,40,321,1018619.923927818,2546.549809819545,3173.2707910523923,5719.820600871937,3384.822177122552,1018831.4753138882
,41,320,1018831.4753138882,2547.0786882847206,3183.8483603559007,5730.927048640621,3385.492089845108,1019033.1190433773
,42,319,1019033.1190433773,2547.5827976084433,3194.4611882237537,5742.043985832197,3386.1288595171786,1019224.7867146707
,43,318,1019224.7867146707,2548.0619667866767,3205.109392184499,5753.171358971176,3386.7322577416207,1019406.4095802278
,44,317,1019406.4095802278,2548.5160239505694,3215.7930901584473,5764.309114109017,3387.302054966898,1019577.9185450362
,45,316,1019577.9185450362,2548.9447963625908,3226.512400458975,5775.457196821566,3387.838020481924,1019739.2441650591
,46,315,1019739.2441650591,2549.3481104126477,3237.2674417938383,5786.6155522064855,3388.3399224108844,1019890.3166456762
,47,314,1019890.3166456762,2549.7257916141903,3248.0583332664846,5797.784124880674,3388.8075277080325,1020031.0658401176
,48,313,1020031.0658401176,2550.077664600294,3258.8851943773725,5808.962858977667,3389.2406021524675,1020161.4212478927
,49,312,1020161.4212478927,2550.403553119732,3269.748145025297,5820.1516981450295,3389.6389103428914,1020281.3120132103
,50,311,1020281.3120132103,2550.7032800330257,3280.6473055087145,5831.350585541741,3390.0022156923387,1020390.6669233938
,51,310,1020390.6669233938,2550.9766673084846,3291.582796527077,5842.5594638355615,3390.3302804228892,1020489.4144072897
,52,309,1020489.4144072897,2551.2235360182244,3302.5547391821674,5853.778275200391,3390.622865560359,1020577.4825336679
,53,308,1020577.4825336679,2551.4437063341697,3313.5632549794414,5865.006961313611,3390.879730928962,1020654.7990096174
,54,307,1020654.7990096174,2551.6369975240436,3324.6084658293726,5876.245463353416,3391.1006351459605,1020721.2911789339
,55,306,1020721.2911789339,2551.803227947335,3335.690494048804,5887.493721996139,3391.285335616284,1020776.8860205015
,56,305,1020776.8860205015,2551.9422150512537,3346.8094623623,5898.751677413554,3391.4335885271307,1020821.5101466663
,57,304,1020821.5101466663,2552.053775366666,3357.9654939035076,5910.019269270173,3391.545148842543,1020855.0898016053
,58,303,1020855.0898016053,2552.1377245040135,3369.1587122165192,5921.296436720533,3391.619770297963,1020877.5508596868
,59,302,1020877.5508596868,2552.193877149217,3380.389241257241,5932.583118406457,3391.6572053947657,1020888.8188238244
,60,301,1020888.8188238244,2552.222047059561,3391.6572053947652,5943.879252454326,3391.6572053947657,1020888.8188238244
,61,300,1020888.8188238244,2552.222047059561,3402.962729412748,5955.18477647231,3391.619520314706,1020877.4756147264
,62,299,1020877.4756147264,2552.193689036816,3414.305938510791,5966.499627547607,3391.543898920719,1020854.7135751364
,63,298,1020854.7135751364,2552.136783937841,3425.686958305827,5977.823742243668,3391.430088722769,1020820.4567055533
,64,297,1020820.4567055533,2552.0511417638836,3437.105914833513,5989.157056597396,3391.2778359690665,1020774.628626689
,65,296,1020774.628626689,2551.9365715667223,3448.562934549625,6000.499506116347,3391.0868856404645,1020717.1525777798
,66,295,1020717.1525777798,2551.7928814444494,3460.0581443314572,6011.851025775906,3390.8569814448283,1020647.9514148933
,67,294,1020647.9514148933,2551.619878537233,3471.591671479229,6023.211550016462,3390.58786581138,1020566.9476092254
,68,293,1020566.9476092254,2551.4173690230637,3483.163643717493,6034.581012740557,3390.2792798850264,1020474.0632453929
,69,292,1020474.0632453929,2551.1851581134824,3494.774189196551,6045.959347310034,3389.9309635206546,1020369.220019717
,70,291,1020369.220019717,2550.9230500492927,3506.423436493873,6057.346486543165,3389.5426552774106,1020252.3392385006
,71,290,1020252.3392385006,2550.6308480962516,3518.1115146155194,6068.742362711771,3389.1140924129504,1020123.3418162981
,72,289,1020123.3418162981,2550.3083545407453,3529.8385529975712,6080.146907538317,3388.6450108776685,1019982.1482741782
,73,288,1019982.1482741782,2549.9553706854454,3541.604681507563,6091.560052193008,3388.1351453089023,1019828.6787379795
,74,287,1019828.6787379795,2549.5716968449487,3553.4100304459216,6102.98172729087,3387.584229025112,1019662.8529365587
,75,286,1019662.8529365587,2549.157132341397,3565.2547305474077,6114.4118628888045,3386.9919940200375,1019484.5902000313
,76,285,1019484.5902000313,2548.7114755000784,3577.138912982566,6125.850388482644,3386.3581709568293,1019293.8094580056
,77,284,1019293.8094580056,2548.234523645014,3589.0627093591747,6137.2972330041885,3385.682489162155,1019090.4292378086
,78,283,1019090.4292378086,2547.7260730945213,3601.026251723705,6148.752324818226,3384.9646766202827,1018874.3676627051
,79,282,1018874.3676627051,2547.185919156763,3613.029672562784,6160.215591719547,3384.2044599671417,1018645.5424501095
,80,281,1018645.5424501095,2546.6138561252737,3625.07310480466,6171.686960929934,3383.40156448435,1018403.8709097892
,81,280,1018403.8709097892,2546.0096772744732,3637.1566818206757,6183.166359095148,3382.5557140932287,1018149.2699420619
,82,279,1018149.2699420619,2545.3731748551545,3649.280537426745,6194.653712281899,3381.666631348784,1017881.6560359839
,83,278,1017881.6560359839,2544.7041400899598,3661.4448058848343,6206.148945974794,3380.7340374336636,1017600.9452675327
,84,277,1017600.9452675327,2544.002363168832,3673.64962190445,6217.651985073282,3379.7576521520946,1017307.0532977803
,85,276,1017307.0532977803,2543.2676332444507,3685.8951206441316,6229.162753888582,3378.737193923788,1016999.89537106
,86,275,1016999.89537106,2542.49973842765,3698.1814377129454,6240.681176140595,3377.6723797778236,1016679.3863131248
,87,274,1016679.3863131248,2541.698465782812,3710.5087091719884,6252.2071749548,3376.5629253465095,1016345.4405292993
,88,273,1016345.4405292993,2540.8636013232485,3722.877071535895,6263.740672859143,3375.4085448592114,1015997.9720026227
,89,272,1015997.9720026227,2539.994930006557,3735.286661774348,6275.281591780905,3374.208951136161,1015636.8942919845
,90,271,1015636.8942919845,2539.0922357299614,3747.737617313596,6286.829853043557,3372.9638555822366,1015262.1205302532
,91,270,1015262.1205302532,2538.155301325633,3760.230076037975,6298.385377363607,3371.672968180718,1014873.563422396
,92,269,1014873.563422396,2537.18390855599,3772.764176291435,6309.948084847425,3370.3359974870154,1014471.1352435916
,93,268,1014471.1352435916,2536.177838108979,3785.340056879073,6321.517894988052,3368.952650622375,1014054.7478373349
,94,267,1014054.7478373349,2535.1368695933375,3797.95785706867,6333.094726662008,3367.5226332675543,1013624.3126135338
,95,266,1013624.3126135338,2534.0607815338344,3810.6177165922322,6344.678498126066,3366.045649656472,1013179.740546598
,96,265,1013179.740546598,2532.949351366495,3823.3197756475397,6356.269127014035,3364.521402569835,1012720.9421735203
,97,264,1012720.9421735203,2531.802355433801,3836.064174899698,6367.866530333499,3362.949593328736,1012247.8275919494
,98,263,1012247.8275919494,2530.6195689798733,3848.851055482697,6379.47062446257,3361.3299217882222,1011760.3064582548
,99,262,1011760.3064582548,2529.400766145637,3861.6805590009726,6391.08132514661,3359.6620863308467,1011258.2879855847
,100,261,1011258.2879855847,2528.1457199639617,3874.5528275309757,6402.698547494938,3357.9457838601793,1010741.6809419139
,101,260,1010741.6809419139,2526.854202354785,3887.4680036227455,6414.322205977531,3356.180709794304,1010210.3936480854
,102,259,1010210.3936480854,2525.5259841202137,3900.426230301488,6425.952214421702,3354.36655805928,1009664.3339758432
,103,258,1009664.3339758432,2524.160834939608,3913.4276510691593,6437.588486008767,3352.5030210825803,1009103.4093458566
,104,257,1009103.4093458566,2522.758523364642,3926.472409906057,6449.230933270699,3350.589789786502,1008527.526725737
