input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'משתנה צמודה כל 5', 'amortization': 'שפיצר', 'duration': 300, 'interest': 0.0375, 'cpi': 0.027999999999999997, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,300,1002333.3333333334,3132.2916666666665,5153.308390680899,2021.0167240142323,2334.0620720884112,1002646.3786814075
,2,299,1002646.3786814075,3133.2699333793985,5165.33277692582,2032.0628435464218,2334.766736955009,1002949.0825748162
,3,298,1002949.0825748162,3134.2158830463004,5177.385220071981,2043.1693370256808,2335.4471308881775,1003241.3603686787
,4,297,1003241.3603686787,3135.1292511521206,5189.465785585482,2054.3365344333615,2336.1030556132387,1003523.1268898585
,5,296,1003523.1268898585,3136.0097715308075,5201.574539085182,2065.564767554374,2336.7343116187094,1003794.2964339228
,6,295,1003794.2964339228,3136.8571763560085,5213.711546343047,2076.854369987039,2337.3406981491835,1004054.782762085
,7,294,1004054.782762085,3137.6711961315154,5225.876873284516,2088.205677153,2337.922013198174,1004304.4990981302
,8,293,1004304.4990981302,3138.4515596816564,5238.070585988845,2099.6190263071885,2338.47805350092,1004543.3581253239
,9,292,1004543.3581253239,3139.197994141637,5250.292750689487,2111.0947565478496,2339.008614527144,1004771.2719833032
,10,291,1004771.2719833032,3139.9102249478224,5262.543433774428,2122.633208826606,2339.5134904737783,1004988.1522649503
,11,290,1004988.1522649503,3140.5879758279693,5274.822701786569,2134.2347259586,2339.9924742576472,1005193.9100132494
,12,289,1005193.9100132494,3141.230968791404,5287.130621424071,2145.8996526326673,2340.4453575081056,1005388.4557181249
,13,288,1005388.4557181249,3141.83892411914,5299.467259540727,2157.6283354215875,2340.871930559641,1005571.699313263
,14,287,1005571.699313263,3142.4115603539462,5311.832683146322,2169.4211227923756,2341.271982444431,1005743.550172915
,15,286,1005743.550172915,3142.948594290359,5324.226959406998,2181.2783651166387,2341.6453008848625,1005903.9171086831
,16,285,1005903.9171086831,3143.4497409646347,5336.650155645613,2193.2004146809786,2341.991672286005,1006052.7083662881
,17,284,1006052.7083662881,3143.91471364465,5349.10233934212,2205.18762569747,2342.3108817280445,1006189.8316223187
,18,283,1006189.8316223187,3144.3432238197456,5361.583578133918,2217.2403543141727,2342.602712958677,1006315.1939809632
,19,282,1006315.1939809632,3144.7349811905096,5374.093939816231,2229.3589586257212,2342.8669483854537,1006428.701970723
,20,281,1006428.701970723,3145.089693658509,5386.63349234247,2241.543798683961,2343.103369068091,1006530.2615411072
,21,280,1006530.2615411072,3145.40706731596,5399.202303824603,2253.7952365086435,2343.31175471073,1006619.7780593093
,22,279,1006619.7780593093,3145.6868064353416,5411.8004425335275,2266.113636098186,2343.491883654159,1006697.1563068653
,23,278,1006697.1563068653,3145.928613458954,5424.427976899438,2278.4993634404846,2343.643532867991,1006762.3004762928
,24,277,1006762.3004762928,3146.132188988415,5437.084975512205,2290.9527865237906,2343.766477942794,1006815.1141677118
,25,276,1006815.1141677118,3146.297231774099,5449.7715071217335,2303.4742753476344,2343.860493082183,1006855.5003854464
,26,275,1006855.5003854464,3146.4234387045194,5462.48764063835,2316.0642019338306,2343.9253510948624,1006883.3615346075
,27,274,1006883.3615346075,3146.510504795648,5475.233445133174,2328.7229403375263,2343.9608233866297,1006898.5994176567
,28,273,1006898.5994176567,3146.5581231801766,5488.008989838485,2341.4508666583083,2343.9666799523293,1006901.1152309506
,29,272,1006901.1152309506,3146.5659850967204,5500.814344148108,2354.2483590513875,2343.9426893677646,1006890.809561267
,30,271,1006890.809561267,3146.533779878959,5513.649577617787,2367.115797738828,2343.8886187815656,1006867.5823823098
,31,270,1006867.5823823098,3146.461194944718,5526.514759965563,2380.053565020845,2343.8042339070075,1006831.3330511961
,32,269,1006831.3330511961,3146.3479157849874,5539.40996107215,2393.062045287162,2343.689299013787,1006781.9603049228
,33,268,1006781.9603049228,3146.1936259528834,5552.335250981319,2406.141625028436,2343.5435769197534,1006719.362256814
,34,267,1006719.362256814,3145.9980070525435,5565.290699900275,2419.292692847732,2343.366828982588,1006643.4363929488
,35,266,1006643.4363929488,3145.760738727965,5578.276378200042,2432.515639472077,2343.158815091446,1006554.0795685683
,36,265,1006554.0795685683,3145.4814986517754,5591.292356415844,2445.8108577640683,2342.9192936585428,1006451.1880044627
,37,264,1006451.1880044627,3145.1599625139456,5604.338705247481,2459.1787427335353,2342.648021610701,1006334.6572833399
,38,263,1006334.6572833399,3144.7958040104368,5617.415495559724,2472.6196915492874,2342.3447543808443,1006204.3823461714
,39,262,1006204.3823461714,3144.3886948317854,5630.522798382697,2486.1341035509117,2342.0092458994477,1006060.2574885199
,40,261,1006060.2574885199,3143.9383046516245,5643.660684912256,2499.722380260632,2341.6412485859382,1005902.1763568452
,41,260,1005902.1763568452,3143.444301115141,5656.8292265103855,2513.3849253952444,2341.24051334005,1005730.03194479
,42,259,1005730.03194479,3142.9063498274686,5670.028494705577,2527.1221448781084,2340.8067895331274,1005543.716589445
,43,258,1005543.716589445,3142.3241143420155,5683.258561193223,2540.934446851207,2340.339824999385,1005343.1219675931
,44,257,1005343.1219675931,3141.6972561487282,5696.519497836007,2554.8222416872786,2339.839366027113,1005128.1390919329
,45,256,1005128.1390919329,3141.02543466229,5709.811376664291,2568.785942002001,2339.3051573498387,1004898.6583072807
,46,255,1004898.6583072807,3140.308307210252,5723.134269876508,2582.825962666256,2338.7369421374333,1004654.5692867519
,47,254,1004654.5692867519,3139.5455290210994,5736.488249839553,2596.9427208184534,2338.134461987178,1004395.7610279206
,48,253,1004395.7610279206,3138.7367532122516,5749.87338908918,2611.1366358769283,2337.4974569147685,1004122.1218489584
,49,252,1004122.1218489584,3137.881630777995,5763.289760330387,2625.4081295523924,2336.8256653452804,1003833.5393847513
,50,251,1003833.5393847513,3136.9798105773475,5776.737436437825,2639.757625860477,2336.118824104078,1003529.9005829949
,51,250,1003529.9005829949,3136.030939321859,5790.21649045618,2654.1855511343206,2335.3766684076745,1003211.0917002683
,52,249,1003211.0917002683,3135.0346615633384,5803.726995600579,2668.692334037241,2334.598931854539,1002876.9982980856
,53,248,1002876.9982980856,3133.9906196815173,5817.269025256979,2683.278405575462,2333.785346415857,1002527.505238926
,54,247,1002527.505238926,3132.8984538716436,5830.84265298258,2697.9441991109366,2332.935642426235,1002162.4966822413
,55,246,1002162.4966822413,3131.7578021320037,5844.447952506206,2712.6901503742024,2332.0495485743563,1001781.8560804415
,56,245,1001781.8560804415,3130.5683002513792,5858.084997728721,2727.5166974773415,2331.126791893583,1001385.4661748578
,57,244,1001385.4661748578,3129.3295817964304,5871.753862723422,2742.4242809269913,2330.167097752505,1000973.2089916833
,58,243,1000973.2089916833,3128.04127809901,5885.454621736443,2757.413343637433,2329.17018984544,1000544.9658378913
,59,242,1000544.9658378913,3126.70301824341,5899.187349187161,2772.484330943751,2328.1357901828774,1000100.6172971304
,60,241,1000100.6172971304,3125.3144290535324,5912.952119668599,2787.6376906150667,2327.063619081869,999640.0432255972
,61,240,999640.0432255972,3123.875135079991,5926.749007947825,2802.8738728678336,2325.9533951563685,999163.1227478859
,62,239,999163.1227478859,3122.384758587143,5940.578088966371,2818.193330379228,2324.8048353075155,998669.7342528142
,63,238,998669.7342528142,3120.842919540044,5954.439437840628,2833.5965183005837,2323.617654713865,998159.7553892275
,64,237,998159.7553892275,3119.249235591336,5968.333129862256,2849.08389427092,2322.391566821565,997633.0630617782
,65,236,997633.0630617782,3117.6033220680565,5982.259240498601,2864.6559184305443,2321.1262833344776,997089.5334266821
,66,235,997089.5334266821,3115.9047919583813,5996.217845393097,2880.313053434716,2319.8215142042436,996529.0418874517
,67,234,996529.0418874517,3114.1532558982863,6010.209020365683,2896.0557644673963,2318.4769676202964,995951.4630906046
,68,233,995951.4630906046,3112.348322158139,6024.232841413203,2911.8845192550634,2317.0923499998157,995356.6709213494
,69,232,995356.6709213494,3110.4895966292165,6038.289384709833,2927.7997880806165,2315.667365977627,994744.5384992465
,70,231,994744.5384992465,3108.576682810145,6052.378726607491,2943.8020437973464,2314.201718396048,994114.9381738452
,71,230,994114.9381738452,3106.609181793266,6066.5009436362425,2959.8917618429764,2312.6951082946716,993467.7415202969
,72,229,993467.7415202969,3104.5866922509276,6080.656112504727,2976.0694202537998,2311.1472349001006,992802.8193349433
,73,228,992802.8193349433,3102.5088104216975,6094.844310100571,2992.335499678874,2309.5577956156167,992120.0416308801
,74,227,992120.0416308801,3100.3751300965,6109.065613490808,3008.6904833943076,2307.9264860108,991419.2776334966
,75,226,991419.2776334966,3098.1852426046767,6123.320099922286,3025.1348573176097,2306.252999811084,990700.39577599
,76,225,990700.39577599,3095.9387367999684,6137.607846822105,3041.6691100221365,2304.537028887258,989963.2636948552
,77,224,989963.2636948552,3093.6351990464223,6151.928931798023,3058.2937327516006,2302.778263244908,989207.7482253484
,78,223,989207.7482253484,3091.2742132042135,6166.283432638886,3075.009219434672,2300.9763910137985,988433.7153969276
,79,222,988433.7153969276,3088.8553606153982,6180.671427315043,3091.8160666996446,2299.131098437198,987641.0304286651
,80,221,987641.0304286651,3086.378220089578,6195.092993978778,3108.7147738892004,2297.2420698611436,986829.5577246371
,81,220,986829.5577246371,3083.8423678894906,6209.54821096473,3125.7058430752395,2295.308987723644,985999.1608692855
,82,219,985999.1608692855,3081.247377716517,6224.037156790314,3142.789779073797,2293.331532543827,985149.7026227555
,83,218,985149.7026227555,3078.5928206961107,6238.559910156159,3159.9670894600486,2291.3093829110226,984281.0449162066
,84,217,984281.0449162066,3075.8782653631456,6253.116549946524,3177.2382845833786,2289.2422154737874,983393.048847097
,85,216,983393.048847097,3073.103277647178,6267.707155229733,3194.603877582555,2287.129704928867,982485.5746744432
