input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'משתנה צמודה כל 5', 'amortization': 'קרן שווה', 'duration': 120, 'interest': 0.0575, 'cpi': 0.022000000000000002, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,120,1001833.3333333334,4800.45138888889,8348.611111111111,13149.0625,1821.3886574074077,995306.1108796296
,2,119,995306.1108796296,4769.175114631559,8363.916898148149,13133.092012779707,1809.3940222993829,988751.5880037808
,3,118,988751.5880037808,4737.76802585145,8379.250745794752,13117.018771646202,1797.3492849729746,982169.6865429591
,4,117,982169.6865429591,4706.229748018346,8394.612705495376,13100.842453513722,1785.2543020353503,975560.3281394991
,5,116,975560.3281394991,4674.559905668433,8410.002828788785,13084.562734457219,1773.1089297363023,968923.4342404465
,6,115,968923.4342404465,4642.7581224021405,8425.42116730823,13068.17928971037,1760.9130239674205,962258.9260971057
,7,114,962258.9260971057,4610.824020881965,8440.867772781628,13051.691793663595,1748.666440261261,955566.7247645854
,8,113,955566.7247645854,4578.757222830305,8456.342697031729,13035.099919862034,1736.3690337905152,948846.7511013442
,9,112,948846.7511013442,4546.5573490272745,8471.845991976288,13018.403341003563,1724.0206593671746,942098.9257687351
,10,111,942098.9257687351,4514.224019308523,8487.377709628245,13001.601728936766,1711.621171441696,935323.1692305487
,11,110,935323.1692305487,4481.756852563046,8502.937902095897,12984.694754658944,1699.1704241021637,928519.4017525549
,12,109,928519.4017525549,4449.155466730993,8518.526621583072,12967.682088314064,1686.6682710734488,921687.5434020454
,13,108,921687.5434020454,4416.419478801468,8534.14392038931,12950.563399190778,1674.1145657163695,914827.5140473724
,14,107,914827.5140473724,4383.548504810326,8549.789850910021,12933.338355720349,1661.5091610268478,907939.2333574891
,15,106,907939.2333574891,4350.542159837969,8565.464465636689,12916.006625474658,1648.851909635063,901022.6208014875
,16,105,901022.6208014875,4317.400058007128,8581.167817157024,12898.567875164152,1636.142663804606,894077.5956481351
