input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'שפיצר', 'duration': 108, 'interest': 0.0225, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,108,1000000,1875,10237.026560910605,8362.026560910605,0,991637.9734390894
,2,107,991637.9734390894,1859.3212001982924,10237.026560910603,8377.70536071231,0,983260.268078377
,3,106,983260.268078377,1843.6130026469568,10237.02656091061,8393.413558263654,0,974866.8545201133
,4,105,974866.8545201133,1827.8753522252125,10237.02656091061,8409.151208685398,0,966457.703311428
,5,104,966457.703311428,1812.1081937089273,10237.026560910615,8424.918367201688,0,958032.7849442263
,6,103,958032.7849442263,1796.311471770424,10237.026560910615,8440.71508914019,0,949592.069855086
,7,102,949592.069855086,1780.4851309782862,10237.026560910623,8456.541429932337,0,941135.5284251537
,8,101,941135.5284251537,1764.6291157971632,10237.026560910628,8472.397445113465,0,932663.1309800402
,9,100,932663.1309800402,1748.7433705875753,10237.026560910628,8488.283190323053,0,924174.8477897171
,10,99,924174.8477897171,1732.8278396057196,10237.026560910635,8504.198721304916,0,915670.6490684123
,11,98,915670.6490684123,1716.882467003273,10237.02656091063,8520.144093907356,0,907150.5049745049
,12,97,907150.5049745049,1700.9071968271967,10237.026560910637,8536.11936408344,0,898614.3856104215
,13,96,898614.3856104215,1684.9019730195403,10237.026560910643,8552.124587891103,0,890062.2610225304
,14,95,890062.2610225304,1668.8667394172444,10237.026560910643,8568.159821493398,0,881494.101201037
,15,94,881494.101201037,1652.8014397519441,10237.026560910652,8584.225121158708,0,872909.8760798782
,16,93,872909.8760798782,1636.7060176497716,10237.02656091065,8600.320543260877,0,864309.5555366173
,17,92,864309.5555366173,1620.5804166311573,10237.026560910661,8616.446144279504,0,855693.1093923377
,18,91,855693.1093923377,1604.424580110633,10237.026560910654,8632.60198080002,0,847060.5074115377
,19,90,847060.5074115377,1588.238451396633,10237.026560910666,8648.788109514033,0,838411.7193020236
,20,89,838411.7193020236,1572.0219736912943,10237.026560910672,8665.004587219377,0,829746.7147148043
,21,88,829746.7147148043,1555.7750900902581,10237.026560910675,8681.251470820418,0,821065.4632439839
,22,87,821065.4632439839,1539.4977435824699,10237.02656091068,8697.52881732821,0,812367.9344266558
,23,86,812367.9344266558,1523.1898770499795,10237.02656091068,8713.8366838607,0,803654.097742795
,24,85,803654.097742795,1506.8514332677405,10237.026560910686,8730.175127642946,0,794923.9226151521
,25,84,794923.9226151521,1490.4823549034102,10237.026560910694,8746.544206007284,0,786177.3784091448
,26,83,786177.3784091448,1474.0825845171464,10237.026560910694,8762.943976393548,0,777414.4344327513
,27,82,777414.4344327513,1457.6520645614087,10237.026560910701,8779.374496349292,0,768635.059936402
,28,81,768635.059936402,1441.1907373807537,10237.0265609107,8795.835823529946,0,759839.224112872
,29,80,759839.224112872,1424.698545211635,10237.026560910705,8812.32801569907,0,751026.896097173
,30,79,751026.896097173,1408.1754301821993,10237.026560910712,8828.851130728512,0,742198.0449664445
,31,78,742198.0449664445,1391.6213343120833,10237.026560910717,8845.405226598634,0,733352.6397398459
,32,77,733352.6397398459,1375.036199512211,10237.026560910726,8861.990361398515,0,724490.6493784473
,33,76,724490.6493784473,1358.4199675845887,10237.02656091073,8878.606593326142,0,715612.0427851211
,34,75,715612.0427851211,1341.772580222102,10237.026560910734,8895.25398068863,0,706716.7888044325
,35,74,706716.7888044325,1325.093979008311,10237.026560910732,8911.932581902422,0,697804.8562225301
,36,73,697804.8562225301,1308.384105417244,10237.026560910737,8928.642455493493,0,688876.2137670367
,37,72,688876.2137670367,1291.6429008131938,10237.026560910741,8945.383660097546,0,679930.8301069392
,38,71,679930.8301069392,1274.870306450511,10237.02656091075,8962.156254460238,0,670968.673852479
,39,70,670968.673852479,1258.066263473398,10237.026560910752,8978.960297437354,0,661989.7135550416
,40,69,661989.7135550416,1241.230712915703,10237.026560910766,8995.795847995063,0,652993.9177070465
,41,68,652993.9177070465,1224.363595700712,10237.026560910763,9012.662965210051,0,643981.2547418365
,42,67,643981.2547418365,1207.4648526409433,10237.026560910774,9029.56170826983,0,634951.6930335666
,43,66,634951.6930335666,1190.5344244379373,10237.02656091078,9046.492136472842,0,625905.2008970937
,44,65,625905.2008970937,1173.5722516820508,10237.026560910777,9063.454309228726,0,616841.746587865
,45,64,616841.746587865,1156.578274852247,10237.02656091079,9080.448286058543,0,607761.2983018066
,46,63,607761.2983018066,1139.5524343158872,10237.026560910794,9097.474126594907,0,598663.8241752116
,47,62,598663.8241752116,1122.4946703285218,10237.026560910797,9114.531890582275,0,589549.2922846293
,48,61,589549.2922846293,1105.40492303368,10237.026560910816,9131.621637877135,0,580417.6706467522
,49,60,580417.6706467522,1088.2831324626604,10237.026560910812,9148.743428448151,0,571268.9272183041
,50,59,571268.9272183041,1071.1292385343202,10237.026560910817,9165.897322376497,0,562103.0298959276
,51,58,562103.0298959276,1053.9431810548642,10237.02656091083,9183.083379855965,0,552919.9465160717
,52,57,552919.9465160717,1036.7248997176343,10237.026560910826,9200.301661193193,0,543719.6448548785
,53,56,543719.6448548785,1019.4743341028973,10237.026560910846,9217.55222680795,0,534502.0926280706
,54,55,534502.0926280706,1002.1914236776324,10237.026560910846,9234.835137233214,0,525267.2574908374
,55,54,525267.2574908374,984.87610779532,10237.026560910861,9252.15045311554,0,516015.10703772184
,56,53,516015.10703772184,967.5283256957284,10237.026560910868,9269.49823521514,0,506745.6088025067
,57,52,506745.6088025067,950.1480165047001,10237.026560910868,9286.878544406169,0,497458.73025810055
,58,51,497458.73025810055,932.7351192339385,10237.026560910881,9304.291441676942,0,488154.4388164236
,59,50,488154.4388164236,915.2895727807942,10237.026560910876,9321.736988130082,0,478832.7018282935
,60,49,478832.7018282935,897.8113159280502,10237.026560910894,9339.215244982843,0,469493.48658331065
,61,48,469493.48658331065,880.3002873437074,10237.02656091089,9356.726273567183,0,460136.76030974346
,62,47,460136.76030974346,862.7564255807689,10237.026560910897,9374.270135330129,0,450762.4901744133
,63,46,450762.4901744133,845.1796690770249,10237.026560910923,9391.846891833899,0,441370.64328257943
,64,45,441370.64328257943,827.5699561548364,10237.026560910916,9409.456604756078,0,431961.18667782337
,65,44,431961.18667782337,809.9272250209187,10237.02656091094,9427.09933589002,0,422534.08734193334
,66,43,422534.08734193334,792.251413766125,10237.026560910941,9444.775147144815,0,413089.31219478854
,67,42,413089.31219478854,774.5424603652285,10237.026560910961,9462.484100545733,0,403626.8280942428
,68,41,403626.8280942428,756.8003026767052,10237.026560910968,9480.226258234263,0,394146.60183600854
,69,40,394146.60183600854,739.024878442516,10237.026560910965,9498.001682468448,0,384648.6001535401
,70,39,384648.6001535401,721.2161252878876,10237.026560910981,9515.810435623094,0,375132.789717917
,71,38,375132.789717917,703.3739807210943,10237.026560910987,9533.652580189892,0,365599.1371377271
,72,37,365599.1371377271,685.4983821332384,10237.026560910992,9551.528178777753,0,356047.60895894933
,73,36,356047.60895894933,667.5892667980299,10237.026560911005,9569.437294112975,0,346478.17166483635
,74,35,346478.17166483635,649.6465718715681,10237.026560911027,9587.379989039458,0,336890.7916757969
,75,34,336890.7916757969,631.6702343921191,10237.026560911028,9605.35632651891,0,327285.435349278
,76,33,327285.435349278,613.6601912798961,10237.026560911025,9623.366369631129,0,317662.06897964684
,77,32,317662.06897964684,595.6163793368378,10237.026560911043,9641.410181574205,0,308020.6587980726
,78,31,308020.6587980726,577.5387352463861,10237.026560911076,9659.48782566469,0,298361.1709724079
,79,30,298361.1709724079,559.4271955732648,10237.026560911096,9677.59936533783,0,288683.5716070701
,80,29,288683.5716070701,541.2816967632564,10237.026560911072,9695.744864147815,0,278987.8267429223
,81,28,278987.8267429223,523.1021751429793,10237.026560911117,9713.924385768138,0,269273.9023571542
,82,27,269273.9023571542,504.8885669196641,10237.02656091111,9732.137993991446,0,259541.76436316274
,83,26,259541.76436316274,486.64080818093015,10237.026560911141,9750.385752730212,0,249791.37861043253
,84,25,249791.37861043253,468.35883489456097,10237.026560911141,9768.66772601658,0,240022.71088441595
,85,24,240022.71088441595,450.0425829082799,10237.026560911158,9786.983978002878,0,230235.72690641307
,86,23,230235.72690641307,431.6919879495245,10237.02656091116,9805.334572961634,0,220430.39233345143
,87,22,220430.39233345143,413.3069856252214,10237.026560911188,9823.719575285966,0,210606.67275816546
,88,21,210606.67275816546,394.8875114215602,10237.026560911203,9842.139049489642,0,200764.53370867582
,89,20,200764.53370867582,376.43350070376715,10237.026560911247,9860.593060207479,0,190903.94064846836
,90,19,190903.94064846836,357.94488871587816,10237.026560911281,9879.081672195403,0,181024.85897627295
,91,18,181024.85897627295,339.42161058051175,10237.026560911307,9897.604950330795,0,171127.25402594215
,92,17,171127.25402594215,320.8636012986415,10237.026560911316,9916.162959612675,0,161211.09106632948
,93,16,161211.09106632948,302.2707957493678,10237.026560911328,9934.75576516196,0,151276.3353011675
,94,15,151276.3353011675,283.64312868968904,10237.026560911354,9953.383432221664,0,141322.95186894585
,95,14,141322.95186894585,264.98053475427344,10237.026560911334,9972.04602615706,0,131350.90584278878
,96,13,131350.90584278878,246.28294845522896,10237.026560911441,9990.743612456212,0,121360.16223033257
,97,12,121360.16223033257,227.55030418187357,10237.026560911425,10009.476256729551,0,111350.68597360302
,98,11,111350.68597360302,208.78253620050566,10237.026560911463,10028.244024710957,0,101322.44194889205
,99,10,101322.44194889205,189.9795786541726,10237.02656091147,10047.046982257298,0,91275.39496663476
,100,9,91275.39496663476,171.14136556244017,10237.02656091162,10065.88519534918,0,81209.50977128558
,101,8,81209.50977128558,152.26783082116046,10237.026560911581,10084.758730090422,0,71124.75104119515
,102,7,71124.75104119515,133.3589082022409,10237.02656091165,10103.66765270941,0,61021.08338848574
,103,6,61021.08338848574,114.41453135341077,10237.02656091165,10122.61202955824,0,50898.471358927505
,104,5,50898.471358927505,95.43463379798906,10237.026560911687,10141.591927113697,0,40756.87943181381
