input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'קרן שווה', 'duration': 300, 'interest': 0.0225, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,300,1000000,1875,3333.3333333333335,5208.333333333334,0,996666.6666666666
,2,299,996666.6666666666,1868.7499999999998,3333.333333333333,5202.083333333333,0,993333.3333333333
,3,298,993333.3333333333,1862.4999999999998,3333.333333333333,5195.833333333333,0,989999.9999999999
,4,297,989999.9999999999,1856.2499999999998,3333.333333333333,5189.583333333333,0,986666.6666666665
,5,296,986666.6666666665,1849.9999999999995,3333.333333333333,5183.333333333332,0,983333.3333333331
,6,295,983333.3333333331,1843.7499999999995,3333.3333333333326,5177.083333333332,0,979999.9999999998
,7,294,979999.9999999998,1837.4999999999995,3333.3333333333326,5170.833333333332,0,976666.6666666664
,8,293,976666.6666666664,1831.2499999999993,3333.3333333333326,5164.583333333332,0,973333.333333333
,9,292,973333.333333333,1824.9999999999993,3333.333333333332,5158.333333333331,0,969999.9999999997
,10,291,969999.9999999997,1818.7499999999993,3333.333333333332,5152.083333333331,0,966666.6666666663
,11,290,966666.6666666663,1812.4999999999993,3333.333333333332,5145.833333333331,0,963333.3333333329
,12,289,963333.3333333329,1806.249999999999,3333.3333333333317,5139.58333333333,0,959999.9999999995
,13,288,959999.9999999995,1799.999999999999,3333.3333333333317,5133.33333333333,0,956666.6666666662
,14,287,956666.6666666662,1793.749999999999,3333.3333333333317,5127.08333333333,0,953333.3333333328
,15,286,953333.3333333328,1787.4999999999989,3333.333333333331,5120.83333333333,0,949999.9999999994
,16,285,949999.9999999994,1781.2499999999989,3333.333333333331,5114.58333333333,0,946666.666666666
,17,284,946666.666666666,1774.9999999999989,3333.333333333331,5108.33333333333,0,943333.3333333327
,18,283,943333.3333333327,1768.7499999999986,3333.333333333331,5102.08333333333,0,939999.9999999993
,19,282,939999.9999999993,1762.4999999999986,3333.3333333333308,5095.833333333329,0,936666.6666666659
,20,281,936666.6666666659,1756.2499999999986,3333.3333333333308,5089.583333333329,0,933333.3333333326
,21,280,933333.3333333326,1749.9999999999984,3333.3333333333308,5083.333333333329,0,929999.9999999992
