input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'פריים', 'amortization': 'שפיצר', 'duration': 228, 'interest': 0.0425, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,228,1000000,3541.666666666667,6399.926999716001,2858.260333049334,0,997141.7396669507
,2,227,997141.7396669507,3531.5436613204506,6399.926999716002,2868.383338395551,0,994273.3563285551
,3,226,994273.3563285551,3521.384803663633,6399.926999716004,2878.5421960523704,0,991394.8141325028
,4,225,991394.8141325028,3511.189966719281,6399.926999716004,2888.7370329967225,0,988506.077099506
,5,224,988506.077099506,3500.959023060751,6399.926999716005,2898.9679766552545,0,985607.1091228508
,6,223,985607.1091228508,3490.691844810097,6399.9269997160045,2909.2351549059076,0,982697.8739679449
,7,222,982697.8739679449,3480.388303636472,6399.926999716006,2919.5386960795345,0,979778.3352718654
,8,221,979778.3352718654,3470.0482707545234,6399.926999716006,2929.878728961483,0,976848.4565429039
,9,220,976848.4565429039,3459.671616922785,6399.926999716007,2940.2553827932225,0,973908.2011601106
,10,219,973908.2011601106,3449.2582124420587,6399.926999716007,2950.6687872739485,0,970957.5323728367
,11,218,970957.5323728367,3438.8079271537968,6399.926999716007,2961.1190725622105,0,967996.4133002745
,12,217,967996.4133002745,3428.3206304384726,6399.926999716009,2971.6063692775365,0,965024.806930997
,13,216,965024.806930997,3417.7961912139476,6399.926999716008,2982.1308085020605,0,962042.6761224949
,14,215,962042.6761224949,3407.2344779338364,6399.92699971601,2992.6925217821736,0,959049.9836007127
,15,214,959049.9836007127,3396.635358585858,6399.926999716011,3003.291641130153,0,956046.6919595826
,16,213,956046.6919595826,3385.998700690189,6399.926999716012,3013.928299025823,0,953032.7636605568
,17,212,953032.7636605568,3375.3243712978056,6399.926999716012,3024.602628418206,0,950008.1610321385
,18,211,950008.1610321385,3364.612236988824,6399.926999716012,3035.314762727188,0,946972.8462694113
,19,210,946972.8462694113,3353.862163870832,6399.926999716014,3046.0648358451817,0,943926.7814335661
,20,209,943926.7814335661,3343.0740175772135,6399.926999716012,3056.8529821387983,0,940869.9284514274
,21,208,940869.9284514274,3332.247663265472,6399.9269997160145,3067.6793364505425,0,937802.2491149768
,22,207,937802.2491149768,3321.382965615543,6399.926999716015,3078.5440341004723,0,934723.7050808764
,23,206,934723.7050808764,3310.479788828104,6399.926999716015,3089.4472108879113,0,931634.2578699884
,24,205,931634.2578699884,3299.537996622876,6399.926999716017,3100.389003093141,0,928533.8688668953
,25,204,928533.8688668953,3288.557452236921,6399.926999716016,3111.369547479095,0,925422.4993194162
,26,203,925422.4993194162,3277.538018422933,6399.926999716018,3122.388981293085,0,922300.1103381232
,27,202,922300.1103381232,3266.4795574475197,6399.926999716018,3133.4474422684984,0,919166.6628958547
,28,201,919166.6628958547,3255.3819310894855,6399.926999716019,3144.5450686265335,0,916022.1178272282
,29,200,916022.1178272282,3244.2450006381,6399.92699971602,3155.68199907792,0,912866.4358281503
,30,199,912866.4358281503,3233.0686268913655,6399.92699971602,3166.8583728246545,0,909699.5774553256
,31,198,909699.5774553256,3221.8526701542787,6399.926999716022,3178.074329561743,0,906521.5031257638
,32,197,906521.5031257638,3210.5969902370807,6399.926999716022,3189.330009478941,0,903332.1731162849
,33,196,903332.1731162849,3199.301446453509,6399.926999716023,3200.6255532625137,0,900131.5475630224
,34,195,900131.5475630224,3187.9658976190376,6399.926999716022,3211.961102096984,0,896919.5864609254
