input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה לא צמודה', 'amortization': 'קרן שווה', 'duration': 96, 'interest': 0.035, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,96,1000000,2916.666666666667,10416.666666666666,13333.333333333332,0,989583.3333333334
,2,95,989583.3333333334,2886.2847222222226,10416.666666666668,13302.95138888889,0,979166.6666666667
,3,94,979166.6666666667,2855.9027777777783,10416.666666666668,13272.569444444445,0,968750.0000000001
,4,93,968750.0000000001,2825.520833333334,10416.666666666668,13242.187500000002,0,958333.3333333335
,5,92,958333.3333333335,2795.1388888888896,10416.666666666668,13211.805555555558,0,947916.6666666669
,6,91,947916.6666666669,2764.7569444444453,10416.66666666667,13181.423611111115,0,937500.0000000002
,7,90,937500.0000000002,2734.375000000001,10416.66666666667,13151.041666666672,0,927083.3333333336
,8,89,927083.3333333336,2703.9930555555566,10416.66666666667,13120.659722222226,0,916666.666666667
,9,88,916666.666666667,2673.611111111112,10416.66666666667,13090.277777777781,0,906250.0000000003
,10,87,906250.0000000003,2643.229166666668,10416.666666666672,13059.89583333334,0,895833.3333333337
,11,86,895833.3333333337,2612.8472222222235,10416.666666666672,13029.513888888894,0,885416.6666666671
,12,85,885416.6666666671,2582.465277777779,10416.666666666672,12999.13194444445,0,875000.0000000005
,13,84,875000.0000000005,2552.083333333335,10416.666666666672,12968.750000000007,0,864583.3333333338
,14,83,864583.3333333338,2521.7013888888905,10416.666666666673,12938.368055555564,0,854166.6666666672
,15,82,854166.6666666672,2491.319444444446,10416.666666666673,12907.98611111112,0,843750.0000000006
,16,81,843750.0000000006,2460.937500000002,10416.666666666673,12877.604166666675,0,833333.333333334
,17,80,833333.333333334,2430.5555555555575,10416.666666666675,12847.222222222234,0,822916.6666666673
,18,79,822916.6666666673,2400.173611111113,10416.666666666675,12816.840277777788,0,812500.0000000007
,19,78,812500.0000000007,2369.791666666669,10416.666666666675,12786.458333333343,0,802083.3333333341
,20,77,802083.3333333341,2339.4097222222244,10416.666666666677,12756.076388888901,0,791666.6666666674
,21,76,791666.6666666674,2309.02777777778,10416.666666666677,12725.694444444456,0,781250.0000000008
,22,75,781250.0000000008,2278.6458333333358,10416.666666666677,12695.312500000013,0,770833.3333333342
,23,74,770833.3333333342,2248.2638888888914,10416.666666666679,12664.93055555557,0,760416.6666666676
,24,73,760416.6666666676,2217.881944444447,10416.666666666679,12634.548611111126,0,750000.0000000009
,25,72,750000.0000000009,2187.5000000000027,10416.666666666679,12604.166666666682,0,739583.3333333343
,26,71,739583.3333333343,2157.1180555555584,10416.66666666668,12573.784722222239,0,729166.6666666677
,27,70,729166.6666666677,2126.736111111114,10416.66666666668,12543.402777777796,0,718750.000000001
,28,69,718750.000000001,2096.3541666666697,10416.666666666682,12513.020833333352,0,708333.3333333344
,29,68,708333.3333333344,2065.9722222222254,10416.666666666682,12482.638888888909,0,697916.6666666678
,30,67,697916.6666666678,2035.5902777777812,10416.666666666684,12452.256944444465,0,687500.0000000012
,31,66,687500.0000000012,2005.208333333337,10416.666666666684,12421.875000000022,0,677083.3333333345
,32,65,677083.3333333345,1974.8263888888926,10416.666666666686,12391.493055555578,0,666666.6666666679
,33,64,666666.6666666679,1944.4444444444482,10416.666666666686,12361.111111111135,0,656250.0000000012
