input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה לא צמודה', 'amortization': 'קרן שווה', 'duration': 96, 'interest': 0.0425, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,96,1000000,3541.666666666667,10416.666666666666,13958.333333333332,0,989583.3333333334
,2,95,989583.3333333334,3504.774305555556,10416.666666666668,13921.440972222224,0,979166.6666666667
,3,94,979166.6666666667,3467.881944444445,10416.666666666668,13884.548611111113,0,968750.0000000001
,4,93,968750.0000000001,3430.989583333334,10416.666666666668,13847.656250000002,0,958333.3333333335
,5,92,958333.3333333335,3394.097222222223,10416.666666666668,13810.76388888889,0,947916.6666666669
,6,91,947916.6666666669,3357.204861111112,10416.66666666667,13773.871527777781,0,937500.0000000002
,7,90,937500.0000000002,3320.312500000001,10416.66666666667,13736.979166666672,0,927083.3333333336
,8,89,927083.3333333336,3283.42013888889,10416.66666666667,13700.08680555556,0,916666.666666667
,9,88,916666.666666667,3246.527777777779,10416.66666666667,13663.194444444449,0,906250.0000000003
,10,87,906250.0000000003,3209.6354166666683,10416.666666666672,13626.30208333334,0,895833.3333333337
,11,86,895833.3333333337,3172.743055555557,10416.666666666672,13589.409722222228,0,885416.6666666671
,12,85,885416.6666666671,3135.850694444446,10416.666666666672,13552.517361111117,0,875000.0000000005
,13,84,875000.0000000005,3098.9583333333353,10416.666666666672,13515.625000000007,0,864583.3333333338
,14,83,864583.3333333338,3062.0659722222244,10416.666666666673,13478.732638888898,0,854166.6666666672
,15,82,854166.6666666672,3025.173611111113,10416.666666666673,13441.840277777786,0,843750.0000000006
,16,81,843750.0000000006,2988.2812500000023,10416.666666666673,13404.947916666675,0,833333.333333334
,17,80,833333.333333334,2951.3888888888914,10416.666666666675,13368.055555555566,0,822916.6666666673
,18,79,822916.6666666673,2914.49652777778,10416.666666666675,13331.163194444456,0,812500.0000000007
,19,78,812500.0000000007,2877.6041666666692,10416.666666666675,13294.270833333345,0,802083.3333333341
,20,77,802083.3333333341,2840.7118055555584,10416.666666666677,13257.378472222235,0,791666.6666666674
