input_data,month,cur_duration,opening_balance,interest,month_payment,capital,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה צמודה', 'amortization': 'שפיצר', 'duration': 204, 'interest': 0.025, 'cpi': 0.02, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,204,1001666.6666666666,2086.8055555555557,6032.25640672696,3945.450851171405,1662.8686930258255,999384.084508521
,2,203,999384.084508521,2082.050176059419,6042.310167404841,3960.2599913454223,1659.039707528626,997082.8642247042
,3,202,997082.8642247042,2077.2559671348004,6052.3806843505145,3975.124717215714,1655.1795658458143,994762.9190733344
,4,201,994762.9190733344,2072.4227480694467,6062.467985491102,3990.045237421655,1651.2881230598548,992424.1619589727
,5,200,992424.1619589727,2067.5503374145264,6072.572098800255,4005.0217613857285,1647.365233662645,990066.5054312496
,6,199,990066.5054312496,2062.63855298177,6082.693052298256,4020.054499316486,1643.4107515532219,987689.8616834864
,7,198,987689.8616834864,2057.687211840597,6092.83087405209,4035.143662211493,1639.4245300354582,985294.1425513104
,8,197,985294.1425513104,2052.6961303152298,6102.98559217551,4050.28946186028,1635.4064218157503,982879.2595112658
,9,196,982879.2595112658,2047.6651239818036,6113.157234829137,4065.4921108473336,1631.3562790006974,980445.123679419
,10,195,980445.123679419,2042.5940076654563,6123.345830220519,4080.751822555063,1627.2739530947733,977991.6458099587
,11,194,977991.6458099587,2037.482595437414,6133.551406604221,4096.068811166807,1623.1592949979865,975518.7362937899
,12,193,975518.7362937899,2032.3307006120624,6143.773992281897,4111.443291669835,1619.0121550035335,973026.3051571236
,13,192,973026.3051571236,2027.1381357440075,6154.013615602368,4126.87547985836,1614.832382795442,970514.2620600606
,14,191,970514.2620600606,2021.9047126251262,6164.270304961707,4142.36559233658,1610.6198274462067,967982.5162951702
,15,190,967982.5162951702,2016.6302422816045,6174.544088803311,4157.913846521707,1606.3743374144142,965430.9767860628
,16,189,965430.9767860628,2011.3145349709641,6184.834995617983,4173.520460647019,1602.0957605423596,962859.5520859581
,17,188,962859.5520859581,2005.9574001790793,6195.143053944013,4189.185653764935,1597.7839440536552,960268.1503762468
,18,187,960268.1503762468,2000.5586466171808,6205.468292367255,4204.909645750075,1593.438734550828,957656.6794650475
,19,186,957656.6794650475,1995.118082218849,6215.810739521201,4220.692657302352,1589.0599780129087,955025.0467857581
,20,185,955025.0467857581,1989.635514136996,6226.170424087071,4236.534909950075,1584.6475197930135,952373.159395601
,21,184,952373.159395601,1984.1107487408353,6236.547374793886,4252.4366260530505,1580.2012046159134,949700.9239741638
,22,183,949700.9239741638,1978.5435916128413,6246.941620418542,4268.398028805701,1575.720876575597,947008.2468219337
,23,182,947008.2468219337,1972.933847545695,6257.3531897859075,4284.419342240212,1571.2063791328226,944295.0338588263
,24,181,944295.0338588263,1967.2813205392213,6267.782111768885,4300.500791229664,1566.6575551126612,941561.1906227092
,25,180,941561.1906227092,1961.585813797311,6278.228415288502,4316.642601491191,1562.0742467020302,938806.6222679201
,26,179,938806.6222679201,1955.8471297248334,6288.692129313984,4332.844999589151,1557.4562954472183,936031.2335637781
,27,178,936031.2335637781,1950.0650699245377,6299.173282862842,4349.108212938304,1552.8035422513997,933234.9288930912
,28,177,933234.9288930912,1944.23943519394,6309.671905000949,4365.432469807009,1548.1158273721403,930417.6122506564
,29,176,930417.6122506564,1938.3700255222006,6320.188024842616,4381.817999320416,1543.3929904188933,927579.1872417548
,30,175,927579.1872417548,1932.4566400869892,6330.721671550689,4398.2650314637,1538.6348703504852,924719.5570806416
,31,174,924719.5570806416,1926.4990772513368,6341.272874336611,4414.773797085274,1533.841305472594,921838.6245890289
,32,173,921838.6245890289,1920.4971345604768,6351.841662460505,4431.344527900028,1529.012133435215,918936.2921945641
,33,172,918936.2921945641,1914.4506087386753,6362.4280652312755,4447.9774564926,1524.1471912301192,916012.4619293016
,34,171,916012.4619293016,1908.359295686045,6373.032112006662,4464.672816320617,1519.2463151883017,913067.0354281693
,35,170,913067.0354281693,1902.2229904753526,6383.653832193339,4481.430841717987,1514.309340977419,910099.9139274288
,36,169,910099.9139274288,1896.0414873488098,6394.293255246997,4498.251767898188,1509.3361035992177,907110.9982631297
,37,168,907110.9982631297,1889.8145797148536,6404.950410672412,4515.135830957558,1504.3264373869538,904100.1888695591
,38,167,904100.1888695591,1883.5420601449148,6415.625328023532,4532.083267878617,1499.2801760028008,901067.3857776832
,39,166,901067.3857776832,1877.2237203701734,6426.318036903572,4549.094316533398,1494.1971524352498,898012.488613585
,40,165,898012.488613585,1870.859351278302,6437.028566965079,4566.1692156867775,1489.0771989964971,894935.3965968947
,41,164,894935.3965968947,1864.4487429101973,6447.756947910024,4583.308204999827,1483.920147319825,891836.0085392147
,42,163,891836.0085392147,1857.9916844566974,6458.503209489874,4600.511525033176,1478.7258283569695,888714.2228425385
,43,162,888714.2228425385,1851.4879642552885,6469.267381505694,4617.7794172504055,1473.4940723754803,885569.9374976635
,44,161,885569.9374976635,1844.937369786799,6480.049493808204,4635.112124021405,1468.2247089560703,882403.0500825982
,45,160,882403.0500825982,1838.3396876720797,6490.849576297886,4652.5098886258065,1462.9175669899541,879213.4577609623
,46,159,879213.4577609623,1831.6947036686715,6501.667658925051,4669.9729552563795,1457.5724746761766,876001.0572803821
,47,158,876001.0572803821,1825.0022026674628,6512.503771689927,4687.5015690224645,1452.1892595189329,872765.7449708787
,48,157,872765.7449708787,1818.2619686893306,6523.357944642747,4705.095975953416,1446.7677483248756,869507.4167432502
,49,156,869507.4167432502,1811.4737848817713,6534.23020788382,4722.756423002049,1441.3077672004138,866225.9680874486
,50,155,866225.9680874486,1804.6374335155178,6545.120591563627,4740.4831580481095,1435.809141549001,862921.2940709495
,51,154,862921.2940709495,1797.7526959811448,6556.029125882904,4758.276429901759,1430.2716960684131,859593.2893371163
,52,153,859593.2893371163,1790.819352785659,6566.955841092712,4776.136488307053,1424.6952547480155,856241.8481035572
,53,152,856241.8481035572,1783.8371835490775,6577.900767494533,4794.063583945455,1419.0796408660196,852866.8641604778
,54,151,852866.8641604778,1776.8059670009952,6588.86393544036,4812.057968439365,1413.4246769867307,849468.2308690251
,55,150,849468.2308690251,1769.7254809771357,6599.845375332763,4830.119894355627,1407.7301849577825,846045.8411596272
,56,149,846045.8411596272,1762.59550241589,6610.8451176249855,4848.249615209095,1401.9959859073635,842599.5875303255
,57,148,842599.5875303255,1755.415807354845,6621.863192821029,4866.447385466184,1396.2219002414322,839129.3620451008
,58,147,839129.3620451008,1748.1861709272932,6632.899631475731,4884.713460548438,1390.4077476409207,835635.0563321933
,59,146,835635.0563321933,1740.9063673587361,6643.9544641948605,4903.048096836124,1384.553347058929,832116.5615824162
,60,145,832116.5615824162,1733.576169963367,6655.027721635188,4921.451551671821,1378.6585167179073,828573.7685474623
,61,144,828573.7685474623,1726.1953511405463,6666.1194345045815,4939.924083364035,1372.7230741068304,825006.5675382051
,62,143,825006.5675382051,1718.7636823712605,6677.22963356209,4958.46595119083,1366.7468359783572,821414.8484229926
,63,142,821414.8484229926,1711.2809342145679,6688.35834961803,4977.0774154034625,1360.729618345982,817798.5006259352
,64,141,817798.5006259352,1703.7468763040315,6699.505613534064,4995.758737230032,1354.6712364811754,814157.4131251863
,65,140,814157.4131251863,1696.1612773441382,6710.671456223288,5014.51017887915,1348.5715049105122,810491.4744512177
,66,139,810491.4744512177,1688.5239051067035,6721.855908650329,5033.332003543625,1342.4302374127901,806800.5726850869
,67,138,806800.5726850869,1680.8345264272643,6733.059001831415,5052.224475404151,1336.247247016138,803084.5954566989
,68,137,803084.5954566989,1673.092907201456,6744.28076683447,5071.187859633014,1330.0223459951098,799343.429943061
,69,136,799343.429943061,1665.298812381377,6755.521234779198,5090.222422397821,1323.7553458677721,795576.962866531
,70,135,795576.962866531,1657.4520059719396,6766.780436837166,5109.328430865226,1317.4460573927763,791785.0804930585
,71,134,791785.0804930585,1649.5522510272053,6778.058404231897,5128.506153204691,1311.094290566423,787967.6686304202
,72,133,787967.6686304202,1641.599309646709,6789.35516823895,5147.755858592241,1304.6998546197135,784124.6126264477
,73,132,784124.6126264477,1633.592942971766,6800.670760186018,5167.077817214252,1298.262558015389,780255.7973672488
,74,131,780255.7973672488,1625.5329111817682,6812.005211452994,5186.472300271226,1291.7822084449626,776361.1072754225
,75,130,776361.1072754225,1617.4189734904637,6823.358553472089,5205.939579981625,1285.2586128257349,772440.4263082667
,76,129,772440.4263082667,1609.2508881422223,6834.730817727877,5225.479929585656,1278.6915772978018,768493.6379559787
,77,128,768493.6379559787,1601.0284124082891,6846.122035757422,5245.093623349133,1272.0809072210495,764520.6252398507
,78,127,764520.6252398507,1592.7513025830224,6857.532239150358,5264.780936567336,1265.426407172139,760521.2707104555
,79,126,760521.2707104555,1584.4193139801155,6868.961459548939,5284.542145568824,1258.7278809414777,756495.4564458281
,80,125,756495.4564458281,1576.0322009288084,6880.409728648193,5304.3775277193845,1251.9851315301812,752443.0640496389
,81,124,752443.0640496389,1567.5897167700812,6891.877078195944,5324.287361425862,1245.197961147022,748363.9746493602
,82,123,748363.9746493602,1559.0916138528337,6903.36353999294,5344.271926140106,1238.366171205367,744258.0688944255
,83,122,744258.0688944255,1550.5376435300532,6914.869145892931,5364.3315023628775,1231.4895623201046,740125.2269543827
,84,121,740125.2269543827,1541.927556154964,6926.393927802754,5384.46637164779,1224.5679343045583,735965.3285170395
,85,120,735965.3285170395,1533.2611010771657,6937.937917682427,5404.676816605261,1217.6010861673906,731778.2527866017
,86,119,731778.2527866017,1524.5380266387535,6949.501147545236,5424.963120906482,1210.588816109492,727563.8784818046
,87,118,727563.8784818046,1515.7580801704262,6961.0836494578125,5445.325569287386,1203.5309215208622,723322.0838340381
,88,117,723322.0838340381,1506.9210079875793,6972.685455540244,5465.764447552665,1196.4271989774759,719052.7465854629
,89,116,719052.7465854629,1498.026555386381,6984.306597966147,5486.280042579766,1189.2774442381387,714755.7439871214
,90,115,714755.7439871214,1489.0744666398361,6995.947108962761,5506.8726423229255,1182.081452241331,710430.9527970398
,91,114,710430.9527970398,1480.0644849938328,7007.607020811035,5527.542535817202,1174.8390171020376,706078.2492783245
,92,113,706078.2492783245,1470.9963526631761,7019.2863658457245,5548.290013182548,1167.5499321085701,701697.5091972506
,93,112,701697.5091972506,1461.8698108276053,7030.9851764554705,5569.115365627866,1160.2139897193713,697288.6078213421
,94,111,697288.6078213421,1452.684599627796,7042.703485082896,5590.0188854551,1152.8309815598118,692851.4199174468
,95,110,692851.4199174468,1443.4404581613476,7054.441324224702,5611.000866063354,1145.4006984189723,688385.8197498024
,96,109,688385.8197498024,1434.137124478755,7066.198726431746,5632.061601952991,1137.9229302464157,683891.6810780958
,97,108,683891.6810780958,1424.7743355793662,7077.975724309134,5653.201388729768,1130.3974661489435,679368.877155515
,98,107,679368.877155515,1415.3518274073228,7089.772350516321,5674.420523108998,1122.8240943873434,674817.2807267933
,99,106,674817.2807267933,1405.869334847486,7101.588637767187,5695.719302919701,1115.2026023731228,670236.7640262467
,100,105,670236.7640262467,1396.3265917213473,7113.424618830131,5717.098027108784,1107.53277666523,665627.1987758031
,101,104,665627.1987758031,1386.723330782923,7125.280326528188,5738.556995745265,1099.814402966763,660988.4561830246
,102,103,660988.4561830246,1377.0592837146346,7137.155793739071,5760.096510024436,1092.047266121667,656320.4069391219
,103,102,656320.4069391219,1367.3341811231705,7149.051053395305,5781.716872272134,1084.2311501114164,651622.9212169612
,104,101,651622.9212169612,1357.5477525353358,7160.9661384843,5803.418385948964,1076.3658380516872,646895.8686690639
,105,100,646895.8686690639,1347.699726393883,7172.901082048443,5825.20135565456,1068.4511121890157,642139.1184255984
,106,99,642139.1184255984,1337.78983005333,7184.855917185197,5847.066087131867,1060.4867538974443,637352.5390923639
