input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה צמודה', 'amortization': 'קרן שווה', 'duration': 84, 'interest': 0.04, 'cpi': 0.027999999999999997, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,84,1002333.3333333334,3341.1111111111113,11932.539682539684,15273.650793650795,2310.935185185185,992711.7288359789
,2,83,992711.7288359789,3309.03909611993,11960.382275132275,15269.421371252205,2288.419808641975,983039.7663694887
,3,82,983039.7663694887,3276.799221231629,11988.289833774252,15265.089055005881,2265.7867785833337,973317.2633142978
,4,81,973317.2633142978,3244.390877714326,12016.262510053059,15260.653387767385,2243.035668543237,963544.0364727878
,5,80,963544.0364727878,3211.813454909293,12044.300455909848,15256.113910819142,2220.1660507060487,953719.9020675841
,6,79,953719.9020675841,3179.0663402252803,12072.403823640305,15251.470163865586,2197.177495902535,943844.6757398463
,7,78,943844.6757398463,3146.1489191328214,12100.572765895466,15246.721685028288,2174.069573605885,933918.1725475567
,8,77,933918.1725475567,3113.0605751585226,12128.807435682555,15241.868010841077,2150.841851927706,923940.2069638019
,9,76,923940.2069638019,3079.8006898793396,12157.107986365814,15236.908676245153,2127.4938976140174,913910.5928750501
,10,75,913910.5928750501,3046.3686429168342,12185.474571667335,15231.843214584169,2104.0252760412263,903829.143579424
,11,74,903829.143579424,3012.763811931414,12213.907345667893,15226.671157599307,2080.4355512120974,893695.6717849681
,12,73,893695.6717849681,2978.9855726165606,12242.406462807783,15221.392035424344,2056.724285751707,883509.989607912
,13,72,883509.989607912,2945.0332986930403,12270.972077887667,15216.005376580708,2032.8910409033901,873271.9085709278
,14,71,873271.9085709278,2910.906361903093,12299.604346069405,15210.510707972498,2008.9353765246694,862981.2396013831
,15,70,862981.2396013831,2876.6041320046106,12328.303422876901,15204.907554881513,1984.856851083181,852637.7930295895
,16,69,852637.7930295895,2842.125976765298,12357.06946419695,15199.195440962249,1960.6550216525825,842241.3785870451
,17,68,842241.3785870451,2807.471261956817,12385.902626280076,15193.373888236893,1936.3294439084516,831791.8054046734
,18,67,831791.8054046734,2772.6393513489115,12414.803065741395,15187.442417090306,1911.8796721241745,821288.8820110562
,19,66,821288.8820110562,2737.629606703521,12443.770939561457,15181.400546264977,1887.3052591668209,810732.4163306616
,20,65,810732.4163306616,2702.441387768872,12472.806405087102,15175.247792855975,1862.605756493007,800122.2156820676
,21,64,800122.2156820676,2667.0740522735587,12501.909620032306,15168.983672305865,1837.7807141447488,789458.08677618
,22,63,789458.08677618,2631.5269559206,12531.080742479047,15162.607698399646,1812.8296807453019,778739.8357144461
,23,62,778739.8357144461,2595.7994523814873,12560.319930878164,15156.119383259651,1787.7522034949918,767967.267987063
,24,61,767967.267987063,2559.8908932902104,12589.627344050214,15149.518237340424,1762.5478281670298,757140.1884711798
,25,60,757140.1884711798,2523.800628237266,12619.00314118633,15142.803769423595,1737.216099103318,746258.4014290968
,26,59,746258.4014290968,2487.528004763656,12648.447481849098,15135.975486612755,1711.7565592102444,735321.710506458
,27,58,735321.710506458,2451.07236835486,12677.960525973413,15129.032894328273,1686.1687499544637,724329.9187304389
,28,57,724329.9187304389,2414.4330624347967,12707.54243386735,15121.975496302146,1660.4522113586668,713282.8285079303
,29,56,713282.8285079303,2377.6094283597677,12737.193366213041,15114.80279457281,1634.60648199734,702180.2416237146
