loan_type,interest_rate,loan_term_months,inflation_rate,loan_amount,channel,amortization_method,total_monthly_payments,total_mortgage_interest,total_investment_amount,total_investment_final_value,total_investment_profit,total_investment_taxes,total_investment_profit_after_tax,total_investment_net_value_after_tax,total_cost_interest_minus_profit,extraction_timestamp,source_file
זכאות,3.45,120,2.0,100000,זכאות,בוליט,120,38220.50,104930.60,150539.88,21186.01,7062.00,,143477.87,17034.48,20250724_234348,loan_זכאות_int_3.45_term_120_infl_2.0_summary.csv
זכאות,3.83,30,3.0,100000,זכאות,בוליט,30,9955.16,25188.84,27452.64,979.39,326.46,,27126.17,8975.76,20250724_232022,loan_זכאות_int_3.83_term_30_infl_3.0_summary.csv
משתנה צמודה כל 10,3.83,60,3.0,100000,משתנה צמודה כל 10,בוליט,360,186455.16,245128.98,879948.99,349876.73,116625.58,,763323.41,-163421.57,20250724_233333,loan_משתנה צמודה כל 10_int_3.83_term_60_infl_3.0_summary.csv
משתנה צמודה כל 5,3.55,360,2.0,100000,משתנה צמודה כל 5,בוליט,360,146007.53,285331.24,972324.80,377346.65,125782.22,,846542.59,-231339.11,20250725_004558,loan_משתנה צמודה כל 5_int_3.55_term_360_infl_2.0_summary.csv
קבועה צמודה,3.55,360,1.0,100000,קבועה צמודה,בוליט,360,124243.46,306955.82,1017914.40,389731.59,129910.53,,888003.87,-265488.13,20250725_004452,loan_קבועה צמודה_int_3.55_term_360_infl_1.0_summary.csv
דולר,3.83,60,4.0,100000,דולר,בוליט,60,19150.00,51969.17,61830.85,4369.97,1456.66,,60374.20,14780.03,20250724_233016,loan_דולר_int_3.83_term_60_infl_4.0_summary.csv
זכאות,3.67,210,2.0,100000,זכאות,בוליט,210,76951.08,174282.79,338434.33,81544.49,27181.50,,311252.83,-4593.41,20250725_000725,loan_זכאות_int_3.67_term_210_infl_2.0_summary.csv
דולר,3.63,270,2.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002457,loan_דולר_int_3.63_term_270_infl_2.0_summary.csv
קבועה צמודה,3.55,330,1.0,100000,קבועה צמודה,בוליט,330,112408.47,282780.96,837204.28,298319.22,99439.74,,737764.54,-185910.75,20250725_003701,loan_קבועה צמודה_int_3.55_term_330_infl_1.0_summary.csv
זכאות,3.83,30,2.0,100000,זכאות,בוליט,30,9826.39,25309.13,27580.17,982.51,327.50,,27252.67,8843.88,20250724_232009,loan_זכאות_int_3.83_term_30_infl_2.0_summary.csv
זכאות,3.45,120,4.0,100000,זכאות,בוליט,120,42475.43,100753.18,145288.10,20698.96,6899.65,,138388.44,21776.47,20250724_234414,loan_זכאות_int_3.45_term_120_infl_4.0_summary.csv
משתנה צמודה כל 5,3.55,330,4.0,100000,קבועה צמודה,בוליט,330,177973.74,217713.37,713071.76,268391.24,89463.75,,623608.02,-90417.50,20250725_003832,loan_משתנה צמודה כל 5_int_3.55_term_330_infl_4.0_summary.csv
