input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment,investment_final_value,investment_profit_after_tax,investment_net_value_after_tax
"{'number_program': 0, 'amount': 100000, 'chanel': 'דולר', 'amortization': 'בוליט', 'duration': 300, 'interest': 0.0363, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,300,100000,302.5,0,302.5,0,100000,1200,897.5,4843.73362040267,2226.893292150713,4101.435856352432
,2,299,100000,302.5,0,302.5,0,100000,1200,897.5,4816.50042673143,2209.927212272715,4079.8580226405247
,3,298,100000,302.5,0,302.5,0,100000,1200,897.5,4789.420347763777,2193.067459037039,4058.397861418097
,4,297,100000,302.5,0,302.5,0,100000,1200,897.5,4762.492522634371,2176.313407729489,4037.054720057875
,5,296,100000,302.5,0,302.5,0,100000,1200,897.5,4735.716095317968,2159.6644372144365,4015.8279495798224
,6,295,100000,302.5,0,302.5,0,100000,1200,897.5,4709.0902146022,2143.119929914534,3994.7169046306885
,7,294,100000,302.5,0,302.5,0,100000,1200,897.5,4682.614034060518,2126.679271790547,3973.720943463669
,8,293,100000,302.5,0,302.5,0,100000,1200,897.5,4656.286712025284,2110.3418523212995,3952.839427918184
,9,292,100000,302.5,0,302.5,0,100000,1200,897.5,4630.107411561015,2094.1070644837337,3932.071723399771
,10,291,100000,302.5,0,302.5,0,100000,1200,897.5,4604.075300437778,2077.9743047330785,3911.4171988600856
,11,290,100000,302.5,0,302.5,0,100000,1200,897.5,4578.189551104732,2061.9429729831363,3890.87522677702
,12,289,100000,302.5,0,302.5,0,100000,1200,897.5,4552.449340663822,2046.0124725866738,3870.4451831349306
,13,288,100000,302.5,0,302.5,0,100000,1200,897.5,4526.853850843616,2030.1822103159277,3850.126447404973
,14,287,100000,302.5,0,302.5,0,100000,1200,897.5,4501.4022679733,2014.4515963432216,3829.918402525559
,15,286,100000,302.5,0,302.5,0,100000,1200,897.5,4476.093782956801,1998.8200442216862,3809.820434882906
,16,285,100000,302.5,0,302.5,0,100000,1200,897.5,4450.927591247077,1983.2869708660958,3789.831934291711
,17,284,100000,302.5,0,302.5,0,100000,1200,897.5,4425.902892820532,1967.8517965338085,3769.952293975929
,18,283,100000,302.5,0,302.5,0,100000,1200,897.5,4401.018892151589,1952.5139448058135,3750.1809105496513
,19,282,100000,302.5,0,302.5,0,100000,1200,897.5,4376.2747981874,1937.2728425678897,3730.5171839981035
,20,281,100000,302.5,0,302.5,0,100000,1200,897.5,4351.669824322695,1922.1279199918636,3710.96051765874
,21,280,100000,302.5,0,302.5,0,100000,1200,897.5,4327.20318837478,1907.0786105169818,3691.510318202453
,22,279,100000,302.5,0,302.5,0,100000,1200,897.5,4302.874112558671,1892.1243508313783,3672.1659956148783
,23,278,100000,302.5,0,302.5,0,100000,1200,897.5,4278.681823462366,1877.2645808536568,3652.926963177814
,24,277,100000,302.5,0,302.5,0,100000,1200,897.5,4254.625552022263,1862.49874371457,3633.7926374507397
,25,276,100000,302.5,0,302.5,0,100000,1200,897.5,4230.704533498707,1847.8262857388042,3614.762438252439
,26,275,100000,302.5,0,302.5,0,100000,1200,897.5,4206.918007451682,1833.2466564268666,3595.835788642726
,27,274,100000,302.5,0,302.5,0,100000,1200,897.5,4183.2652177166365,1818.7593084370762,3577.012114904278
,28,273,100000,302.5,0,302.5,0,100000,1200,897.5,4159.7454123804455,1804.3636975676543,3558.290846524561
,29,272,100000,302.5,0,302.5,0,100000,1200,897.5,4136.357843757506,1790.059282738917,3539.6714161778673
,30,271,100000,302.5,0,302.5,0,100000,1200,897.5,4113.101768365971,1775.845525975569,3521.1532597074483
,31,270,100000,302.5,0,302.5,0,100000,1200,897.5,4089.976446904112,1761.7218923890948,3502.7358161077473
,32,269,100000,302.5,0,302.5,0,100000,1200,897.5,4066.9811442268174,1747.6878501602528,3484.418527506733
,33,268,100000,302.5,0,302.5,0,100000,1200,897.5,4044.115129322225,1733.7428705216669,3466.200839148336
,34,267,100000,302.5,0,302.5,0,100000,1200,897.5,4021.377675288478,1719.8864277405103,3448.082199374974
,35,266,100000,302.5,0,302.5,0,100000,1200,897.5,3998.7680593106234,1706.117999101301,3430.06205961019
,36,265,100000,302.5,0,302.5,0,100000,1200,897.5,3976.2855626376295,1692.4370648887793,3412.1398743413697
,37,264,100000,302.5,0,302.5,0,100000,1200,897.5,3953.9294705595394,1678.8431083708929,3394.315101102575
,38,263,100000,302.5,0,302.5,0,100000,1200,897.5,3931.6990723847493,1665.3356157818691,3376.5872004574594
,39,262,100000,302.5,0,302.5,0,100000,1200,897.5,3909.5936614174175,1651.9140763053933,3358.9556359822864
,40,261,100000,302.5,0,302.5,0,100000,1200,897.5,3887.6125349349954,1638.5779820578696,3341.419874249039
,41,260,100000,302.5,0,302.5,0,100000,1200,897.5,3865.7549941658935,1625.326828071788,3323.979384808631
