input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment,investment_final_value,investment_profit_after_tax,investment_net_value_after_tax
"{'number_program': 0, 'amount': 100000, 'chanel': 'זכאות', 'amortization': 'בוליט', 'duration': 30, 'interest': 0.0383, 'cpi': 0.04, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,30,100333.33333333333,320.23055555555555,0,320.23055555555555,334.44444444444446,100667.77777777777,1200,879.7694444444444,1036.0475077550695,68.35032058927425,1013.2640675586448
,2,29,100667.77777777777,321.2979907407407,0,321.2979907407407,335.55925925925925,101003.33703703702,1200,878.7020092592593,1028.9724983508875,65.6453139913846,1007.0907270204259
,3,28,101003.33703703702,322.3689840432099,0,322.3689840432099,336.67779012345676,101340.01482716048,1200,877.6310159567902,1021.9401518289994,62.966646839492796,1000.9512695491685
,4,27,101340.01482716048,323.4435473233539,0,323.4435473233539,337.8000494238683,101677.81487658435,1200,876.5564526766461,1014.9502216663835,60.314148802137225,994.8455053990044
,5,26,101677.81487658435,324.5216924810984,0,324.5216924810984,338.92604958861455,102016.74092617296,1200,875.4783075189016,1008.0024627414218,57.687650563642336,988.7732458868744
,6,25,102016.74092617296,325.60343145603537,0,325.60343145603537,340.05580308724325,102356.79672926021,1200,874.3965685439646,1001.0966313259848,55.08698381826818,982.7343033865621
,7,24,102356.79672926021,326.68877622755554,0,326.68877622755554,341.1893224308674,102697.98605169108,1200,873.3112237724445,994.2324850775618,52.51198126439584,976.7284913227631
,8,23,102697.98605169108,327.77773881498075,0,327.77773881498075,342.32662017230365,103040.31267186339,1200,872.2222611850193,987.409783031434,49.962476598744075,970.755624165186
,9,22,103040.31267186339,328.87033127769735,0,328.87033127769735,343.4677089062113,103383.7803807696,1200,871.1296687223027,980.6282855928945,47.43830451062047,964.8155174226877
,10,21,103383.7803807696,329.9665657152897,0,329.9665657152897,344.612601269232,103728.39298203883,1200,870.0334342847103,973.8877545295092,44.939300676203914,958.9079876374412
,11,20,103728.39298203883,331.066454267674,0,331.066454267674,345.7613099401295,104074.15429197896,1200,868.933545732326,967.1879529634234,42.465301752860654,953.0328523791366
,12,19,104074.15429197896,332.17000911523286,0,332.17000911523286,346.9138476399299,104421.06813961889,1200,867.8299908847671,960.5286453637104,40.01614537349147,947.1899302392133
,13,18,104421.06813961889,333.2772424789503,0,333.2772424789503,348.070227132063,104769.13836675095,1200,866.7227575210497,953.909597538764,37.59167014091193,941.3790408251267
,14,17,104769.13836675095,334.3881666205468,0,334.3881666205468,349.2304612225032,105118.36882797345,1200,865.6118333794532,947.3305766287328,35.1917156222643,935.6000047546447
,15,16,105118.36882797345,335.5027938426153,0,335.5027938426153,350.39456275991154,105468.76339073337,1200,864.4972061573847,940.7913510979996,32.8161223434613,929.8526436501792
,16,15,105468.76339073337,336.6211364887574,0,336.6211364887574,351.5625446357779,105820.32593536914,1200,863.3788635112426,934.2916907276992,30.4647317836602,924.1367801331459
,17,14,105820.32593536914,337.7432069437199,0,337.7432069437199,352.73441978456384,106173.0603551537,1200,862.2567930562801,927.831366608283,28.137386369771264,918.4522378183592
,18,13,106173.0603551537,338.8690176335323,0,338.8690176335323,353.9102011838457,106526.97055633755,1200,861.1309823664677,921.4101511321205,25.833929470993326,912.7988413084561
,19,12,106526.97055633755,339.998581025644,0,339.998581025644,355.0899018544585,106882.060458192,1200,860.001418974356,915.0278179861469,23.554205393384336,907.1764161883522
,20,11,106882.060458192,341.1319096290628,0,341.1319096290628,356.27353486064004,107238.33399305264,1200,858.8680903709371,908.6841421445502,21.298059374460507,901.58478901973
,21,10,107238.33399305264,342.26901599449303,0,342.26901599449303,357.4611133101755,107595.79510636281,1200,857.730984005507,902.3788998614981,19.065337577825716,896.0237873355562
,22,9,107595.79510636281,343.4099127144747,0,343.4099127144747,358.65265035454274,107954.44775671736,1200,856.5900872855253,896.1118686639091,16.855887087834418,890.493239634631
,23,8,107954.44775671736,344.55461242352294,0,344.55461242352294,359.84815918905787,108314.29591590642,1200,855.4453875764771,889.8828273442614,14.669555904280656,884.9929753761678
,24,7,108314.29591590642,345.703127798268,0,345.703127798268,361.0476530530214,108675.34356895945,1200,854.296872201732,883.6915559534439,12.50619293712083,879.5228249744036
,25,6,108675.34356895945,346.8554715575956,0,346.8554715575956,362.25114522986485,109037.59471418931,1200,853.1445284424044,877.537835793647,10.365648001224855,874.0826197932387
,26,5,109037.59471418931,348.0116564627876,0,348.0116564627876,363.45864904729774,109401.05336323661,1200,851.9883435372124,871.4214494112933,8.247771811157094,868.6721921409077
,27,4,109401.05336323661,349.17169531766353,0,349.17169531766353,364.6701778774554,109765.72354111407,1200,850.8283046823365,865.3421805900089,6.152415975987282,863.2913752646798
,28,3,109765.72354111407,350.3356009687224,0,350.3356009687224,365.8857451370469,110131.60928625111,1200,849.6643990312775,859.2998143436323,4.079432994131309,857.9400033455886
,29,2,110131.60928625111,351.50338630528483,0,351.50338630528483,367.10536428750373,110498.71465053862,1200,848.4966136947152,853.2941369092662,2.0286762482203073,852.6179114931928
,30,1,110498.71465053862,352.6750642596358,110498.71465053862,110851.38971479825,0,0,1200,0,0.0,0.0,0.0
