input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment,investment_final_value,investment_profit_after_tax,investment_net_value_after_tax
"{'number_program': 0, 'amount': 100000, 'chanel': 'משתנה צמודה כל 5', 'amortization': 'בוליט', 'duration': 240, 'interest': 0.036699999999999997, 'cpi': 0.03, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,240,100250,306.59791666666666,0,306.59791666666666,250.625,100500.625,1200,893.4020833333334,3437.746641312734,1371.0996325366698,2980.713430467177
,2,239,100500.625,307.3644114583333,0,307.3644114583333,251.2515625,100751.8765625,1200,892.6355885416667,3415.48557275989,1358.40699139935,2962.6832422934403
,3,238,100751.8765625,308.13282248697914,0,308.13282248697914,251.87969140625,101003.75625390625,1200,891.8671775130208,3393.3588624286795,1345.8053051079498,2944.7570940593628
,4,237,101003.75625390625,308.9031545431966,0,308.9031545431966,252.50939063476562,101256.26564454101,1200,891.0968454568034,3371.365726058864,1333.2940096124426,2926.934389521383
,5,236,101256.26564454101,309.67541242955457,0,309.67541242955457,253.14066411135252,101509.40630865237,1200,890.3245875704454,3349.5053838900812,1320.8725441783072,2909.2145358306457
,6,235,101509.40630865237,310.44960096062846,0,310.44960096062846,253.7735157716309,101763.179824424,1200,889.5503990393715,3327.7770606362637,1308.5403513674878,2891.5969435137677
,7,234,101763.179824424,311.2257249630301,0,311.2257249630301,254.40794956106,102017.58777398507,1200,888.7742750369699,3306.1799854601973,1296.2968770194589,2874.081026453711
,8,233,102017.58777398507,312.00378927543767,0,312.00378927543767,255.0439694349627,102272.63174342003,1200,887.9962107245624,3284.713391948229,1284.1415702324005,2856.666201870762
,9,232,102272.63174342003,312.7837987486262,0,312.7837987486262,255.6815793585501,102528.31332277859,1200,887.2162012513738,3263.3765180851105,1272.0738833444775,2839.351890303618
,10,231,102528.31332277859,313.5657582454978,0,313.5657582454978,256.32078330694645,102784.63410608553,1200,886.4342417545022,3242.168606228993,1260.093271915229,2822.1375155905835
,11,230,102784.63410608553,314.34967264111157,0,314.34967264111157,256.96158526521384,103041.59569135075,1200,885.6503273588885,3221.0889030865587,1248.1991947070621,2805.0225048508714
,12,229,103041.59569135075,315.1355468227144,0,315.1355468227144,257.6039892283769,103299.19968057913,1200,884.8644531772857,3200.136659688289,1236.391113666847,2788.0062884660065
,13,228,103299.19968057913,315.9233856897711,0,315.9233856897711,258.24799920144784,103557.44767978057,1200,884.0766143102289,3179.311131363881,1224.6684939076226,2771.0883000613403
,14,227,103557.44767978057,316.7131941539955,0,316.7131941539955,258.89361919945145,103816.34129898003,1200,883.2868058460044,3158.611577717798,1213.030803690403,2754.2679764876634
,15,226,103816.34129898003,317.50497713938057,0,317.50497713938057,259.54085324745006,104075.88215222748,1200,882.4950228606194,3138.0372626049593,1201.4775144060882,2737.54475780293
,16,225,104075.88215222748,318.298739582229,0,318.298739582229,260.1897053805687,104336.07185760805,1200,881.701260417771,3117.5874541065673,1190.0081005574755,2720.9180872540755
,17,224,104336.07185760805,319.0944864311846,0,319.0944864311846,260.84017964402017,104596.91203725207,1200,880.9055135688154,3097.261424506072,1178.6220397413772,2704.3874112589465
,18,223,104596.91203725207,319.89222264726254,0,319.89222264726254,261.4922800931302,104858.4043173452,1200,880.1077773527375,3077.058450265271,1167.3188126308353,2687.952179388326
,19,222,104858.4043173452,320.6919532038807,0,320.6919532038807,262.14601079336296,105120.55032813856,1200,879.3080467961192,3056.977812000544,1156.0979029574414,2671.6118443480636
,20,221,105120.55032813856,321.4936830868904,0,321.4936830868904,262.8013758203464,105383.3517039589,1200,878.5063169131096,3037.018794459226,1144.9587974937551,2655.3658619613075
,21,220,105383.3517039589,322.2974172946076,0,322.2974172946076,263.45837925989724,105646.8100832188,1200,877.7025827053924,3017.180686496105,1133.9009860358208,2639.2136911508314
,22,219,105646.8100832188,323.10316083784414,0,323.10316083784414,264.11702520804704,105910.92710842685,1200,876.8968391621559,2997.462781050064,1122.923961385787,2623.154793921469
,23,218,105910.92710842685,323.9109187399388,0,323.9109187399388,264.77731777106715,106175.70442619792,1200,876.0890812600612,2977.8643751208483,1112.0272193346234,2607.1886353426407
,24,217,106175.70442619792,324.7206960367886,0,324.7206960367886,265.4392610654948,106441.14368726341,1200,875.2793039632114,2958.384769745964,1101.2102586449357,2591.3146835309853
,25,216,106441.14368726341,325.5324977768806,0,325.5324977768806,266.1028592181585,106707.24654648156,1200,874.4675022231195,2939.0232699777102,1090.4725810338764,2575.5324096330846
,26,215,106707.24654648156,326.34632902132273,0,326.34632902132273,266.7681163662039,106974.01466284777,1200,873.6536709786773,2919.7791848603397,1079.8136911561567,2559.8412878082872
,27,214,106974.01466284777,327.1621948438761,0,327.1621948438761,267.43503665711944,107241.44969950488,1200,872.837805156124,2900.6518274073487,1069.233096587152,2544.2407952116314
,28,213,107241.44969950488,327.98010033098575,0,327.98010033098575,268.10362424876223,107509.55332375364,1200,872.0198996690142,2881.6405145788967,1058.7303078061047,2528.730411976862
,29,212,107509.55332375364,328.8000505818132,0,328.8000505818132,268.77388330938413,107778.32720706303,1200,871.1999494181869,2862.7445672593526,1048.304838179422,2513.3096211995453
,30,211,107778.32720706303,329.62205070826775,0,329.62205070826775,269.4458180176576,108047.77302508069,1200,870.3779492917322,2843.9633102349644,1037.956203944067,2497.9779089202752
,31,210,108047.77302508069,330.4461058350384,0,330.4461058350384,270.1194325627017,108317.8924576434,1200,869.5538941649615,2825.2960721716668,1027.6839241910504,2482.734764107983
,32,209,108317.8924576434,331.272221099626,0,331.272221099626,270.7947311441085,108588.6871887875,1200,868.727778900374,2806.7421855929997,1017.4875208490071,2467.5796786433307
,33,208,108588.6871887875,332.10040165237507,0,332.10040165237507,271.47171797196876,108860.15890675948,1200,867.899598347625,2788.300986858161,1007.3665186678725,2452.5121473022036
,34,207,108860.15890675948,332.930652656506,0,332.930652656506,272.1503972668987,109132.30930402638,1200,867.069347343494,2769.971816140183,997.320445202651,2437.5316677392993
,35,206,109132.30930402638,333.7629792881473,0,333.7629792881473,272.83077326006594,109405.14007728644,1200,866.2370207118527,2751.7540174042274,987.3488307972741,2422.6377404718028
,36,205,109405.14007728644,334.5973867363677,0,334.5973867363677,273.51285019321614,109678.65292747966,1200,865.4026132636322,2733.646938386009,977.4512085685525,2407.829868863158
,37,204,109678.65292747966,335.4338802032086,0,335.4338802032086,274.1966323186992,109952.84955979836,1200,864.5661197967913,2715.649930570337,967.6271143902188,2393.1075591069307
,38,203,109952.84955979836,336.2724649037166,0,336.2724649037166,274.8821238994959,110227.73168369786,1200,863.7275350962834,2697.762349169782,957.8760868770617,2378.470320210761
,39,202,110227.73168369786,337.1131460659759,0,337.1131460659759,275.56932920924464,110503.3010129071,1200,862.8868539340241,2679.983553103457,948.1976673691483,2363.9176639804073
,40,201,110503.3010129071,337.9559289311409,0,337.9559289311409,276.25825253226776,110779.55926543937,1200,862.0440710688591,2662.3129049759277,938.5913999161386,2349.4491050038814
,41,200,110779.55926543937,338.8008187534687,0,338.8008187534687,276.9488981635984,111056.50816360296,1200,861.1991812465312,2644.7497710562347,929.0568312616882,2335.064160635672
,42,199,111056.50816360296,339.64782080035235,0,339.64782080035235,277.6412704090074,111334.14943401197,1200,860.3521791996477,2627.293521257038,919.5935108279396,2320.762350981058
,43,198,111334.14943401197,340.49694035235325,0,340.49694035235325,278.3353735850299,111612.484807597,1200,859.5030596476468,2609.9435291138757,910.2009907001005,2306.543198880509
,44,197,111612.484807597,341.3481827032341,0,341.3481827032341,279.0312120189925,111891.51601961598,1200,858.6518172967659,2592.6991717645487,900.8788256111138,2292.4062298941776
,45,196,111891.51601961598,342.2015531599922,0,342.2015531599922,279.72879004903996,112171.24480966502,1200,857.7984468400077,2575.5598299286116,891.6265729264106,2278.3509722864746
,46,195,112171.24480966502,343.05705704289215,0,343.05705704289215,280.42811202416254,112451.67292168918,1200,856.9429429571078,2558.524887886986,882.4437926287503,2264.376957010736
,47,194,112451.67292168918,343.9146996854994,0,343.9146996854994,281.129182304223,112732.80210399341,1200,856.0853003145006,2541.5937334616888,873.3300473031506,2250.483717693972
,48,193,112732.80210399341,344.77448643471314,0,344.77448643471314,281.83200525998353,113014.6341092534,1200,855.2255135652869,2524.7657579956713,864.284902121899,2236.670790621705
,49,192,113014.6341092534,345.63642265079994,0,345.63642265079994,282.5365852731335,113297.17069452653,1200,854.3635773492001,2508.040356332779,855.3079248296519,2222.937714722895
,50,191,113297.17069452653,346.50051370742693,0,346.50051370742693,283.24292673631635,113580.41362126285,1200,853.499486292573,2491.4169267978186,846.3986857286179,2209.284031554946
,51,190,113580.41362126285,347.3667649916955,0,347.3667649916955,283.9510340531571,113864.364655316,1200,852.6332350083045,2474.894871176741,837.556757663825,2195.7092852887995
,52,189,113864.364655316,348.23518190417474,0,348.23518190417474,284.66091163829003,114149.0255669543,1200,851.7648180958253,2458.4735946969377,828.7817160084742,2182.213022694113
,53,188,114149.0255669543,349.1057698589352,0,349.1057698589352,285.3725639173858,114434.39813087168,1200,850.8942301410648,2442.1525060076424,820.0731386493701,2168.794793124519
,54,187,114434.39813087168,349.9785342835825,0,349.9785342835825,286.0859953271792,114720.48412619885,1200,850.0214657164174,2425.9310171604534,811.4306059724424,2155.4541485029727
,55,186,114720.48412619885,350.8534806192914,0,350.8534806192914,286.80121031549714,115007.28533651434,1200,849.1465193807086,2409.808543589958,802.853700848344,2142.1906433071767
,56,185,115007.28533651434,351.73061432083966,0,351.73061432083966,287.51821334128584,115294.80354985563,1200,848.2693856791603,2393.784504094469,794.3420086181341,2129.003834555091
,57,184,115294.80354985563,352.60994085664174,0,352.60994085664174,288.23700887463906,115583.04055873027,1200,847.3900591433583,2377.8583208168734,785.8951170790399,2115.893281790527
,58,183,115583.04055873027,353.4914657087834,0,353.4914657087834,288.9576013968257,115871.9981601271,1200,846.5085342912166,2362.0294192255856,777.5126164703041,2102.8585470688176
,59,182,115871.9981601271,354.37519437305536,0,354.37519437305536,289.67999540031775,116161.67815552742,1200,845.6248056269446,2346.2972280956087,769.1940994591066,2089.899194942573
,60,181,116161.67815552742,355.261132358988,0,355.261132358988,290.40419538881855,116452.08235091624,1200,844.738867641012,2330.6611794897067,760.9391611265727,2077.014792447516
