input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment,investment_final_value,investment_profit_after_tax,investment_net_value_after_tax
"{'number_program': 0, 'amount': 100000, 'chanel': 'משתנה צמודה כל שנה', 'amortization': 'בוליט', 'duration': 60, 'interest': 0.0383, 'cpi': 0.04, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,60,100333.33333333333,320.23055555555555,0,320.23055555555555,334.44444444444446,100667.77777777777,1200,879.7694444444444,1226.9846075632615,157.19988340899837,1174.5846464269287
,2,59,100667.77777777777,321.2979907407407,0,321.2979907407407,335.55925925925925,101003.33703703702,1200,878.7020092592593,1218.6057180120417,153.71647196159435,1167.3668940248435
,3,58,101003.33703703702,322.3689840432099,0,322.3689840432099,336.67779012345676,101340.01482716048,1200,877.6310159567902,1210.277353846479,150.26486291407622,1160.1890662084536
,4,57,101340.01482716048,323.4435473233539,0,323.4435473233539,337.8000494238683,101677.81487658435,1200,876.5564526766461,1201.9992231108954,146.84485297724487,1153.050938785147
,5,56,101677.81487658435,324.5216924810984,0,324.5216924810984,338.92604958861455,102016.74092617296,1200,875.4783075189016,1193.7710355092865,143.45624006868397,1145.9522888197253
,6,55,102016.74092617296,325.60343145603537,0,325.60343145603537,340.05580308724325,102356.79672926021,1200,874.3965685439646,1185.5925023959467,140.09882330582252,1138.892894627339
,7,54,102356.79672926021,326.68877622755554,0,326.68877622755554,341.1893224308674,102697.98605169108,1200,873.3112237724445,1177.4633367661509,136.77240299904042,1131.8725357664707
,8,53,102697.98605169108,327.77773881498075,0,327.77773881498075,342.32662017230365,103040.31267186339,1200,872.2222611850193,1169.3832532468841,133.47678064480888,1124.8909930319478
,9,52,103040.31267186339,328.87033127769735,0,328.87033127769735,343.4677089062113,103383.7803807696,1200,871.1296687223027,1161.3519680876277,130.21175891887356,1117.9480484480032
,10,51,103383.7803807696,329.9665657152897,0,329.9665657152897,344.612601269232,103728.39298203883,1200,870.0334342847103,1153.369199151195,126.97714166947358,1111.0434852613705
,11,50,103728.39298203883,331.066454267674,0,331.066454267674,345.7613099401295,104074.15429197896,1200,868.933545732326,1145.4346659046184,123.77273391060044,1104.1770879344183
,12,49,104074.15429197896,332.17000911523286,0,332.17000911523286,346.9138476399299,104421.06813961889,1200,867.8299908847671,1137.5480894100888,120.59834181529482,1097.3486421383238
,13,48,104421.06813961889,333.2772424789503,0,333.2772424789503,348.070227132063,104769.13836675095,1200,866.7227575210497,1129.7091923159467,117.45377270898214,1090.557934746286
,14,47,104769.13836675095,334.3881666205468,0,334.3881666205468,349.2304612225032,105118.36882797345,1200,865.6118333794532,1121.9176988477213,114.33883506284474,1083.804753826773
,15,46,105118.36882797345,335.5027938426153,0,335.5027938426153,350.39456275991154,105468.76339073337,1200,864.4972061573847,1114.173334799223,111.25333848723167,1077.0888886368125
,16,45,105468.76339073337,336.6211364887574,0,336.6211364887574,351.5625446357779,105820.32593536914,1200,863.3788635112426,1106.4758275236854,108.1970937251082,1070.410129615316
,17,44,105820.32593536914,337.7432069437199,0,337.7432069437199,352.73441978456384,106173.0603551537,1200,862.2567930562801,1098.8249059249556,105.16991264553911,1063.7682683764426
