input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment,investment_final_value,investment_profit_after_tax,investment_net_value_after_tax
"{'number_program': 0, 'amount': 100000, 'chanel': 'קבועה לא צמודה', 'amortization': 'בוליט', 'duration': 150, 'interest': 0.0483, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,150,100000,402.5,0,402.5,0,100000,1200,797.5,1847.47795401228,522.2572690365371,1673.3921976667675
,2,149,100000,402.5,0,402.5,0,100000,1200,797.5,1837.0907756767424,516.5909038408663,1664.8938077297869
,3,148,100000,402.5,0,402.5,0,100000,1200,797.5,1826.7619977532588,510.9631134390059,1656.4409599402568
,4,147,100000,402.5,0,402.5,0,100000,1200,797.5,1816.4912918939349,505.37366442585915,1648.033403751982
,5,146,100000,402.5,0,402.5,0,100000,1200,797.5,1806.278331596966,499.82232474926934,1639.670890013876
,6,145,100000,402.5,0,402.5,0,100000,1200,797.5,1796.1227921962557,494.30886370231036,1631.3531709621523
,7,144,100000,402.5,0,402.5,0,100000,1200,797.5,1786.0243508510976,488.833051915626,1623.0800002125557
,8,143,100000,402.5,0,402.5,0,100000,1200,797.5,1775.982686535909,483.39466134980836,1614.8511327526394
,9,142,100000,402.5,0,402.5,0,100000,1200,797.5,1765.9974800300276,477.9934652878212,1606.6663249340872
,10,141,100000,402.5,0,402.5,0,100000,1200,797.5,1756.068413907564,472.62923832746765,1598.5253344650748
,11,140,100000,402.5,0,402.5,0,100000,1200,797.5,1746.1951725273095,467.30175637389743,1590.427920402677
,12,139,100000,402.5,0,402.5,0,100000,1200,797.5,1736.3774420227023,462.01079663215825,1582.3738431453162
,13,138,100000,402.5,0,402.5,0,100000,1200,797.5,1726.6149102918507,456.75613759978904,1574.3628644252544
,14,137,100000,402.5,0,402.5,0,100000,1200,797.5,1716.90726698761,451.53755905945553,1566.3947473011249
,15,136,100000,402.5,0,402.5,0,100000,1200,797.5,1707.2542035077188,446.3548420716266,1558.4692561505099
,16,135,100000,402.5,0,402.5,0,100000,1200,797.5,1697.6554129849858,441.20776896729177,1550.5861566625551
,17,134,100000,402.5,0,402.5,0,100000,1200,797.5,1688.1105902775382,436.09612334072244,1542.7452158306307
,18,133,100000,402.5,0,402.5,0,100000,1200,797.5,1678.6194319591177,431.01969004227,1534.9462019450277
,19,132,100000,402.5,0,402.5,0,100000,1200,797.5,1669.1816363094372,425.97825517120776,1527.1888845857013
,20,131,100000,402.5,0,402.5,0,100000,1200,797.5,1659.7969033045879,420.9716060686132,1519.4730346150502
,21,130,100000,402.5,0,402.5,0,100000,1200,797.5,1650.4649346075025,415.9995313102884,1511.7984241707397
,22,129,100000,402.5,0,402.5,0,100000,1200,797.5,1641.1854335584712,411.0618206997228,1504.1648266585637
,23,128,100000,402.5,0,402.5,0,100000,1200,797.5,1631.9581051657099,406.1582652610942,1496.572016745345
,24,127,100000,402.5,0,402.5,0,100000,1200,797.5,1622.7826560959836,401.28865723231024,1489.0197703518802
,25,126,100000,402.5,0,402.5,0,100000,1200,797.5,1613.658794665281,396.4527900580888,1481.507864645918
,26,125,100000,402.5,0,402.5,0,100000,1200,797.5,1604.586230829542,391.6504583830779,1474.0360780351828
,27,124,100000,402.5,0,402.5,0,100000,1200,797.5,1595.5646761754379,386.8814580450137,1466.6041901604333
,28,123,100000,402.5,0,402.5,0,100000,1200,797.5,1586.5938439112017,382.145586067919,1459.2119818885621
,29,122,100000,402.5,0,402.5,0,100000,1200,797.5,1577.6734488575123,377.4426406553377,1451.8592353057331
,30,121,100000,402.5,0,402.5,0,100000,1200,797.5,1568.8032074384278,372.7724211836096,1444.545733710558
,31,120,100000,402.5,0,402.5,0,100000,1200,797.5,1559.982837672371,368.1347281951819,1437.2712616073104
,32,119,100000,402.5,0,402.5,0,100000,1200,797.5,1551.2120591631663,363.5293633919603,1430.0356046991794
,33,118,100000,402.5,0,402.5,0,100000,1200,797.5,1542.490593091124,358.9561296286949,1422.8385498815592
,34,117,100000,402.5,0,402.5,0,100000,1200,797.5,1533.8181622041789,354.4148309064062,1415.6798852353768
,35,116,100000,402.5,0,402.5,0,100000,1200,797.5,1525.1944908090748,349.9052723658474,1408.559400020459
,36,115,100000,402.5,0,402.5,0,100000,1200,797.5,1516.6193047626014,345.4272602810029,1401.4768846689337
,37,114,100000,402.5,0,402.5,0,100000,1200,797.5,1508.0923314628794,340.98060205262453,1394.4321307786713
,38,113,100000,402.5,0,402.5,0,100000,1200,797.5,1499.6132998406936,336.5651062018037,1387.424931106759
,39,112,100000,402.5,0,402.5,0,100000,1200,797.5,1491.1819403508766,332.18058236358104,1380.4550795630162
,40,111,100000,402.5,0,402.5,0,100000,1200,797.5,1482.79798496374,327.82684128059003,1373.5223712035433
,41,110,100000,402.5,0,402.5,0,100000,1200,797.5,1474.4611671565538,323.50369479673986,1366.6266022243071
,42,109,100000,402.5,0,402.5,0,100000,1200,797.5,1466.1712219050728,319.21095585093053,1359.7675699547626
,43,108,100000,402.5,0,402.5,0,100000,1200,797.5,1457.9278856751132,314.9484384708053,1352.9450728515114
,44,107,100000,402.5,0,402.5,0,100000,1200,797.5,1449.7308964141741,310.71595776653976,1346.1589104919942
,45,106,100000,402.5,0,402.5,0,100000,1200,797.5,1441.5799935431066,306.5133299246626,1339.4088835682192
,46,105,100000,402.5,0,402.5,0,100000,1200,797.5,1433.4749179478308,302.3403722019148,1332.6947938805258
,47,104,100000,402.5,0,402.5,0,100000,1200,797.5,1425.415411971098,298.1969029191411,1326.0164443313843
,48,103,100000,402.5,0,402.5,0,100000,1200,797.5,1417.4012194043005,294.08274145521824,1319.3736389192277
,49,102,100000,402.5,0,402.5,0,100000,1200,797.5,1409.4320854793266,289.99770824101523,1312.7661827323216
,50,101,100000,402.5,0,402.5,0,100000,1200,797.5,1401.5077568604613,285.9416247533891,1306.193881942665
,51,100,100000,402.5,0,402.5,0,100000,1200,797.5,1393.6279816363335,281.9143135092155,1299.6565437999284
,52,99,100000,402.5,0,402.5,0,100000,1200,797.5,1385.7925093119065,277.9155980594502,1293.1539766254232
,53,98,100000,402.5,0,402.5,0,100000,1200,797.5,1378.0010908005174,273.9453029832283,1286.685989806108
,54,97,100000,402.5,0,402.5,0,100000,1200,797.5,1370.253478415956,270.0032538819928,1280.2523937886249
,55,96,100000,402.5,0,402.5,0,100000,1200,797.5,1362.5494258645917,266.0892773736585,1273.8530000733722
,56,95,100000,402.5,0,402.5,0,100000,1200,797.5,1354.8886882375461,262.20320108681005,1267.4876212086094
,57,94,100000,402.5,0,402.5,0,100000,1200,797.5,1347.2710220029035,258.3448536549285,1261.156070784594
,58,93,100000,402.5,0,402.5,0,100000,1200,797.5,1339.6961849979728,254.5140647106567,1254.8581634277539
,59,92,100000,402.5,0,402.5,0,100000,1200,797.5,1332.1639364215869,250.71066488009166,1248.5937147948896
,60,91,100000,402.5,0,402.5,0,100000,1200,797.5,1324.6740368264493,246.93448577711237,1242.3625415674119
,61,90,100000,402.5,0,402.5,0,100000,1200,797.5,1317.2262481115204,243.1853599977383,1236.1644614456077
,62,89,100000,402.5,0,402.5,0,100000,1200,797.5,1309.8203335144499,239.46312111452073,1229.9992931429429
,63,88,100000,402.5,0,402.5,0,100000,1200,797.5,1302.4560576040499,235.76760367096554,1223.8668563803947
,64,87,100000,402.5,0,402.5,0,100000,1200,797.5,1295.13318627281,232.0986431759871,1217.7669718808143
,65,86,100000,402.5,0,402.5,0,100000,1200,797.5,1287.8514867294555,228.4560760983935,1211.6994613633242
,66,85,100000,402.5,0,402.5,0,100000,1200,797.5,1280.6107274915476,224.83973986140498,1205.664147537746
,67,84,100000,402.5,0,402.5,0,100000,1200,797.5,1273.4106783781233,221.24947283719985,1199.6608540990567
,68,83,100000,402.5,0,402.5,0,100000,1200,797.5,1266.2511105023793,217.6851143414944,1193.6894057218813
,69,82,100000,402.5,0,402.5,0,100000,1200,797.5,1259.131796264396,214.1465046281529,1187.7496280550117
,70,81,100000,402.5,0,402.5,0,100000,1200,797.5,1252.0525093438998,210.63348488382576,1181.841347715958
,71,80,100000,402.5,0,402.5,0,100000,1200,797.5,1245.013024693072,207.14589722262187,1175.9643922855314
,72,79,100000,402.5,0,402.5,0,100000,1200,797.5,1238.0131185293917,203.68358468080712,1170.118590302456
,73,78,100000,402.5,0,402.5,0,100000,1200,797.5,1231.0525683285236,200.24639121153723,1164.3037712580112
,74,77,100000,402.5,0,402.5,0,100000,1200,797.5,1224.131152817243,196.83416167961596,1158.5197655907043
