input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment,investment_final_value,investment_profit_after_tax,investment_net_value_after_tax
"{'number_program': 0, 'amount': 100000, 'chanel': 'קבועה צמודה', 'amortization': 'בוליט', 'duration': 180, 'interest': 0.0335, 'cpi': 0.01, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,180,100083.33333333333,279.39930555555554,0,279.39930555555554,83.40277777777779,100166.73611111111,1200,920.6006944444445,2525.685757898603,821.2113423096458,2251.9486437953874
,2,179,100166.73611111111,279.63213831018516,0,279.63213831018516,83.4722800925926,100250.2083912037,1200,920.3678616898148,2510.850264305983,812.9953718496088,2239.85180702278
,3,178,100250.2083912037,279.8651650921104,0,279.8651650921104,83.5418403260031,100333.7502315297,1200,920.1348349078896,2496.1012260501348,804.8366411202601,2227.8223456767146
,4,177,100333.7502315297,280.0983860630204,0,280.0983860630204,83.61145852627476,100417.36169005597,1200,919.9016139369796,2481.438142451971,796.7347940325094,2215.859877774468
,5,176,100417.36169005597,280.3318013847396,0,280.3318013847396,83.68113474171332,100501.04282479768,1200,919.6681986152604,2466.8605157173706,788.6894766120429,2203.9640235133566
,6,175,100501.04282479768,280.56541121922686,0,280.56541121922686,83.75086902066474,100584.79369381834,1200,919.4345887807731,2452.3678509206225,780.7003369870292,2192.1344052582795
,7,174,100584.79369381834,280.7992157285762,0,280.7992157285762,83.82066141151529,100668.61435522986,1200,919.2007842714238,2437.959655987968,772.7670253758972,2180.3706475293357
,8,173,100668.61435522986,281.0332150750167,0,281.0332150750167,83.89051196269156,100752.50486719255,1200,918.9667849249834,2423.63544168123,764.8891940751814,2168.672376989503
,9,172,100752.50486719255,281.26740942091254,0,281.26740942091254,83.96042072266046,100836.46528791521,1200,918.7325905790874,2409.3947215815415,757.0664974474375,2157.0392224323955
,10,171,100836.46528791521,281.5017989287633,0,281.5017989287633,84.03038773992935,100920.49567565514,1200,918.4982010712367,2395.2370120731666,749.2985919092306,2145.47081477009
,11,170,100920.49567565514,281.7363837612039,0,281.7363837612039,84.10041306304595,101004.59608871819,1200,918.2636162387961,2381.16183232741,741.5851359191881,2133.966787021014
,12,169,101004.59608871819,281.97116408100493,0,281.97116408100493,84.1704967405985,101088.76658545878,1200,918.0288359189951,2367.1687042866242,733.9257899661249,2122.526774297916
,13,168,101088.76658545878,282.20614005107245,0,282.20614005107245,84.24063882121565,101173.00722428,1200,917.7938599489275,2353.2571526483034,726.3202165572357,2111.1504137958914
