Parameter,Value
Loan Type,דולר
Interest Rate (%),3.83
Loan Term (months),60
Inflation Rate (%),2.0
Loan Amount,100000
Channel,דולר
Amortization Method,בוליט
Total Monthly Payments,60
Total Mortgage Interest,19150.00
Total Investment Amount,51969.17
Total Investment Final Value,61830.85
Total Investment Profit,5826.62
Total Investment Taxes,1456.66
Total Investment Profit After Tax,4369.97
Total Investment Net Value After Tax,60374.20
Total Cost (Interest - Investment Profit),14780.03
Extraction Timestamp,20250724_232949
