Parameter,Value
Loan Type,יורו
Interest Rate (%),3.55
Loan Term (months),330
Inflation Rate (%),1.0
Loan Amount,100000
Channel,יורו
Amortization Method,בוליט
Total Monthly Payments,330
Total Mortgage Interest,97625.00
Total Investment Amount,297470.83
Total Investment Final Value,867047.07
Total Investment Profit,408085.72
Total Investment Taxes,102021.43
Total Investment Profit After Tax,306064.29
Total Investment Net Value After Tax,765025.64
Total Cost (Interest - Investment Profit),-208439.29
Extraction Timestamp,20250725_003938
