Parameter,Value
Loan Type,משתנה צמודה כל שנה
Interest Rate (%),3.63
Loan Term (months),270
Inflation Rate (%),1.0
Loan Amount,100000
Channel,דולר
Amortization Method,בוליט
Total Monthly Payments,270
Total Mortgage Interest,81675.00
Total Investment Amount,241427.50
Total Investment Final Value,567818.29
Total Investment Profit,224954.64
Total Investment Taxes,56238.66
Total Investment Profit After Tax,168715.98
Total Investment Net Value After Tax,511579.63
Total Cost (Interest - Investment Profit),-87040.98
Extraction Timestamp,20250725_002629
