Parameter,Value
Loan Type,פריים
Interest Rate (%),4.97
Loan Term (months),270
Inflation Rate (%),4.0
Loan Amount,100000
Channel,פריים
Amortization Method,בוליט
Total Monthly Payments,270
Total Mortgage Interest,111825.00
Total Investment Amount,211389.17
Total Investment Final Value,497170.52
Total Investment Profit,196965.86
Total Investment Taxes,49241.46
Total Investment Profit After Tax,147724.39
Total Investment Net Value After Tax,447929.05
Total Cost (Interest - Investment Profit),-35899.39
Extraction Timestamp,20250724_231030
