Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.83
Loan Term (months),30
Inflation Rate (%),3.0
Loan Amount,100000
Channel,קבועה צמודה
Amortization Method,בוליט
Total Monthly Payments,30
Total Mortgage Interest,9955.16
Total Investment Amount,25188.84
Total Investment Final Value,27452.64
Total Investment Profit,1305.86
Total Investment Taxes,326.46
Total Investment Profit After Tax,979.39
Total Investment Net Value After Tax,27126.17
Total Cost (Interest - Investment Profit),8975.76
Extraction Timestamp,20250724_231837
